# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/6ce961e3-49fd-471b-a381-9da66a7a9e7e/subset_vcf_sample_list/cdaa28a5-8223-4264-95ab-3f7d21c0ee1c/call-bgzip_bcftools_index/1kgp.chr13.recalibrated.snp_indel.pass.singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/6ce961e3-49fd-471b-a381-9da66a7a9e7e/subset_vcf_sample_list/cdaa28a5-8223-4264-95ab-3f7d21c0ee1c/call-bgzip_bcftools_index/1kgp.chr13.recalibrated.snp_indel.pass.singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	2598
SN	0	number of records:	3980960
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	3611238
SN	0	number of MNPs:	0
SN	0	number of indels:	413881
SN	0	number of others:	53783
SN	0	number of multiallelic sites:	269050
SN	0	number of multiallelic SNP sites:	131924
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	2395725	1279231	1.87	2328118	1205628	1.93
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	1901100	1209150	691950	198899	0	0	198899
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	2303885	1476300	827585	248794	0	0	248794
AF	0	0.000385	298588	200966	97622	51294	0	0	51294
AF	0	0.000770	136911	91788	45123	25715	0	0	25715
AF	0	0.001155	84996	56937	28059	16824	0	0	16824
AF	0	0.001540	61726	41429	20297	12161	0	0	12161
AF	0	0.001925	47020	31295	15725	9556	0	0	9556
AF	0	0.002309	37640	24945	12695	7979	0	0	7979
AF	0	0.002694	31228	20775	10453	6670	0	0	6670
AF	0	0.003079	27077	18023	9054	5927	0	0	5927
AF	0	0.003464	23318	15547	7771	5082	0	0	5082
AF	0	0.003849	20135	13462	6673	4467	0	0	4467
AF	0	0.004234	18457	12329	6128	4097	0	0	4097
AF	0	0.004619	16486	11116	5370	3818	0	0	3818
AF	0	0.005004	15024	10113	4911	3399	0	0	3399
AF	0	0.005389	13344	8964	4380	3165	0	0	3165
AF	0	0.005774	11749	7838	3911	2999	0	0	2999
AF	0	0.006159	11109	7496	3613	2633	0	0	2633
AF	0	0.006543	10547	7103	3444	2578	0	0	2578
AF	0	0.006928	9937	6653	3284	2494	0	0	2494
AF	0	0.007313	9136	6197	2939	2272	0	0	2272
AF	0	0.007698	9159	6166	2993	2219	0	0	2219
AF	0	0.008083	7893	5316	2577	1930	0	0	1930
AF	0	0.008468	7570	5087	2483	1857	0	0	1857
AF	0	0.008853	7021	4779	2242	1839	0	0	1839
AF	0	0.009238	6332	4298	2034	1682	0	0	1682
AF	0	0.009623	6220	4186	2034	1628	0	0	1628
AF	0	0.010008	6069	4119	1950	1653	0	0	1653
AF	0	0.010393	5559	3774	1785	1523	0	0	1523
AF	0	0.010778	5360	3541	1819	1455	0	0	1455
AF	0	0.011162	5284	3594	1690	1306	0	0	1306
AF	0	0.011547	5487	3711	1776	1417	0	0	1417
AF	0	0.011932	4832	3231	1601	1314	0	0	1314
AF	0	0.012317	4488	2978	1510	1282	0	0	1282
