# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/a609674a-a76b-4fae-b93c-463e0d734479/subset_vcf_sample_list/902d8ff1-f4ff-4829-98a7-aad38a064241/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr17.recalibrated_variants.pass.singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/a609674a-a76b-4fae-b93c-463e0d734479/subset_vcf_sample_list/902d8ff1-f4ff-4829-98a7-aad38a064241/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr17.recalibrated_variants.pass.singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	2598
SN	0	number of records:	3246026
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	2998085
SN	0	number of MNPs:	0
SN	0	number of indels:	291875
SN	0	number of others:	64298
SN	0	number of multiallelic sites:	246859
SN	0	number of multiallelic SNP sites:	94414
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	2089483	964861	2.17	2044938	914023	2.24
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	1533432	1035278	498154	101308	0	0	101308
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	1865640	1270070	595570	129208	0	0	129208
AF	0	0.000385	264407	185020	79387	45221	0	0	45221
AF	0	0.000770	121858	84433	37425	24708	0	0	24708
AF	0	0.001155	76723	53141	23582	17013	0	0	17013
AF	0	0.001540	53705	37101	16604	12867	0	0	12867
AF	0	0.001925	41665	28564	13101	10437	0	0	10437
AF	0	0.002309	32790	22623	10167	8750	0	0	8750
AF	0	0.002694	27150	18681	8469	7281	0	0	7281
AF	0	0.003079	23150	15819	7331	6379	0	0	6379
AF	0	0.003464	20203	13827	6376	5727	0	0	5727
AF	0	0.003849	17460	12002	5458	5188	0	0	5188
AF	0	0.004234	15698	10691	5007	4712	0	0	4712
AF	0	0.004619	13510	9339	4171	4270	0	0	4270
AF	0	0.005004	12361	8550	3811	3829	0	0	3829
AF	0	0.005389	11600	7887	3713	3545	0	0	3545
AF	0	0.005774	10251	6989	3262	3305	0	0	3305
AF	0	0.006159	9830	6694	3136	3128	0	0	3128
AF	0	0.006543	9137	6175	2962	2879	0	0	2879
AF	0	0.006928	8385	5764	2621	2706	0	0	2706
AF	0	0.007313	7979	5393	2586	2635	0	0	2635
AF	0	0.007698	7814	5313	2501	2564	0	0	2564
AF	0	0.008083	7038	4812	2226	2249	0	0	2249
AF	0	0.008468	6672	4507	2165	2299	0	0	2299
AF	0	0.008853	6185	4215	1970	2098	0	0	2098
AF	0	0.009238	5734	3865	1869	2019	0	0	2019
AF	0	0.009623	5443	3698	1745	1885	0	0	1885
AF	0	0.010008	5159	3551	1608	1823	0	0	1823
AF	0	0.010393	5068	3433	1635	1753	0	0	1753
AF	0	0.010778	4708	3184	1524	1687	0	0	1687
AF	0	0.011162	4260	2910	1350	1539	0	0	1539
AF	0	0.011547	4239	2865	1374	1540	0	0	1540
AF	0	0.011932	4208	2819	1389	1499	0	0	1499
AF	0	0.012317	4049	2750	1299	1469	0	0	1469
AF	0	0.012702	3602	2444	1158	1422	0	0	1422
AF	0	0.013087	3799	2577	1222	1364	0	0	1364
AF	0	0.013472	3454	2380	1074	1314	0	0	1314
AF	0	0.013857	3254	2220	1034	1315	0	0	1315
AF	0	0.014242	3182	2190	992	1252	0	0	1252
AF	0	0.014627	3063	2116	947	1229	0	0	1229
AF	0	0.015012	2896	1968	928	1180	0	0	1180
AF	0	0.015396	2964	2029	935	1185	0	0	1185
AF	0	0.015781	2768	1891	877	1170	0	0	1170
AF	0	0.016166	2726	1825	901	1054	0	0	1054
AF	0	0.016551	2548	1735	813	1048	0	0	1048
AF	0	0.016936	2463	1679	784	1012	0	0	1012
AF	0	0.017321	2148	1480	668	885	0	0	885
AF	0	0.017706	2207	1497	710	903	0	0	903
AF	0	0.018091	2167	1489	678	935	0	0	935
AF	0	0.018476	2184	1471	713	898	0	0	898
AF	0	0.018861	2067	1401	666	863	0	0	863
AF	0	0.019246	2024	1377	647	858	0	0	858
AF	0	0.019630	1970	1338	632	861	0	0	861
AF	0	0.020015	1837	1242	595	816	0	0	816
AF	0	0.020400	1876	1236	640	779	0	0	779
AF	0	0.020785	1762	1192	570	824	0	0	824
AF	0	0.021170	1777	1205	572	792	0	0	792
