# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/6ce961e3-49fd-471b-a381-9da66a7a9e7e/subset_vcf_sample_list/8aa188e7-8f45-40d0-86a1-97fdf5eaa989/call-bgzip_bcftools_index/1kgp.chr10.recalibrated.snp_indel.pass.singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/6ce961e3-49fd-471b-a381-9da66a7a9e7e/subset_vcf_sample_list/8aa188e7-8f45-40d0-86a1-97fdf5eaa989/call-bgzip_bcftools_index/1kgp.chr10.recalibrated.snp_indel.pass.singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	2598
SN	0	number of records:	5529526
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	5033442
SN	0	number of MNPs:	0
SN	0	number of indels:	561090
SN	0	number of others:	85236
SN	0	number of multiallelic sites:	405378
SN	0	number of multiallelic SNP sites:	201278
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	3392908	1736579	1.95	3288974	1625706	2.02
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	2606891	1694971	911920	267864	0	0	267864
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	3168472	2076661	1091811	335364	0	0	335364
AF	0	0.000385	427393	289585	137808	73205	0	0	73205
AF	0	0.000770	196279	131875	64404	36749	0	0	36749
AF	0	0.001155	122729	82191	40538	24024	0	0	24024
AF	0	0.001540	87011	58177	28834	17808	0	0	17808
AF	0	0.001925	67337	44797	22540	13940	0	0	13940
AF	0	0.002309	55172	36834	18338	11332	0	0	11332
AF	0	0.002694	45632	30313	15319	9952	0	0	9952
AF	0	0.003079	39432	26347	13085	8427	0	0	8427
AF	0	0.003464	34279	22656	11623	7356	0	0	7356
AF	0	0.003849	29926	19720	10206	6739	0	0	6739
AF	0	0.004234	26373	17519	8854	5956	0	0	5956
AF	0	0.004619	22886	15306	7580	5301	0	0	5301
AF	0	0.005004	20848	13899	6949	4811	0	0	4811
AF	0	0.005389	19208	12621	6587	4625	0	0	4625
AF	0	0.005774	17384	11498	5886	4167	0	0	4167
AF	0	0.006159	16008	10600	5408	3946	0	0	3946
AF	0	0.006543	14682	9715	4967	3524	0	0	3524
AF	0	0.006928	13816	9155	4661	3397	0	0	3397
AF	0	0.007313	12766	8446	4320	3249	0	0	3249
AF	0	0.007698	11823	7842	3981	3139	0	0	3139
AF	0	0.008083	11015	7336	3679	2698	0	0	2698
AF	0	0.008468	10141	6839	3302	2636	0	0	2636
AF	0	0.008853	9745	6564	3181	2610	0	0	2610
AF	0	0.009238	9476	6322	3154	2430	0	0	2430
AF	0	0.009623	9426	6286	3140	2328	0	0	2328
AF	0	0.010008	8932	5902	3030	2293	0	0	2293
AF	0	0.010393	8068	5423	2645	2219	0	0	2219
AF	0	0.010778	7610	5034	2576	2042	0	0	2042
AF	0	0.011162	7147	4736	2411	1925	0	0	1925
AF	0	0.011547	6636	4498	2138	1819	0	0	1819
AF	0	0.011932	6572	4335	2237	1822	0	0	1822
AF	0	0.012317	6539	4293	2246	1808	0	0	1808
AF	0	0.012702	6142	4116	2026	1796	0	0	1796
AF	0	0.013087	5700	3778	1922	1663	0	0	1663
AF	0	0.013472	5654	3732	1922	1527	0	0	1527
AF	0	0.013857	5647	3760	1887	1613	0	0	1613
AF	0	0.014242	5407	3601	1806	1506	0	0	1506
AF	0	0.014627	5414	3591	1823	1505	0	0	1505
AF	0	0.015012	4700	3163	1537	1383	0	0	1383
AF	0	0.015396	4631	3102	1529	1363	0	0	1363
AF	0	0.015781	4898	3245	1653	1391	0	0	1391
AF	0	0.016166	4335	2938	1397	1291	0	0	1291
AF	0	0.016551	4427	2931	1496	1291	0	0	1291
AF	0	0.016936	4181	2757	1424	1262	0	0	1262
AF	0	0.017321	3983	2656	1327	1161	0	0	1161
AF	0	0.017706	3832	2557	1275	1253	0	0	1253
AF	0	0.018091	3970	2615	1355	1070	0	0	1070
AF	0	0.018476	3790	2549	1241	1104	0	0	1104
AF	0	0.018861	3463	2293	1170	1091	0	0	1091
AF	0	0.019246	3457	2327	1130	1066	0	0	1066
AF	0	0.019630	3233	2144	1089	1060	0	0	1060
AF	0	0.020015	3002	2036	966	958	0	0	958
AF	0	0.020400	3119	2085	1034	984	0	0	984
AF	0	0.020785	2966	2026	940	949	0	0	949
AF	0	0.021170	3070	2062	1008	994	0	0	994
AF	0	0.021555	2843	1914	929	848	0	0	848
AF	0	0.021940	2949	1991	958	938	0	0	938
AF	0	0.022325	2871	1944	927	932	0	0	932
AF	0	0.022710	2705	1783	922	897	0	0	897
AF	0	0.023095	2619	1762	857	869	0	0	869
AF	0	0.023480	2797	1894	903	837	0	0	837
AF	0	0.023865	2593	1719	874	880	0	0	880
AF	0	0.024249	2613	1717	896	843	0	0	843
AF	0	0.024634	2629	1736	893	761	0	0	761
AF	0	0.025019	3284	2133	1151	848	0	0	848
AF	0	0.025404	2455	1624	831	774	0	0	774
AF	0	0.025789	2330	1570	760	803	0	0	803
AF	0	0.026174	2155	1440	715	734	0	0	734
AF	0	0.026559	2624	1693	931	792	0	0	792
AF	0	0.026944	2285	1540	745	766	0	0	766
AF	0	0.027329	2103	1415	688	754	0	0	754
AF	0	0.027714	2114	1403	711	709	0	0	709
AF	0	0.028099	2023	1357	666	684	0	0	684
AF	0	0.028483	2091	1400	691	690	0	0	690
AF	0	0.028868	1936	1298	638	689	0	0	689
AF	0	0.029253	1953	1331	622	639	0	0	639
AF	0	0.029638	2053	1403	650	669	0	0	669
AF	0	0.030023	1839	1217	622	706	0	0	706
AF	0	0.030408	1949	1292	657	653	0	0	653
AF	0	0.030793	2039	1367	672	687	0	0	687
AF	0	0.031178	1965	1311	654	640	0	0	640
AF	0	0.031563	1720	1136	584	604	0	0	604
AF	0	0.031948	1677	1146	531	598	0	0	598
AF	0	0.032333	1617	1092	525	563	0	0	563
AF	0	0.032717	1533	1034	499	552	0	0	552
AF	0	0.033102	1590	1056	534	573	0	0	573
AF	0	0.033487	1561	1049	512	517	0	0	517
AF	0	0.033872	1428	969	459	521	0	0	521
AF	0	0.034257	1414	937	477	567	0	0	567
AF	0	0.034642	1404	907	497	507	0	0	507
AF	0	0.035027	1363	947	416	558	0	0	558
AF	0	0.035412	1489	1017	472	556	0	0	556
AF	0	0.035797	1371	931	440	536	0	0	536
AF	0	0.036182	1627	1093	534	535	0	0	535
AF	0	0.036567	1459	997	462	533	0	0	533
AF	0	0.036952	1429	977	452	555	0	0	555
AF	0	0.037336	1410	962	448	479	0	0	479
AF	0	0.037721	1361	918	443	481	0	0	481
AF	0	0.038106	1325	863	462	474	0	0	474
AF	0	0.038491	1242	828	414	455	0	0	455
AF	0	0.038876	1146	793	353	414	0	0	414
AF	0	0.039261	1247	838	409	410	0	0	410
AF	0	0.039646	1258	875	383	454	0	0	454
