# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/6ce961e3-49fd-471b-a381-9da66a7a9e7e/subset_vcf_sample_list/e772b47e-a1c5-48c9-910f-30989234dd2b/call-bgzip_bcftools_index/1kgp.chr11.recalibrated.snp_indel.pass.singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/6ce961e3-49fd-471b-a381-9da66a7a9e7e/subset_vcf_sample_list/e772b47e-a1c5-48c9-910f-30989234dd2b/call-bgzip_bcftools_index/1kgp.chr11.recalibrated.snp_indel.pass.singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	2598
SN	0	number of records:	5392914
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	4920851
SN	0	number of MNPs:	0
SN	0	number of indels:	529859
SN	0	number of others:	70154
SN	0	number of multiallelic sites:	343131
SN	0	number of multiallelic SNP sites:	162991
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	3304194	1703515	1.94	3218873	1612007	2.00
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	2583280	1667748	915532	250818	0	0	250818
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	3141120	2044080	1097040	315073	0	0	315073
AF	0	0.000385	408339	278635	129704	66678	0	0	66678
AF	0	0.000770	187850	127671	60179	33734	0	0	33734
AF	0	0.001155	117452	79552	37900	22372	0	0	22372
AF	0	0.001540	83512	56269	27243	16383	0	0	16383
AF	0	0.001925	63458	42851	20607	13072	0	0	13072
AF	0	0.002309	51135	34472	16663	10491	0	0	10491
AF	0	0.002694	42736	28910	13826	9151	0	0	9151
AF	0	0.003079	36582	24619	11963	7766	0	0	7766
AF	0	0.003464	31845	21365	10480	6861	0	0	6861
AF	0	0.003849	27002	18065	8937	6217	0	0	6217
AF	0	0.004234	23943	16039	7904	5516	0	0	5516
AF	0	0.004619	21617	14551	7066	4966	0	0	4966
AF	0	0.005004	19615	13146	6469	4648	0	0	4648
AF	0	0.005389	18271	12248	6023	4163	0	0	4163
AF	0	0.005774	16701	11361	5340	3925	0	0	3925
AF	0	0.006159	15166	10267	4899	3737	0	0	3737
AF	0	0.006543	14160	9469	4691	3371	0	0	3371
AF	0	0.006928	14033	9410	4623	3303	0	0	3303
AF	0	0.007313	12565	8516	4049	3109	0	0	3109
AF	0	0.007698	11730	7840	3890	3031	0	0	3031
AF	0	0.008083	10951	7345	3606	2710	0	0	2710
AF	0	0.008468	10050	6796	3254	2564	0	0	2564
AF	0	0.008853	9860	6612	3248	2527	0	0	2527
AF	0	0.009238	9486	6386	3100	2405	0	0	2405
AF	0	0.009623	9060	6065	2995	2343	0	0	2343
AF	0	0.010008	8488	5704	2784	2090	0	0	2090
AF	0	0.010393	8173	5486	2687	2108	0	0	2108
AF	0	0.010778	8038	5344	2694	2068	0	0	2068
AF	0	0.011162	7583	5093	2490	1943	0	0	1943
AF	0	0.011547	7488	4990	2498	1921	0	0	1921
AF	0	0.011932	6587	4384	2203	1880	0	0	1880
AF	0	0.012317	6277	4283	1994	1681	0	0	1681
AF	0	0.012702	5882	3947	1935	1651	0	0	1651
AF	0	0.013087	5798	3869	1929	1558	0	0	1558
AF	0	0.013472	5744	3772	1972	1551	0	0	1551
AF	0	0.013857	4997	3358	1639	1463	0	0	1463
AF	0	0.014242	5055	3381	1674	1443	0	0	1443
AF	0	0.014627	5322	3555	1767	1355	0	0	1355
AF	0	0.015012	4983	3260	1723	1475	0	0	1475
AF	0	0.015396	4624	3068	1556	1345	0	0	1345
AF	0	0.015781	4650	3159	1491	1305	0	0	1305
AF	0	0.016166	4315	2852	1463	1282	0	0	1282
AF	0	0.016551	4174	2829	1345	1189	0	0	1189
AF	0	0.016936	3645	2412	1233	1226	0	0	1226
AF	0	0.017321	3534	2431	1103	1080	0	0	1080
AF	0	0.017706	3678	2492	1186	1078	0	0	1078
AF	0	0.018091	3829	2536	1293	1095	0	0	1095
AF	0	0.018476	3593	2362	1231	1061	0	0	1061
AF	0	0.018861	4068	2620	1448	1055	0	0	1055
AF	0	0.019246	3349	2230	1119	972	0	0	972
AF	0	0.019630	3256	2156	1100	969	0	0	969
AF	0	0.020015	2937	1981	956	916	0	0	916
AF	0	0.020400	2935	1954	981	921	0	0	921
AF	0	0.020785	3030	2071	959	898	0	0	898
AF	0	0.021170	2812	1900	912	915	0	0	915
AF	0	0.021555	2707	1828	879	925	0	0	925
AF	0	0.021940	2775	1876	899	896	0	0	896
AF	0	0.022325	2600	1738	862	817	0	0	817
AF	0	0.022710	2607	1745	862	844	0	0	844
AF	0	0.023095	2444	1691	753	821	0	0	821
AF	0	0.023480	2969	1929	1040	953	0	0	953
AF	0	0.023865	2787	1850	937	791	0	0	791
AF	0	0.024249	2675	1757	918	791	0	0	791
AF	0	0.024634	2374	1591	783	739	0	0	739
AF	0	0.025019	2496	1657	839	803	0	0	803
AF	0	0.025404	2307	1598	709	734	0	0	734
