# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/cf9188d4-5ce4-4209-af9a-d0697c795f98/subset_vcf_sample_list/54e8436d-2b5e-46fe-9b54-94696f652240/call-bgzip_bcftools_index/1kgp.chr10.recalibrated.snp_indel.pass.singleton.SAS_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/cf9188d4-5ce4-4209-af9a-d0697c795f98/subset_vcf_sample_list/54e8436d-2b5e-46fe-9b54-94696f652240/call-bgzip_bcftools_index/1kgp.chr10.recalibrated.snp_indel.pass.singleton.SAS_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	516
SN	0	number of records:	5529526
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	5033442
SN	0	number of MNPs:	0
SN	0	number of indels:	561090
SN	0	number of others:	85236
SN	0	number of multiallelic sites:	405378
SN	0	number of multiallelic SNP sites:	201278
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	3392908	1736579	1.95	3288974	1625706	2.02
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	685389	454363	231026	97730	0	0	97730
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	4405980	2913233	1492747	571836	0	0	571836
AF	0	0.001938	125451	81722	43729	33328	0	0	33328
AF	0	0.003876	57431	37114	20317	17173	0	0	17173
AF	0	0.005814	36396	23555	12841	11285	0	0	11285
AF	0	0.007752	25399	16442	8957	8331	0	0	8331
AF	0	0.009690	22060	14137	7923	6760	0	0	6760
AF	0	0.011628	16510	10783	5727	5490	0	0	5490
AF	0	0.013566	12706	8285	4421	4539	0	0	4539
AF	0	0.015504	11401	7615	3786	4136	0	0	4136
AF	0	0.017442	10287	6805	3482	3637	0	0	3637
AF	0	0.019380	8713	5808	2905	3222	0	0	3222
AF	0	0.021318	8014	5319	2695	2864	0	0	2864
AF	0	0.023256	6792	4441	2351	2574	0	0	2574
AF	0	0.025194	5689	3790	1899	2372	0	0	2372
AF	0	0.027132	6291	4204	2087	2185	0	0	2185
AF	0	0.029070	4704	3074	1630	1982	0	0	1982
AF	0	0.031008	4820	3135	1685	1865	0	0	1865
AF	0	0.032946	4640	3023	1617	1741	0	0	1741
AF	0	0.034884	4096	2718	1378	1667	0	0	1667
AF	0	0.036822	3838	2570	1268	1552	0	0	1552
AF	0	0.038760	3943	2649	1294	1493	0	0	1493
AF	0	0.040698	3490	2346	1144	1442	0	0	1442
AF	0	0.042636	3423	2299	1124	1392	0	0	1392
AF	0	0.044574	3836	2536	1300	1325	0	0	1325
AF	0	0.046512	4537	2939	1598	1403	0	0	1403
AF	0	0.048450	3477	2264	1213	1243	0	0	1243
AF	0	0.050388	3148	2075	1073	1153	0	0	1153
AF	0	0.052326	3023	2064	959	1174	0	0	1174
AF	0	0.054264	2565	1698	867	1099	0	0	1099
AF	0	0.056202	3646	2404	1242	1205	0	0	1205
AF	0	0.058140	3079	2054	1025	1075	0	0	1075
AF	0	0.060078	3111	2101	1010	1062	0	0	1062
AF	0	0.062016	2676	1811	865	996	0	0	996
AF	0	0.063953	2292	1483	809	913	0	0	913
AF	0	0.065891	2283	1547	736	860	0	0	860
AF	0	0.067829	2279	1527	752	877	0	0	877
AF	0	0.069767	2346	1585	761	868	0	0	868
AF	0	0.071705	2524	1668	856	860	0	0	860
AF	0	0.073643	2525	1691	834	889	0	0	889
AF	0	0.075581	2343	1580	763	788	0	0	788
AF	0	0.077519	2014	1346	668	808	0	0	808
AF	0	0.079457	2361	1590	771	847	0	0	847
AF	0	0.081395	2119	1429	690	777	0	0	777
AF	0	0.083333	1769	1145	624	734	0	0	734
AF	0	0.085271	2395	1598	797	820	0	0	820
AF	0	0.087209	3051	2030	1021	859	0	0	859
AF	0	0.089147	2228	1494	734	791	0	0	791
AF	0	0.091085	2160	1453	707	754	0	0	754
AF	0	0.093023	2123	1387	736	741	0	0	741
AF	0	0.094961	1894	1277	617	725	0	0	725
AF	0	0.096899	2007	1309	698	693	0	0	693
AF	0	0.098837	1997	1375	622	622	0	0	622
AF	0	0.100775	1795	1228	567	617	0	0	617
AF	0	0.102713	1742	1179	563	704	0	0	704
AF	0	0.104651	2155	1422	733	681	0	0	681
AF	0	0.106589	1904	1273	631	638	0	0	638
AF	0	0.108527	1762	1152	610	592	0	0	592
AF	0	0.110465	1811	1217	594	645	0	0	645
AF	0	0.112403	1613	1095	518	645	0	0	645
AF	0	0.114341	1436	968	468	553	0	0	553
AF	0	0.116279	1716	1162	554	566	0	0	566
AF	0	0.118217	1653	1105	548	573	0	0	573
AF	0	0.120155	1453	943	510	521	0	0	521
AF	0	0.122093	1378	924	454	493	0	0	493
AF	0	0.124031	1531	1044	487	561	0	0	561
AF	0	0.125969	1492	1008	484	540	0	0	540
AF	0	0.127907	1487	1003	484	498	0	0	498
AF	0	0.129845	1542	1023	519	519	0	0	519
AF	0	0.131783	1420	976	444	489	0	0	489
AF	0	0.133721	1346	913	433	506	0	0	506
AF	0	0.135659	1457	971	486	559	0	0	559
AF	0	0.137597	1383	925	458	465	0	0	465
AF	0	0.139535	1434	948	486	488	0	0	488
AF	0	0.141473	2051	1393	658	531	0	0	531
AF	0	0.143411	1621	1083	538	501	0	0	501
AF	0	0.145349	1475	984	491	463	0	0	463
AF	0	0.147287	1593	1007	586	428	0	0	428
AF	0	0.149225	1335	903	432	467	0	0	467
AF	0	0.151163	1132	780	352	439	0	0	439
AF	0	0.153101	1228	829	399	425	0	0	425
AF	0	0.155039	1251	860	391	472	0	0	472
AF	0	0.156977	1174	775	399	394	0	0	394
AF	0	0.158915	1042	696	346	444	0	0	444
AF	0	0.160853	1465	980	485	428	0	0	428
AF	0	0.162791	1422	928	494	452	0	0	452
AF	0	0.164729	1269	858	411	360	0	0	360
AF	0	0.166667	1238	852	386	402	0	0	402
AF	0	0.168605	1573	1052	521	434	0	0	434
AF	0	0.170543	1516	1048	468	439	0	0	439
AF	0	0.172481	1175	767	408	412	0	0	412
AF	0	0.174419	1078	723	355	376	0	0	376
AF	0	0.176357	1158	778	380	363	0	0	363
AF	0	0.178295	1430	973	457	368	0	0	368
AF	0	0.180233	1089	748	341	370	0	0	370
AF	0	0.182171	990	641	349	353	0	0	353
AF	0	0.184109	965	657	308	395	0	0	395
AF	0	0.186047	1253	836	417	353	0	0	353
AF	0	0.187984	1196	829	367	316	0	0	316
AF	0	0.189922	1111	760	351	325	0	0	325
AF	0	0.191860	992	676	316	331	0	0	331
AF	0	0.193798	1133	752	381	353	0	0	353
AF	0	0.195736	1157	769	388	348	0	0	348
AF	0	0.197674	1180	837	343	370	0	0	370
AF	0	0.199612	953	645	308	303	0	0	303
AF	0	0.201550	1088	698	390	312	0	0	312
AF	0	0.203488	1192	770	422	330	0	0	330
AF	0	0.205426	1089	743	346	313	0	0	313
AF	0	0.207364	1236	842	394	360	0	0	360
AF	0	0.209302	1082	725	357	329	0	0	329
AF	0	0.211240	1015	695	320	330	0	0	330
AF	0	0.213178	927	665	262	288	0	0	288
AF	0	0.215116	1088	709	379	349	0	0	349
AF	0	0.217054	994	680	314	293	0	0	293
AF	0	0.218992	964	648	316	295	0	0	295
AF	0	0.220930	974	665	309	292	0	0	292
AF	0	0.222868	889	599	290	288	0	0	288
AF	0	0.224806	1026	699	327	311	0	0	311
AF	0	0.226744	1112	777	335	327	0	0	327
AF	0	0.228682	1067	727	340	283	0	0	283
AF	0	0.230620	928	645	283	298	0	0	298
AF	0	0.232558	895	605	290	290	0	0	290
AF	0	0.234496	833	540	293	285	0	0	285
AF	0	0.236434	920	630	290	293	0	0	293
AF	0	0.238372	957	642	315	311	0	0	311
AF	0	0.240310	1117	741	376	299	0	0	299
AF	0	0.242248	968	663	305	304	0	0	304
AF	0	0.244186	882	584	298	278	0	0	278
AF	0	0.246124	837	591	246	259	0	0	259
AF	0	0.248062	887	591	296	280	0	0	280
AF	0	0.250000	775	522	253	223	0	0	223
AF	0	0.251938	906	631	275	249	0	0	249
AF	0	0.253876	938	651	287	275	0	0	275
AF	0	0.255814	906	636	270	236	0	0	236
AF	0	0.257752	750	523	227	248	0	0	248
AF	0	0.259690	971	680	291	279	0	0	279
AF	0	0.261628	759	535	224	259	0	0	259
AF	0	0.263566	884	576	308	262	0	0	262
AF	0	0.265504	960	663	297	276	0	0	276
AF	0	0.267442	715	487	228	233	0	0	233
AF	0	0.269380	807	545	262	254	0	0	254
AF	0	0.271318	894	614	280	268	0	0	268
AF	0	0.273256	759	522	237	255	0	0	255
AF	0	0.275194	860	574	286	257	0	0	257
AF	0	0.277132	952	652	300	264	0	0	264
AF	0	0.279070	776	506	270	241	0	0	241
AF	0	0.281008	872	589	283	252	0	0	252
AF	0	0.282946	968	630	338	266	0	0	266
AF	0	0.284884	1084	714	370	235	0	0	235
AF	0	0.286822	922	605	317	234	0	0	234
AF	0	0.288760	953	637	316	255	0	0	255
AF	0	0.290698	932	604	328	246	0	0	246
AF	0	0.292636	920	639	281	226	0	0	226
AF	0	0.294574	1048	706	342	249	0	0	249
AF	0	0.296512	934	629	305	230	0	0	230
AF	0	0.298450	842	605	237	223	0	0	223
AF	0	0.300388	662	457	205	195	0	0	195
AF	0	0.302326	703	480	223	203	0	0	203
AF	0	0.304264	917	622	295	229	0	0	229
AF	0	0.306202	702	472	230	227	0	0	227
AF	0	0.308140	776	524	252	231	0	0	231
