# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/f5fb20c4-3f8c-4741-b08d-bf13559009fe/subset_vcf_sample_list/9076d2ae-8b4d-493a-ab42-e1c1e1ebb5a6/call-bgzip_bcftools_index/attempt-2/1kgp.chr2.recalibrated.snp_indel.pass.singleton.AMR_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/f5fb20c4-3f8c-4741-b08d-bf13559009fe/subset_vcf_sample_list/9076d2ae-8b4d-493a-ab42-e1c1e1ebb5a6/call-bgzip_bcftools_index/attempt-2/1kgp.chr2.recalibrated.snp_indel.pass.singleton.AMR_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	353
SN	0	number of records:	9637087
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	8785870
SN	0	number of MNPs:	0
SN	0	number of indels:	950667
SN	0	number of others:	120095
SN	0	number of multiallelic sites:	624996
SN	0	number of multiallelic SNP sites:	311872
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	5859801	3085665	1.90	5701004	2910492	1.96
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	1067077	705322	361755	158318	0	0	158318
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	7749317	5067599	2681718	963468	0	0	963468
AF	0	0.002833	247991	162839	85152	62049	0	0	62049
AF	0	0.005666	116311	76266	40045	32820	0	0	32820
AF	0	0.008499	71299	46758	24541	21579	0	0	21579
AF	0	0.011331	47224	31015	16209	15563	0	0	15563
AF	0	0.014164	35060	23081	11979	12048	0	0	12048
AF	0	0.016997	27305	17907	9398	9685	0	0	9685
AF	0	0.019830	22014	14525	7489	7919	0	0	7919
AF	0	0.022663	18708	12380	6328	6930	0	0	6930
AF	0	0.025496	16990	11156	5834	6148	0	0	6148
AF	0	0.028329	14291	9330	4961	5276	0	0	5276
AF	0	0.031161	11889	7870	4019	4725	0	0	4725
AF	0	0.033994	11464	7544	3920	4390	0	0	4390
AF	0	0.036827	10330	6767	3563	3751	0	0	3751
AF	0	0.039660	9034	5973	3061	3511	0	0	3511
AF	0	0.042493	8764	5879	2885	3419	0	0	3419
AF	0	0.045326	8550	5738	2812	3142	0	0	3142
AF	0	0.048159	7825	5164	2661	2925	0	0	2925
AF	0	0.050992	7096	4669	2427	2841	0	0	2841
AF	0	0.053824	7246	4755	2491	2721	0	0	2721
AF	0	0.056657	6972	4640	2332	2552	0	0	2552
AF	0	0.059490	6656	4413	2243	2402	0	0	2402
AF	0	0.062323	6131	4078	2053	2332	0	0	2332
AF	0	0.065156	6137	4037	2100	2300	0	0	2300
AF	0	0.067989	5891	3845	2046	2142	0	0	2142
AF	0	0.070822	6240	4152	2088	2181	0	0	2181
AF	0	0.073654	5789	3929	1860	2073	0	0	2073
AF	0	0.076487	5147	3450	1697	1944	0	0	1944
AF	0	0.079320	5044	3279	1765	1914	0	0	1914
AF	0	0.082153	4908	3286	1622	1754	0	0	1754
AF	0	0.084986	4904	3223	1681	1730	0	0	1730
AF	0	0.087819	4655	3085	1570	1650	0	0	1650
AF	0	0.090652	4512	2996	1516	1674	0	0	1674
AF	0	0.093484	4400	2957	1443	1610	0	0	1610
