# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/229fff39-eb71-4b7a-a8de-4c792a162837/subset_vcf_sample_list/eb68216d-5244-4d6a-a90e-1317a0253f59/call-bgzip_bcftools_index/1kgp.chr2.recalibrated.snp_indel.pass.singleton.EUR_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/229fff39-eb71-4b7a-a8de-4c792a162837/subset_vcf_sample_list/eb68216d-5244-4d6a-a90e-1317a0253f59/call-bgzip_bcftools_index/1kgp.chr2.recalibrated.snp_indel.pass.singleton.EUR_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	526
SN	0	number of records:	9637087
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	8785870
SN	0	number of MNPs:	0
SN	0	number of indels:	950667
SN	0	number of others:	120095
SN	0	number of multiallelic sites:	624996
SN	0	number of multiallelic SNP sites:	311872
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	5859801	3085665	1.90	5701004	2910492	1.96
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	1068761	700124	368637	156650	0	0	156650
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	7892470	5166403	2726067	996193	0	0	996193
AF	0	0.001901	160456	102650	57806	45897	0	0	45897
AF	0	0.003802	76141	49035	27106	22988	0	0	22988
AF	0	0.005703	49776	31918	17858	15538	0	0	15538
AF	0	0.007605	35829	23270	12559	11419	0	0	11419
AF	0	0.009506	27286	17589	9697	8985	0	0	8985
AF	0	0.011407	23453	15359	8094	7704	0	0	7704
AF	0	0.013308	18832	12342	6490	6491	0	0	6491
AF	0	0.015209	17578	11548	6030	5794	0	0	5794
AF	0	0.017110	14824	9697	5127	5118	0	0	5118
AF	0	0.019011	12747	8339	4408	4508	0	0	4508
AF	0	0.020913	10872	7185	3687	4033	0	0	4033
AF	0	0.022814	10884	7167	3717	3859	0	0	3859
AF	0	0.024715	10527	6987	3540	3747	0	0	3747
AF	0	0.026616	9642	6336	3306	3358	0	0	3358
AF	0	0.028517	8656	5764	2892	3131	0	0	3131
AF	0	0.030418	7851	5271	2580	2891	0	0	2891
AF	0	0.032319	7636	5007	2629	2836	0	0	2836
AF	0	0.034221	7363	4960	2403	2633	0	0	2633
AF	0	0.036122	6612	4354	2258	2523	0	0	2523
AF	0	0.038023	6056	3995	2061	2317	0	0	2317
AF	0	0.039924	5921	3923	1998	2305	0	0	2305
AF	0	0.041825	5514	3696	1818	2014	0	0	2014
AF	0	0.043726	5687	3754	1933	2049	0	0	2049
AF	0	0.045627	4975	3251	1724	1911	0	0	1911
AF	0	0.047529	5013	3320	1693	1920	0	0	1920
AF	0	0.049430	5076	3414	1662	1830	0	0	1830
AF	0	0.051331	4997	3353	1644	1849	0	0	1849
AF	0	0.053232	4666	3147	1519	1731	0	0	1731
AF	0	0.055133	4834	3181	1653	1703	0	0	1703
AF	0	0.057034	4196	2820	1376	1607	0	0	1607
AF	0	0.058935	3943	2583	1360	1467	0	0	1467
AF	0	0.060837	4060	2704	1356	1563	0	0	1563
