# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/9d6fbc53-8947-41e8-8b62-d7075d4d895a/subset_vcf_sample_list/79640ac2-7a9b-4d5d-b4bb-085ec10d539d/call-bgzip_bcftools_index/1kgp.chr22.recalibrated.snp_indel.pass.singleton.EAS_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/9d6fbc53-8947-41e8-8b62-d7075d4d895a/subset_vcf_sample_list/79640ac2-7a9b-4d5d-b4bb-085ec10d539d/call-bgzip_bcftools_index/1kgp.chr22.recalibrated.snp_indel.pass.singleton.EAS_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	513
SN	0	number of records:	2069354
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	1907119
SN	0	number of MNPs:	0
SN	0	number of indels:	191755
SN	0	number of others:	40973
SN	0	number of multiallelic sites:	271856
SN	0	number of multiallelic SNP sites:	186349
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	1258209	739296	1.70	1175938	638954	1.84
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	261163	164148	97015	32931	0	0	32931
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	1716578	1090201	626377	205512	0	0	205512
AF	0	0.001949	62593	34276	28317	11352	0	0	11352
AF	0	0.003899	24744	13371	11373	5583	0	0	5583
AF	0	0.005848	13853	7506	6347	3490	0	0	3490
AF	0	0.007797	9637	5312	4325	2562	0	0	2562
AF	0	0.009747	8464	4651	3813	2186	0	0	2186
AF	0	0.011696	5601	3146	2455	1631	0	0	1631
AF	0	0.013645	4813	2733	2080	1468	0	0	1468
AF	0	0.015595	3812	2167	1645	1212	0	0	1212
AF	0	0.017544	3087	1709	1378	1074	0	0	1074
AF	0	0.019493	2724	1544	1180	880	0	0	880
AF	0	0.021442	2539	1475	1064	832	0	0	832
AF	0	0.023392	2311	1317	994	718	0	0	718
AF	0	0.025341	2361	1377	984	758	0	0	758
AF	0	0.027290	2017	1170	847	673	0	0	673
AF	0	0.029240	1961	1202	759	661	0	0	661
AF	0	0.031189	1866	1131	735	569	0	0	569
AF	0	0.033138	1616	978	638	537	0	0	537
AF	0	0.035088	1839	1103	736	493	0	0	493
AF	0	0.037037	1388	825	563	482	0	0	482
AF	0	0.038986	1262	773	489	430	0	0	430
AF	0	0.040936	1158	689	469	432	0	0	432
AF	0	0.042885	1308	833	475	441	0	0	441
AF	0	0.044834	1266	780	486	464	0	0	464
AF	0	0.046784	1071	626	445	332	0	0	332
AF	0	0.048733	1185	725	460	385	0	0	385
AF	0	0.050682	946	583	363	362	0	0	362
AF	0	0.052632	1201	746	455	379	0	0	379
AF	0	0.054581	1172	704	468	347	0	0	347
AF	0	0.056530	973	589	384	296	0	0	296
AF	0	0.058480	913	562	351	322	0	0	322
AF	0	0.060429	1223	775	448	345	0	0	345
AF	0	0.062378	1129	717	412	330	0	0	330
AF	0	0.064327	917	584	333	321	0	0	321
AF	0	0.066277	1077	709	368	298	0	0	298
AF	0	0.068226	763	479	284	241	0	0	241
AF	0	0.070175	973	610	363	300	0	0	300
