# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/2d404e68-7cee-4571-88e6-a2f2a4fdb35f/subset_vcf_sample_list/7198b71e-6b90-4296-a85b-1b3285aef595/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr22.recalibrated_variants.pass.singleton.FIN_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/2d404e68-7cee-4571-88e6-a2f2a4fdb35f/subset_vcf_sample_list/7198b71e-6b90-4296-a85b-1b3285aef595/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr22.recalibrated_variants.pass.singleton.FIN_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	99
SN	0	number of records:	1668610
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	1546703
SN	0	number of MNPs:	0
SN	0	number of indels:	145248
SN	0	number of others:	36962
SN	0	number of multiallelic sites:	140746
SN	0	number of multiallelic SNP sites:	62256
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	1074232	514639	2.09	1045261	479801	2.18
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	46130	30543	15587	12011	0	0	12011
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	1421328	961048	460280	168761	0	0	168761
AF	0	0.010000	26887	17771	9116	9114	0	0	9114
AF	0	0.020000	14810	9821	4989	5160	0	0	5160
AF	0	0.030000	9801	6557	3244	3661	0	0	3661
AF	0	0.040000	7258	4921	2337	2791	0	0	2791
AF	0	0.050000	5740	3879	1861	2091	0	0	2091
AF	0	0.060000	6796	4574	2222	2447	0	0	2447
AF	0	0.070000	2147	1437	710	952	0	0	952
AF	0	0.080000	3929	2633	1296	1352	0	0	1352
AF	0	0.090000	3292	2253	1039	1207	0	0	1207
AF	0	0.100000	2987	2060	927	1086	0	0	1086
AF	0	0.110000	2421	1630	791	889	0	0	889
AF	0	0.120000	2809	1909	900	959	0	0	959
AF	0	0.130000	3804	2616	1188	1267	0	0	1267
AF	0	0.140000	1153	782	371	475	0	0	475
AF	0	0.150000	2285	1540	745	746	0	0	746
AF	0	0.160000	2449	1671	778	743	0	0	743
AF	0	0.170000	1826	1238	588	648	0	0	648
AF	0	0.180000	1909	1304	605	575	0	0	575
AF	0	0.190000	1689	1138	551	552	0	0	552
AF	0	0.200000	1720	1143	577	581	0	0	581
AF	0	0.210000	1596	1057	539	533	0	0	533
AF	0	0.220000	1778	1220	558	521	0	0	521
AF	0	0.230000	1382	915	467	492	0	0	492
AF	0	0.240000	2110	1443	667	631	0	0	631
AF	0	0.250000	678	453	225	236	0	0	236
AF	0	0.260000	1186	812	374	443	0	0	443
AF	0	0.270000	2121	1451	670	589	0	0	589
AF	0	0.280000	842	568	274	224	0	0	224
AF	0	0.290000	1393	946	447	442	0	0	442
AF	0	0.300000	2166	1531	635	595	0	0	595
AF	0	0.310000	622	422	200	222	0	0	222
AF	0	0.320000	1287	885	402	414	0	0	414
AF	0	0.330000	1286	893	393	321	0	0	321
AF	0	0.340000	1186	818	368	339	0	0	339
AF	0	0.350000	1151	779	372	329	0	0	329
AF	0	0.360000	984	651	333	283	0	0	283
AF	0	0.370000	1023	705	318	268	0	0	268
AF	0	0.380000	1321	913	408	326	0	0	326
AF	0	0.390000	1498	1035	463	299	0	0	299
AF	0	0.400000	919	601	318	252	0	0	252
AF	0	0.410000	1017	703	314	245	0	0	245
AF	0	0.420000	1238	836	402	264	0	0	264
AF	0	0.430000	1080	748	332	258	0	0	258
AF	0	0.440000	991	672	319	259	0	0	259
AF	0	0.450000	901	593	308	224	0	0	224
AF	0	0.460000	972	662	310	221	0	0	221
AF	0	0.470000	812	536	276	190	0	0	190
AF	0	0.480000	963	634	329	187	0	0	187
AF	0	0.490000	2331	1529	802	308	0	0	308
AF	0	0.500000	586	411	175	117	0	0	117
AF	0	0.510000	708	482	226	187	0	0	187
AF	0	0.520000	721	471	250	177	0	0	177
AF	0	0.530000	603	435	168	170	0	0	170
AF	0	0.540000	709	483	226	184	0	0	184
AF	0	0.550000	1097	764	333	286	0	0	286
AF	0	0.560000	334	228	106	77	0	0	77
AF	0	0.570000	698	478	220	160	0	0	160
AF	0	0.580000	631	413	218	109	0	0	109
AF	0	0.590000	729	499	230	171	0	0	171
AF	0	0.600000	651	467	184	139	0	0	139
AF	0	0.610000	1185	805	380	208	0	0	208
AF	0	0.620000	395	274	121	83	0	0	83
AF	0	0.630000	770	533	237	183	0	0	183
AF	0	0.640000	626	437	189	124	0	0	124
AF	0	0.650000	408	285	123	109	0	0	109
AF	0	0.660000	677	453	224	128	0	0	128
