# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/b14e0395-8e39-458e-a5bf-709b72022f9c/subset_vcf_sample_list/936ecf4a-06c2-43a1-b734-3196da0e29e0/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr15.recalibrated_variants.pass.singleton.SAS_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/b14e0395-8e39-458e-a5bf-709b72022f9c/subset_vcf_sample_list/936ecf4a-06c2-43a1-b734-3196da0e29e0/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr15.recalibrated_variants.pass.singleton.SAS_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	516
SN	0	number of records:	3331835
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	3094012
SN	0	number of MNPs:	0
SN	0	number of indels:	274655
SN	0	number of others:	50493
SN	0	number of multiallelic sites:	215475
SN	0	number of multiallelic SNP sites:	88881
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	2088275	1062576	1.97	2047377	1014202	2.02
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	419282	280124	139158	46643	0	0	46643
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	2702668	1791479	911189	269683	0	0	269683
AF	0	0.001938	78279	52201	26078	22365	0	0	22365
AF	0	0.003876	36518	24153	12365	11875	0	0	11875
AF	0	0.005814	22480	14798	7682	8038	0	0	8038
AF	0	0.007752	14601	9435	5166	5698	0	0	5698
AF	0	0.009690	11893	7875	4018	4795	0	0	4795
AF	0	0.011628	9259	6018	3241	3815	0	0	3815
AF	0	0.013566	8307	5430	2877	3346	0	0	3346
AF	0	0.015504	6865	4479	2386	2812	0	0	2812
AF	0	0.017442	5791	3826	1965	2500	0	0	2500
AF	0	0.019380	4558	2961	1597	2253	0	0	2253
AF	0	0.021318	4572	2988	1584	1931	0	0	1931
AF	0	0.023256	4188	2721	1467	1829	0	0	1829
AF	0	0.025194	3453	2264	1189	1491	0	0	1491
AF	0	0.027132	3446	2220	1226	1548	0	0	1548
AF	0	0.029070	2987	1927	1060	1440	0	0	1440
AF	0	0.031008	3402	2194	1208	1412	0	0	1412
AF	0	0.032946	3219	2144	1075	1363	0	0	1363
AF	0	0.034884	2959	1936	1023	1224	0	0	1224
AF	0	0.036822	2440	1590	850	1095	0	0	1095
AF	0	0.038760	2157	1389	768	1117	0	0	1117
AF	0	0.040698	2021	1306	715	994	0	0	994
AF	0	0.042636	2399	1578	821	989	0	0	989
AF	0	0.044574	2217	1378	839	952	0	0	952
AF	0	0.046512	1955	1296	659	912	0	0	912
AF	0	0.048450	1752	1110	642	842	0	0	842
AF	0	0.050388	1881	1233	648	810	0	0	810
AF	0	0.052326	1674	1130	544	712	0	0	712
AF	0	0.054264	1649	1092	557	729	0	0	729
AF	0	0.056202	1387	909	478	694	0	0	694
AF	0	0.058140	1587	1066	521	662	0	0	662
AF	0	0.060078	1568	1029	539	685	0	0	685
AF	0	0.062016	1593	1081	512	690	0	0	690
AF	0	0.063953	1442	947	495	645	0	0	645
AF	0	0.065891	1529	1033	496	587	0	0	587
AF	0	0.067829	1490	955	535	616	0	0	616
AF	0	0.069767	1513	1002	511	604	0	0	604
AF	0	0.071705	1316	862	454	573	0	0	573
AF	0	0.073643	1289	857	432	559	0	0	559
AF	0	0.075581	1084	724	360	516	0	0	516
AF	0	0.077519	1192	782	410	493	0	0	493
AF	0	0.079457	1173	775	398	498	0	0	498
AF	0	0.081395	1174	787	387	516	0	0	516
AF	0	0.083333	1528	1007	521	579	0	0	579
AF	0	0.085271	1180	773	407	517	0	0	517
AF	0	0.087209	1238	801	437	499	0	0	499
AF	0	0.089147	1058	688	370	475	0	0	475
AF	0	0.091085	1275	853	422	458	0	0	458
AF	0	0.093023	1208	811	397	461	0	0	461
AF	0	0.094961	1344	878	466	495	0	0	495
AF	0	0.096899	1250	815	435	443	0	0	443
AF	0	0.098837	1117	739	378	434	0	0	434
AF	0	0.100775	1070	709	361	403	0	0	403
AF	0	0.102713	1125	740	385	433	0	0	433
AF	0	0.104651	1046	685	361	416	0	0	416
AF	0	0.106589	994	650	344	366	0	0	366
AF	0	0.108527	1012	661	351	410	0	0	410
