# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/60e15ba6-b0f4-4b36-b445-6886d88c2057/subset_vcf_sample_list/c418febd-a80f-4adf-8696-8975581fe79d/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr18.recalibrated_variants.pass.singleton.EAS_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/60e15ba6-b0f4-4b36-b445-6886d88c2057/subset_vcf_sample_list/c418febd-a80f-4adf-8696-8975581fe79d/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr18.recalibrated_variants.pass.singleton.EAS_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	513
SN	0	number of records:	3177919
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	2958813
SN	0	number of MNPs:	0
SN	0	number of indels:	252379
SN	0	number of others:	46539
SN	0	number of multiallelic sites:	209095
SN	0	number of multiallelic SNP sites:	95592
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	1969025	1056401	1.86	1926363	1003083	1.92
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	393043	256400	136643	41266	0	0	41266
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	2653691	1727903	925788	257940	0	0	257940
AF	0	0.001949	65936	40859	25077	17728	0	0	17728
AF	0	0.003899	28070	17514	10556	9007	0	0	9007
AF	0	0.005848	16267	10187	6080	6088	0	0	6088
AF	0	0.007797	11536	7209	4327	4359	0	0	4359
AF	0	0.009747	8760	5445	3315	3344	0	0	3344
AF	0	0.011696	6873	4306	2567	2878	0	0	2878
AF	0	0.013645	5426	3389	2037	2398	0	0	2398
AF	0	0.015595	4706	2977	1729	2060	0	0	2060
AF	0	0.017544	4374	2736	1638	1832	0	0	1832
AF	0	0.019493	3702	2429	1273	1667	0	0	1667
AF	0	0.021442	3457	2200	1257	1478	0	0	1478
AF	0	0.023392	2848	1842	1006	1359	0	0	1359
AF	0	0.025341	2748	1794	954	1249	0	0	1249
AF	0	0.027290	2815	1806	1009	1187	0	0	1187
AF	0	0.029240	2744	1773	971	1122	0	0	1122
AF	0	0.031189	2266	1461	805	1052	0	0	1052
AF	0	0.033138	2214	1426	788	910	0	0	910
AF	0	0.035088	2103	1365	738	885	0	0	885
AF	0	0.037037	2004	1264	740	884	0	0	884
AF	0	0.038986	2094	1396	698	859	0	0	859
AF	0	0.040936	1806	1187	619	825	0	0	825
AF	0	0.042885	1937	1285	652	770	0	0	770
AF	0	0.044834	1768	1152	616	710	0	0	710
AF	0	0.046784	1388	923	465	643	0	0	643
AF	0	0.048733	1252	838	414	590	0	0	590
AF	0	0.050682	1311	890	421	602	0	0	602
AF	0	0.052632	1438	952	486	590	0	0	590
AF	0	0.054581	1324	866	458	557	0	0	557
AF	0	0.056530	1497	954	543	565	0	0	565
AF	0	0.058480	1241	775	466	532	0	0	532
AF	0	0.060429	1135	744	391	483	0	0	483
AF	0	0.062378	1121	729	392	459	0	0	459
AF	0	0.064327	1090	698	392	447	0	0	447
AF	0	0.066277	1078	697	381	425	0	0	425
AF	0	0.068226	1114	735	379	432	0	0	432
AF	0	0.070175	1109	730	379	442	0	0	442
