# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/b14e0395-8e39-458e-a5bf-709b72022f9c/subset_vcf_sample_list/6cf4e1aa-6031-4901-8bf2-979be32796eb/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr21.recalibrated_variants.pass.singleton.SAS_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/b14e0395-8e39-458e-a5bf-709b72022f9c/subset_vcf_sample_list/6cf4e1aa-6031-4901-8bf2-979be32796eb/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr21.recalibrated_variants.pass.singleton.SAS_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	516
SN	0	number of records:	1573838
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	1460055
SN	0	number of MNPs:	0
SN	0	number of indels:	133006
SN	0	number of others:	30423
SN	0	number of multiallelic sites:	117612
SN	0	number of multiallelic SNP sites:	51605
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	984594	508719	1.94	961395	481474	2.00
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	192148	127645	64503	21371	0	0	21371
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	1267186	834968	432218	127435	0	0	127435
AF	0	0.001938	39020	25832	13188	10591	0	0	10591
AF	0	0.003876	18020	11897	6123	5715	0	0	5715
AF	0	0.005814	10621	7010	3611	3653	0	0	3653
AF	0	0.007752	7502	4910	2592	2787	0	0	2787
AF	0	0.009690	5769	3757	2012	2148	0	0	2148
AF	0	0.011628	4706	3061	1645	1800	0	0	1800
AF	0	0.013566	3838	2510	1328	1510	0	0	1510
AF	0	0.015504	3434	2292	1142	1320	0	0	1320
AF	0	0.017442	2858	1903	955	1121	0	0	1121
AF	0	0.019380	2495	1623	872	1004	0	0	1004
AF	0	0.021318	2358	1564	794	931	0	0	931
AF	0	0.023256	1878	1236	642	812	0	0	812
AF	0	0.025194	1832	1199	633	752	0	0	752
AF	0	0.027132	1618	1032	586	749	0	0	749
AF	0	0.029070	1521	964	557	644	0	0	644
AF	0	0.031008	1455	987	468	642	0	0	642
AF	0	0.032946	1374	899	475	569	0	0	569
AF	0	0.034884	1354	866	488	582	0	0	582
AF	0	0.036822	1307	877	430	578	0	0	578
AF	0	0.038760	1113	712	401	506	0	0	506
AF	0	0.040698	1097	728	369	467	0	0	467
AF	0	0.042636	937	605	332	423	0	0	423
AF	0	0.044574	972	645	327	388	0	0	388
AF	0	0.046512	1003	638	365	373	0	0	373
AF	0	0.048450	846	561	285	398	0	0	398
AF	0	0.050388	1109	725	384	449	0	0	449
AF	0	0.052326	937	602	335	357	0	0	357
AF	0	0.054264	862	561	301	358	0	0	358
AF	0	0.056202	936	619	317	352	0	0	352
AF	0	0.058140	692	437	255	325	0	0	325
AF	0	0.060078	864	556	308	350	0	0	350
AF	0	0.062016	985	661	324	366	0	0	366
AF	0	0.063953	704	440	264	288	0	0	288
AF	0	0.065891	983	653	330	325	0	0	325
AF	0	0.067829	834	532	302	314	0	0	314
AF	0	0.069767	866	570	296	315	0	0	315
AF	0	0.071705	605	399	206	254	0	0	254
AF	0	0.073643	705	486	219	245	0	0	245
