# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/e2a7d427-7260-4c53-b7b3-a2eb6072a9dd/subset_vcf_sample_list/a7a5d68a-8818-4b8b-ad63-f4beb20b0c5b/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr7.recalibrated_variants.pass.singleton.AFR_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/e2a7d427-7260-4c53-b7b3-a2eb6072a9dd/subset_vcf_sample_list/a7a5d68a-8818-4b8b-ad63-f4beb20b0c5b/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr7.recalibrated_variants.pass.singleton.AFR_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	690
SN	0	number of records:	6548709
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	6078728
SN	0	number of MNPs:	0
SN	0	number of indels:	545229
SN	0	number of others:	111360
SN	0	number of multiallelic sites:	443062
SN	0	number of multiallelic SNP sites:	183505
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	4073989	2119252	1.92	3989910	2021254	1.97
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	1080238	710002	370236	106145	0	0	106145
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	4655018	3053222	1601796	387524	0	0	387524
AF	0	0.001449	234512	155852	78660	54527	0	0	54527
AF	0	0.002899	118668	78655	40013	30836	0	0	30836
AF	0	0.004348	80055	52639	27416	21441	0	0	21441
AF	0	0.005797	61077	40281	20796	16581	0	0	16581
AF	0	0.007246	49088	32372	16716	13778	0	0	13778
AF	0	0.008696	40544	26785	13759	11574	0	0	11574
AF	0	0.010145	34730	22871	11859	10074	0	0	10074
AF	0	0.011594	32003	21222	10781	8929	0	0	8929
AF	0	0.013043	27378	18196	9182	8049	0	0	8049
AF	0	0.014493	24367	16082	8285	7342	0	0	7342
AF	0	0.015942	22584	14827	7757	6643	0	0	6643
AF	0	0.017391	21403	14093	7310	6388	0	0	6388
AF	0	0.018841	20107	13364	6743	6001	0	0	6001
AF	0	0.020290	18654	12241	6413	5467	0	0	5467
AF	0	0.021739	16486	10878	5608	5056	0	0	5056
AF	0	0.023188	15780	10513	5267	4682	0	0	4682
AF	0	0.024638	14223	9503	4720	4447	0	0	4447
AF	0	0.026087	13351	8906	4445	4176	0	0	4176
AF	0	0.027536	12134	8029	4105	3974	0	0	3974
AF	0	0.028986	11695	7703	3992	3713	0	0	3713
AF	0	0.030435	11820	8012	3808	3626	0	0	3626
AF	0	0.031884	10767	7099	3668	3476	0	0	3476
AF	0	0.033333	10289	6836	3453	3302	0	0	3302
AF	0	0.034783	10097	6696	3401	3189	0	0	3189
AF	0	0.036232	8913	5839	3074	3017	0	0	3017
AF	0	0.037681	9054	5957	3097	3022	0	0	3022
AF	0	0.039130	9131	6019	3112	2924	0	0	2924
AF	0	0.040580	8646	5794	2852	2817	0	0	2817
AF	0	0.042029	8709	5814	2895	2665	0	0	2665
AF	0	0.043478	7214	4744	2470	2547	0	0	2547
AF	0	0.044928	7221	4797	2424	2356	0	0	2356
AF	0	0.046377	7300	4821	2479	2468	0	0	2468
AF	0	0.047826	6427	4247	2180	2234	0	0	2234
AF	0	0.049275	6364	4277	2087	2246	0	0	2246
