# This file was produced by plot-vcfstats, the command line was:
#   plot-vcfstats -m ./singleton/chm13_AFR/1kgp.chr1.recalibrated.snp_indel.pass.singleton.AFR_singleton.bcftools.stats.txt ./singleton/chm13_AFR/1kgp.chr10.recalibrated.snp_indel.pass.singleton.AFR_singleton.bcftools.stats.txt ./singleton/chm13_AFR/1kgp.chr11.recalibrated.snp_indel.pass.singleton.AFR_singleton.bcftools.stats.txt ./singleton/chm13_AFR/1kgp.chr12.recalibrated.snp_indel.pass.singleton.AFR_singleton.bcftools.stats.txt ./singleton/chm13_AFR/1kgp.chr13.recalibrated.snp_indel.pass.singleton.AFR_singleton.bcftools.stats.txt ./singleton/chm13_AFR/1kgp.chr14.recalibrated.snp_indel.pass.singleton.AFR_singleton.bcftools.stats.txt ./singleton/chm13_AFR/1kgp.chr15.recalibrated.snp_indel.pass.singleton.AFR_singleton.bcftools.stats.txt ./singleton/chm13_AFR/1kgp.chr16.recalibrated.snp_indel.pass.singleton.AFR_singleton.bcftools.stats.txt ./singleton/chm13_AFR/1kgp.chr17.recalibrated.snp_indel.pass.singleton.AFR_singleton.bcftools.stats.txt ./singleton/chm13_AFR/1kgp.chr18.recalibrated.snp_indel.pass.singleton.AFR_singleton.bcftools.stats.txt ./singleton/chm13_AFR/1kgp.chr19.recalibrated.snp_indel.pass.singleton.AFR_singleton.bcftools.stats.txt ./singleton/chm13_AFR/1kgp.chr2.recalibrated.snp_indel.pass.singleton.AFR_singleton.bcftools.stats.txt ./singleton/chm13_AFR/1kgp.chr20.recalibrated.snp_indel.pass.singleton.AFR_singleton.bcftools.stats.txt ./singleton/chm13_AFR/1kgp.chr21.recalibrated.snp_indel.pass.singleton.AFR_singleton.bcftools.stats.txt ./singleton/chm13_AFR/1kgp.chr22.recalibrated.snp_indel.pass.singleton.AFR_singleton.bcftools.stats.txt ./singleton/chm13_AFR/1kgp.chr3.recalibrated.snp_indel.pass.singleton.AFR_singleton.bcftools.stats.txt ./singleton/chm13_AFR/1kgp.chr4.recalibrated.snp_indel.pass.singleton.AFR_singleton.bcftools.stats.txt ./singleton/chm13_AFR/1kgp.chr5.recalibrated.snp_indel.pass.singleton.AFR_singleton.bcftools.stats.txt ./singleton/chm13_AFR/1kgp.chr6.recalibrated.snp_indel.pass.singleton.AFR_singleton.bcftools.stats.txt ./singleton/chm13_AFR/1kgp.chr7.recalibrated.snp_indel.pass.singleton.AFR_singleton.bcftools.stats.txt ./singleton/chm13_AFR/1kgp.chr8.recalibrated.snp_indel.pass.singleton.AFR_singleton.bcftools.stats.txt ./singleton/chm13_AFR/1kgp.chr9.recalibrated.snp_indel.pass.singleton.AFR_singleton.bcftools.stats.txt
#
# Definition of sets
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/eada155b-f50d-4fe0-a789-18741315b7d3/subset_vcf_sample_list/*1.recalibrated.snp_indel.pass.singleton.AFR_singleton.vcf.gz
# SN, Summary numbers
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	690
SN	0	number of records:	113534318
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	103672128
SN	0	number of MNPs:	0
SN	0	number of indels:	11109273
SN	0	number of others:	1524772
SN	0	number of multiallelic sites:	8211016
SN	0	number of multiallelic SNP sites:	4343504
# # TSTV, transition/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	69088609	36749651	1.88	66946067	34337845	1.95
# Sis, Singleton stats
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	18600363	12112869	6487494	2424341	0	0	2424341
# AF, Stats by non-reference allele frequency
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	80483009	52373192	28109817	9052215	0	0	9052215
AF	0	0.001449	4065460	2626874	1438586	856153	0	0	856153
AF	0	0.002899	2050955	1323788	727167	456163	0	0	456163
AF	0	0.004348	1361695	881897	479798	310897	0	0	310897
AF	0	0.005797	1011461	657681	353780	236495	0	0	236495
AF	0	0.007246	812620	530728	281892	192437	0	0	192437
AF	0	0.008696	675498	442442	233056	162440	0	0	162440
AF	0	0.010145	576688	378928	197760	141110	0	0	141110
AF	0	0.011594	506676	332971	173705	124691	0	0	124691
AF	0	0.013043	448243	295235	153008	112042	0	0	112042
AF	0	0.014493	400337	264100	136237	102176	0	0	102176
AF	0	0.015942	364022	240132	123890	93506	0	0	93506
AF	0	0.017391	335170	221682	113488	86124	0	0	86124
AF	0	0.018841	305662	202550	103112	80364	0	0	80364
AF	0	0.020290	283420	188154	95266	74609	0	0	74609
AF	0	0.021739	263634	174926	88708	70440	0	0	70440
AF	0	0.023188	246496	164359	82137	65996	0	0	65996
AF	0	0.024638	232605	154266	78339	62659	0	0	62659
AF	0	0.026087	220097	146044	74053	59915	0	0	59915
AF	0	0.027536	204282	135911	68371	56893	0	0	56893
AF	0	0.028986	192239	127855	64384	54109	0	0	54109
AF	0	0.030435	184375	123563	60812	51765	0	0	51765
AF	0	0.031884	176093	117127	58966	49551	0	0	49551
AF	0	0.033333	167996	112067	55929	48070	0	0	48070
AF	0	0.034783	159488	106202	53286	45465	0	0	45465
AF	0	0.036232	151681	101087	50594	43576	0	0	43576
AF	0	0.037681	147548	98048	49500	43579	0	0	43579
AF	0	0.039130	140608	94189	46419	39384	0	0	39384
AF	0	0.040580	134622	89573	45049	39985	0	0	39985
AF	0	0.042029	128584	85478	43106	37141	0	0	37141
AF	0	0.043478	125849	83594	42255	36960	0	0	36960
AF	0	0.044928	119658	80025	39633	35504	0	0	35504
AF	0	0.046377	117501	78474	39027	35341	0	0	35341
AF	0	0.047826	112777	75330	37447	33808	0	0	33808
AF	0	0.049275	109974	73579	36395	32893	0	0	32893
AF	0	0.050725	105596	70798	34798	32006	0	0	32006
AF	0	0.052174	101290	68061	33229	31083	0	0	31083
AF	0	0.053623	98988	66108	32880	30136	0	0	30136
AF	0	0.055072	96070	64284	31786	29501	0	0	29501
AF	0	0.056522	94078	62579	31499	28666	0	0	28666
AF	0	0.057971	90105	60170	29935	28295	0	0	28295
AF	0	0.059420	88961	59527	29434	27833	0	0	27833
AF	0	0.060870	85279	57130	28149	27027	0	0	27027
AF	0	0.062319	83198	55548	27650	26172	0	0	26172
AF	0	0.063768	80439	53812	26627	26171	0	0	26171
AF	0	0.065217	77950	52049	25901	24278	0	0	24278
AF	0	0.066667	75572	50482	25090	24484	0	0	24484
AF	0	0.068116	74462	49706	24756	23688	0	0	23688
AF	0	0.069565	72298	48571	23727	23341	0	0	23341
AF	0	0.071014	70705	47004	23701	22456	0	0	22456
AF	0	0.072464	69692	46661	23031	22346	0	0	22346
AF	0	0.073913	66611	44714	21897	21878	0	0	21878
AF	0	0.075362	66263	44457	21806	21066	0	0	21066
AF	0	0.076812	65564	43834	21730	21762	0	0	21762
AF	0	0.078261	62867	42136	20731	20123	0	0	20123
AF	0	0.079710	62756	41906	20850	20322	0	0	20322
AF	0	0.081159	60363	40334	20029	20124	0	0	20124
AF	0	0.082609	59287	39713	19574	20001	0	0	20001
AF	0	0.084058	57944	38781	19163	18918	0	0	18918
AF	0	0.085507	57202	38164	19038	18970	0	0	18970
