# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  -v --samples-file /cromwell_root/fc-47de7dae-e8e6-429c-b760-b4ba49136eee/resources/1kgp/CHB.txt /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/7aeeca81-6cc4-4dc9-980d-1b06493667e8/subset_vcf_sample_list/6a80b023-6280-461b-a165-36a8a73b904d/call-bgzip_bcftools_index/1kgp.chr21.recalibrated.snp_indel.pass.singleton.CHB_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/7aeeca81-6cc4-4dc9-980d-1b06493667e8/subset_vcf_sample_list/6a80b023-6280-461b-a165-36a8a73b904d/call-bgzip_bcftools_index/1kgp.chr21.recalibrated.snp_indel.pass.singleton.CHB_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	103
SN	0	number of records:	1651807
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	1510067
SN	0	number of MNPs:	0
SN	0	number of indels:	162656
SN	0	number of others:	30398
SN	0	number of multiallelic sites:	165506
SN	0	number of multiallelic SNP sites:	101188
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	1004927	547865	1.83	958349	495354	1.93
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	71661	46433	25228	14253	0	0	14253
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	1423150	920902	502248	191024	0	0	191024
AF	0	0.009709	14548	8819	5729	4855	0	0	4855
AF	0	0.019417	7152	4400	2752	2576	0	0	2576
AF	0	0.029126	5333	3322	2011	2077	0	0	2077
AF	0	0.038835	4093	2604	1489	1560	0	0	1560
AF	0	0.048544	3000	1949	1051	1199	0	0	1199
AF	0	0.058252	3559	2331	1228	1127	0	0	1127
AF	0	0.067961	2937	1904	1033	918	0	0	918
AF	0	0.077670	2461	1657	804	816	0	0	816
AF	0	0.087379	2877	1842	1035	836	0	0	836
AF	0	0.097087	2113	1372	741	726	0	0	726
AF	0	0.106796	2106	1383	723	633	0	0	633
AF	0	0.116505	1959	1296	663	623	0	0	623
AF	0	0.126214	1828	1201	627	551	0	0	551
AF	0	0.135922	1882	1200	682	557	0	0	557
AF	0	0.145631	1786	1152	634	531	0	0	531
AF	0	0.155340	1452	952	500	414	0	0	414
AF	0	0.165049	1580	1051	529	446	0	0	446
AF	0	0.174757	1280	835	445	397	0	0	397
AF	0	0.184466	1404	944	460	448	0	0	448
AF	0	0.194175	1299	838	461	394	0	0	394
AF	0	0.203883	1515	980	535	410	0	0	410
AF	0	0.213592	1888	1266	622	439	0	0	439
AF	0	0.223301	1169	776	393	382	0	0	382
AF	0	0.233010	1036	681	355	306	0	0	306
AF	0	0.242718	1129	738	391	335	0	0	335
AF	0	0.252427	1201	797	404	329	0	0	329
AF	0	0.262136	1113	732	381	314	0	0	314
AF	0	0.271845	1187	813	374	312	0	0	312
AF	0	0.281553	1187	794	393	321	0	0	321
AF	0	0.291262	1299	822	477	321	0	0	321
AF	0	0.300971	1217	800	417	303	0	0	303
AF	0	0.310680	1062	715	347	281	0	0	281
AF	0	0.320388	1005	665	340	291	0	0	291
AF	0	0.330097	1061	678	383	262	0	0	262
AF	0	0.339806	1169	780	389	252	0	0	252
AF	0	0.349515	1240	772	468	274	0	0	274
AF	0	0.359223	984	617	367	233	0	0	233
AF	0	0.368932	978	637	341	256	0	0	256
AF	0	0.378641	1688	1008	680	282	0	0	282
AF	0	0.388350	1150	742	408	233	0	0	233
