# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  -v --samples-file /cromwell_root/fc-47de7dae-e8e6-429c-b760-b4ba49136eee/resources/1kgp/ESN.txt /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/d0616059-4a17-4fd1-b9c2-316f244cb684/subset_vcf_sample_list/9b820372-aa78-403d-9cfb-89560e04dae2/call-bgzip_bcftools_index/attempt-2/1kgp.chr1.recalibrated.snp_indel.pass.singleton.ESN_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/d0616059-4a17-4fd1-b9c2-316f244cb684/subset_vcf_sample_list/9b820372-aa78-403d-9cfb-89560e04dae2/call-bgzip_bcftools_index/attempt-2/1kgp.chr1.recalibrated.snp_indel.pass.singleton.ESN_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	106
SN	0	number of records:	9094487
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	8312237
SN	0	number of MNPs:	0
SN	0	number of indels:	876814
SN	0	number of others:	114473
SN	0	number of multiallelic sites:	647499
SN	0	number of multiallelic SNP sites:	346361
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	5602178	2875180	1.95	5432921	2688592	2.02
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	433984	283659	150325	84797	0	0	84797
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	7317654	4821433	2496221	903963	0	0	903963
AF	0	0.009434	189420	125155	64265	48588	0	0	48588
AF	0	0.018868	114113	76558	37555	31489	0	0	31489
AF	0	0.028302	81417	54912	26505	23239	0	0	23239
AF	0	0.037736	63502	42816	20686	18939	0	0	18939
AF	0	0.047170	51497	34852	16645	15717	0	0	15717
AF	0	0.056604	42679	28869	13810	13559	0	0	13559
AF	0	0.066038	36280	24761	11519	11902	0	0	11902
AF	0	0.075472	30460	20625	9835	10332	0	0	10332
AF	0	0.084906	28050	18893	9157	9355	0	0	9355
AF	0	0.094340	25514	17267	8247	8666	0	0	8666
AF	0	0.103774	22216	15015	7201	7692	0	0	7692
AF	0	0.113208	20246	13649	6597	6925	0	0	6925
AF	0	0.122642	18416	12389	6027	6441	0	0	6441
AF	0	0.132075	17064	11545	5519	5847	0	0	5847
AF	0	0.141509	15685	10595	5090	5483	0	0	5483
AF	0	0.150943	14155	9528	4627	5083	0	0	5083
AF	0	0.160377	13183	8871	4312	4513	0	0	4513
AF	0	0.169811	12621	8535	4086	4353	0	0	4353
AF	0	0.179245	11289	7643	3646	4005	0	0	4005
AF	0	0.188679	11050	7447	3603	3908	0	0	3908
AF	0	0.198113	10621	7183	3438	3626	0	0	3626
AF	0	0.207547	10006	6722	3284	3384	0	0	3384
AF	0	0.216981	9041	6117	2924	3234	0	0	3234
AF	0	0.226415	8623	5834	2789	3031	0	0	3031
AF	0	0.235849	8979	6052	2927	2888	0	0	2888
AF	0	0.245283	8331	5644	2687	2657	0	0	2657
AF	0	0.254717	7821	5312	2509	2543	0	0	2543
AF	0	0.264151	7729	5164	2565	2336	0	0	2336
AF	0	0.273585	6998	4729	2269	2340	0	0	2340
AF	0	0.283019	7200	4888	2312	2214	0	0	2214
AF	0	0.292453	6635	4470	2165	2165	0	0	2165
AF	0	0.301887	6301	4214	2087	1938	0	0	1938
AF	0	0.311321	6111	4176	1935	1960	0	0	1960
AF	0	0.320755	5997	4059	1938	1771	0	0	1771
AF	0	0.330189	5781	3872	1909	1712	0	0	1712
