# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  -v --samples-file /cromwell_root/fc-47de7dae-e8e6-429c-b760-b4ba49136eee/resources/1kgp/EAS.txt /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/60e15ba6-b0f4-4b36-b445-6886d88c2057/subset_vcf_sample_list/671fd54b-f4c6-4dc1-9ee5-caa02fcfd529/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr20.recalibrated_variants.pass.singleton.EAS_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/60e15ba6-b0f4-4b36-b445-6886d88c2057/subset_vcf_sample_list/671fd54b-f4c6-4dc1-9ee5-caa02fcfd529/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr20.recalibrated_variants.pass.singleton.EAS_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	513
SN	0	number of records:	2592958
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	2410060
SN	0	number of MNPs:	0
SN	0	number of indels:	212696
SN	0	number of others:	45525
SN	0	number of multiallelic sites:	183413
SN	0	number of multiallelic SNP sites:	78330
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	1648828	811909	2.03	1613104	769949	2.10
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	321291	216859	104432	35978	0	0	35978
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	2158781	1449658	709123	223068	0	0	223068
AF	0	0.001949	50433	33100	17333	15881	0	0	15881
AF	0	0.003899	22405	14479	7926	8487	0	0	8487
AF	0	0.005848	14368	9186	5182	5538	0	0	5538
AF	0	0.007797	9707	6275	3432	3975	0	0	3975
AF	0	0.009747	7469	4786	2683	3162	0	0	3162
AF	0	0.011696	6187	3899	2288	2661	0	0	2661
AF	0	0.013645	5063	3222	1841	2251	0	0	2251
AF	0	0.015595	4106	2692	1414	1878	0	0	1878
AF	0	0.017544	3481	2220	1261	1676	0	0	1676
AF	0	0.019493	3318	2147	1171	1424	0	0	1424
AF	0	0.021442	2725	1691	1034	1322	0	0	1322
AF	0	0.023392	2560	1639	921	1175	0	0	1175
AF	0	0.025341	2373	1534	839	1071	0	0	1071
AF	0	0.027290	2350	1502	848	1042	0	0	1042
AF	0	0.029240	1973	1267	706	931	0	0	931
AF	0	0.031189	1840	1179	661	843	0	0	843
AF	0	0.033138	1480	932	548	758	0	0	758
AF	0	0.035088	1427	930	497	706	0	0	706
AF	0	0.037037	1392	909	483	663	0	0	663
AF	0	0.038986	1355	871	484	627	0	0	627
AF	0	0.040936	1108	717	391	586	0	0	586
AF	0	0.042885	1227	814	413	582	0	0	582
AF	0	0.044834	1252	820	432	533	0	0	533
AF	0	0.046784	878	551	327	522	0	0	522
AF	0	0.048733	1071	670	401	522	0	0	522
AF	0	0.050682	1064	652	412	507	0	0	507
AF	0	0.052632	1077	717	360	463	0	0	463
AF	0	0.054581	951	626	325	461	0	0	461
AF	0	0.056530	1169	758	411	423	0	0	423
AF	0	0.058480	872	580	292	445	0	0	445
AF	0	0.060429	934	616	318	448	0	0	448
AF	0	0.062378	1083	735	348	405	0	0	405
AF	0	0.064327	869	577	292	348	0	0	348
AF	0	0.066277	1047	698	349	400	0	0	400
AF	0	0.068226	960	643	317	365	0	0	365
AF	0	0.070175	852	561	291	367	0	0	367
AF	0	0.072125	852	550	302	399	0	0	399
AF	0	0.074074	743	485	258	371	0	0	371
AF	0	0.076023	802	520	282	320	0	0	320
AF	0	0.077973	843	605	238	342	0	0	342
