# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  -v --samples-file /cromwell_root/fc-47de7dae-e8e6-429c-b760-b4ba49136eee/resources/1kgp/CEU.txt /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/f949c2a2-6fa5-4208-89c5-1ac63d8fcfe3/subset_vcf_sample_list/a4152f84-c95d-43f2-9aee-84f140849c50/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr20.recalibrated_variants.pass.singleton.CEU_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/f949c2a2-6fa5-4208-89c5-1ac63d8fcfe3/subset_vcf_sample_list/a4152f84-c95d-43f2-9aee-84f140849c50/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr20.recalibrated_variants.pass.singleton.CEU_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	122
SN	0	number of records:	2592958
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	2410060
SN	0	number of MNPs:	0
SN	0	number of indels:	212696
SN	0	number of others:	45525
SN	0	number of multiallelic sites:	183413
SN	0	number of multiallelic SNP sites:	78330
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	1648828	811909	2.03	1613104	769949	2.10
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	111977	74351	37626	23784	0	0	23784
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	2224951	1491800	733151	250279	0	0	250279
AF	0	0.008197	28610	18596	10014	11013	0	0	11013
AF	0	0.016393	16664	10861	5803	6267	0	0	6267
AF	0	0.024590	11137	7287	3850	4601	0	0	4601
AF	0	0.032787	8855	5874	2981	3458	0	0	3458
AF	0	0.040984	7190	4815	2375	2904	0	0	2904
AF	0	0.049180	6367	4274	2093	2516	0	0	2516
AF	0	0.057377	6086	4025	2061	2244	0	0	2244
AF	0	0.065574	4657	3102	1555	1779	0	0	1779
AF	0	0.073770	4705	3132	1573	1731	0	0	1731
AF	0	0.081967	4443	2978	1465	1590	0	0	1590
AF	0	0.090164	4412	2994	1418	1549	0	0	1549
AF	0	0.098361	3779	2502	1277	1325	0	0	1325
AF	0	0.106557	3602	2343	1259	1290	0	0	1290
AF	0	0.114754	3786	2510	1276	1232	0	0	1232
AF	0	0.122951	3238	2195	1043	1068	0	0	1068
AF	0	0.131148	2924	1979	945	1003	0	0	1003
AF	0	0.139344	2842	1848	994	1003	0	0	1003
AF	0	0.147541	2716	1808	908	938	0	0	938
AF	0	0.155738	2520	1686	834	855	0	0	855
AF	0	0.163934	2726	1833	893	847	0	0	847
AF	0	0.172131	2107	1408	699	783	0	0	783
AF	0	0.180328	2441	1626	815	770	0	0	770
AF	0	0.188525	2546	1744	802	735	0	0	735
AF	0	0.196721	2092	1384	708	718	0	0	718
AF	0	0.204918	2284	1530	754	701	0	0	701
AF	0	0.213115	1977	1324	653	619	0	0	619
AF	0	0.221311	1949	1278	671	657	0	0	657
AF	0	0.229508	1752	1170	582	550	0	0	550
AF	0	0.237705	2031	1341	690	543	0	0	543
AF	0	0.245902	2018	1349	669	572	0	0	572
AF	0	0.254098	1857	1264	593	529	0	0	529
AF	0	0.262295	1744	1156	588	521	0	0	521
AF	0	0.270492	1895	1317	578	556	0	0	556
AF	0	0.278689	1598	1065	533	506	0	0	506
AF	0	0.286885	1392	950	442	400	0	0	400
AF	0	0.295082	1421	949	472	391	0	0	391
AF	0	0.303279	1381	943	438	426	0	0	426
AF	0	0.311475	1239	837	402	382	0	0	382
AF	0	0.319672	1186	801	385	343	0	0	343
AF	0	0.327869	1225	809	416	366	0	0	366
AF	0	0.336066	1264	826	438	359	0	0	359
AF	0	0.344262	1446	1002	444	360	0	0	360
AF	0	0.352459	1517	1023	494	396	0	0	396
AF	0	0.360656	1411	921	490	362	0	0	362
AF	0	0.368852	1290	891	399	364	0	0	364
AF	0	0.377049	1418	924	494	371	0	0	371
AF	0	0.385246	1297	902	395	338	0	0	338
AF	0	0.393443	1531	1034	497	376	0	0	376
AF	0	0.401639	1460	990	470	347	0	0	347
AF	0	0.409836	1283	857	426	274	0	0	274
AF	0	0.418033	1033	697	336	269	0	0	269
AF	0	0.426230	1180	758	422	293	0	0	293
AF	0	0.434426	1548	1053	495	313	0	0	313
AF	0	0.442623	1231	836	395	296	0	0	296
AF	0	0.450820	1234	826	408	263	0	0	263
AF	0	0.459016	1209	791	418	259	0	0	259
AF	0	0.467213	1448	986	462	257	0	0	257
AF	0	0.475410	1423	940	483	230	0	0	230
AF	0	0.483607	1501	969	532	283	0	0	283
AF	0	0.491803	2956	1875	1081	371	0	0	371
AF	0	0.500000	2152	1344	808	261	0	0	261
AF	0	0.508197	904	627	277	208	0	0	208
AF	0	0.516393	925	612	313	202	0	0	202
AF	0	0.524590	1019	681	338	250	0	0	250
AF	0	0.532787	1029	740	289	205	0	0	205
AF	0	0.540984	759	518	241	212	0	0	212
AF	0	0.549180	962	683	279	184	0	0	184
AF	0	0.557377	600	408	192	149	0	0	149
AF	0	0.565574	667	477	190	163	0	0	163
AF	0	0.573770	932	671	261	206	0	0	206
AF	0	0.581967	678	462	216	160	0	0	160
AF	0	0.590164	888	597	291	174	0	0	174
AF	0	0.598361	843	570	273	180	0	0	180
AF	0	0.606557	895	621	274	188	0	0	188
AF	0	0.614754	766	505	261	153	0	0	153
AF	0	0.622951	806	529	277	157	0	0	157
AF	0	0.631148	798	536	262	146	0	0	146
AF	0	0.639344	700	483	217	123	0	0	123
AF	0	0.647541	770	522	248	157	0	0	157
AF	0	0.655738	802	538	264	141	0	0	141
AF	0	0.663934	565	398	167	140	0	0	140
AF	0	0.672131	592	392	200	117	0	0	117
AF	0	0.680328	444	317	127	121	0	0	121
AF	0	0.688525	638	440	198	128	0	0	128
AF	0	0.696721	769	547	222	138	0	0	138
AF	0	0.704918	557	384	173	109	0	0	109
AF	0	0.713115	553	366	187	114	0	0	114
AF	0	0.721311	491	332	159	114	0	0	114
AF	0	0.729508	554	375	179	118	0	0	118
AF	0	0.737705	539	387	152	100	0	0	100
AF	0	0.745902	765	534	231	127	0	0	127
AF	0	0.754098	729	513	216	117	0	0	117
AF	0	0.762295	595	429	166	105	0	0	105
AF	0	0.770492	428	284	144	75	0	0	75
AF	0	0.778689	465	308	157	89	0	0	89
AF	0	0.786885	568	398	170	115	0	0	115
AF	0	0.795082	607	435	172	121	0	0	121
AF	0	0.803279	437	303	134	80	0	0	80
AF	0	0.811475	399	262	137	83	0	0	83
AF	0	0.819672	508	353	155	75	0	0	75
AF	0	0.827869	393	268	125	81	0	0	81
AF	0	0.836066	436	295	141	71	0	0	71
AF	0	0.844262	473	324	149	78	0	0	78
AF	0	0.852459	487	335	152	59	0	0	59
AF	0	0.860656	567	382	185	78	0	0	78
AF	0	0.868852	318	206	112	67	0	0	67
AF	0	0.877049	422	290	132	81	0	0	81
AF	0	0.885246	419	293	126	54	0	0	54
AF	0	0.893443	313	222	91	47	0	0	47
AF	0	0.901639	263	187	76	42	0	0	42
AF	0	0.909836	259	167	92	46	0	0	46
AF	0	0.918033	396	270	126	60	0	0	60
AF	0	0.926230	416	277	139	49	0	0	49
AF	0	0.934426	447	318	129	69	0	0	69
AF	0	0.942623	420	275	145	54	0	0	54
AF	0	0.950820	399	282	117	52	0	0	52
AF	0	0.959016	374	248	126	47	0	0	47
AF	0	0.967213	463	305	158	53	0	0	53
AF	0	0.975410	502	336	166	57	0	0	57
AF	0	0.983607	514	350	164	85	0	0	85
AF	0	0.991803	2333	1529	804	480	0	0	480
# QUAL, Stats by quality:
# QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	30	410	192	218	10
QUAL	0	31	1036	579	457	19
QUAL	0	32	672	361	311	16
QUAL	0	33	438	240	198	16
QUAL	0	34	951	497	454	30
QUAL	0	35	684	392	292	29
QUAL	0	36	447	224	223	17
QUAL	0	37	948	492	456	22
QUAL	0	38	705	383	322	20
QUAL	0	39	457	240	217	16
QUAL	0	40	830	419	411	24
QUAL	0	41	683	387	296	23
QUAL	0	42	450	246	204	14
QUAL	0	43	689	390	299	24
QUAL	0	44	684	373	311	11
QUAL	0	45	511	279	232	19
QUAL	0	46	716	394	322	21
QUAL	0	47	741	385	356	19
QUAL	0	48	460	233	227	19
QUAL	0	49	737	377	360	27
QUAL	0	50	719	414	305	18
QUAL	0	51	468	253	215	17
QUAL	0	52	665	358	307	21
QUAL	0	53	719	399	320	24
QUAL	0	54	439	237	202	14
QUAL	0	55	650	382	268	25
QUAL	0	56	664	380	284	28
QUAL	0	57	477	251	226	16
QUAL	0	58	623	366	257	19
QUAL	0	59	704	376	328	16
QUAL	0	60	422	213	209	17
QUAL	0	61	615	334	281	27
QUAL	0	62	709	413	296	21
QUAL	0	63	438	258	180	15
QUAL	0	64	615	327	288	21
QUAL	0	65	698	386	312	18
QUAL	0	66	456	246	210	12
QUAL	0	67	656	371	285	20
QUAL	0	68	630	347	283	15
QUAL	0	69	433	222	211	16
QUAL	0	70	656	365	291	26
QUAL	0	71	693	368	325	21
QUAL	0	72	400	222	178	18
QUAL	0	73	703	404	299	34
QUAL	0	74	627	350	277	16
QUAL	0	75	427	236	191	19
QUAL	0	76	673	369	304	21
QUAL	0	77	621	329	292	24
QUAL	0	78	411	208	203	14
QUAL	0	79	594	340	254	22
QUAL	0	80	654	372	282	14
QUAL	0	81	447	248	199	21
QUAL	0	82	646	365	281	24
QUAL	0	83	571	337	234	25
QUAL	0	84	435	249	186	19
QUAL	0	85	653	345	308	23
QUAL	0	86	629	359	270	31
QUAL	0	87	401	244	157	10
QUAL	0	88	620	330	290	28
QUAL	0	89	651	365	286	24
QUAL	0	90	452	256	196	13
QUAL	0	91	649	372	277	21
QUAL	0	92	576	332	244	17
QUAL	0	93	442	251	191	18
QUAL	0	94	665	375	290	26
QUAL	0	95	554	335	219	13
QUAL	0	96	491	296	195	23
QUAL	0	97	634	369	265	25
QUAL	0	98	535	306	229	28
QUAL	0	99	469	279	190	18
QUAL	0	100	705	412	293	28
QUAL	0	101	510	318	192	27
QUAL	0	102	519	283	236	13
