# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  -v --samples-file /cromwell_root/fc-47de7dae-e8e6-429c-b760-b4ba49136eee/resources/1kgp/STU.txt /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/6db497fd-646c-4a95-9241-117f9a20fed1/subset_vcf_sample_list/908ebc2a-ad11-4ac1-a0c5-105b20328387/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr9.recalibrated_variants.pass.singleton.STU_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/6db497fd-646c-4a95-9241-117f9a20fed1/subset_vcf_sample_list/908ebc2a-ad11-4ac1-a0c5-105b20328387/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr9.recalibrated_variants.pass.singleton.STU_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	104
SN	0	number of records:	5071253
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	4733196
SN	0	number of MNPs:	0
SN	0	number of indels:	390452
SN	0	number of others:	70627
SN	0	number of multiallelic sites:	320818
SN	0	number of multiallelic SNP sites:	142413
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	3126523	1701802	1.84	3062962	1623590	1.89
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	229190	150140	79050	41539	0	0	41539
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	4370743	2828029	1542714	448172	0	0	448172
AF	0	0.009615	64372	41129	23243	23002	0	0	23002
AF	0	0.019231	33601	21579	12022	12916	0	0	12916
AF	0	0.028846	22956	14960	7996	9024	0	0	9024
AF	0	0.038462	17773	11456	6317	7051	0	0	7051
AF	0	0.048077	14516	9457	5059	5725	0	0	5725
AF	0	0.057692	12771	8378	4393	4937	0	0	4937
AF	0	0.067308	11139	7209	3930	4162	0	0	4162
AF	0	0.076923	9811	6313	3498	3730	0	0	3730
AF	0	0.086538	8783	5779	3004	3320	0	0	3320
AF	0	0.096154	8471	5562	2909	3082	0	0	3082
AF	0	0.105769	7786	5075	2711	2907	0	0	2907
AF	0	0.115385	7246	4749	2497	2542	0	0	2542
AF	0	0.125000	7235	4717	2518	2460	0	0	2460
AF	0	0.134615	6948	4566	2382	2264	0	0	2264
AF	0	0.144231	7347	4791	2556	2168	0	0	2168
AF	0	0.153846	6499	4223	2276	2023	0	0	2023
AF	0	0.163462	6378	4169	2209	1831	0	0	1831
AF	0	0.173077	5227	3424	1803	1781	0	0	1781
AF	0	0.182692	5476	3601	1875	1778	0	0	1778
AF	0	0.192308	5041	3301	1740	1591	0	0	1591
AF	0	0.201923	4968	3269	1699	1536	0	0	1536
AF	0	0.211538	4699	3066	1633	1471	0	0	1471
AF	0	0.221154	5129	3342	1787	1455	0	0	1455
AF	0	0.230769	4816	3119	1697	1495	0	0	1495
AF	0	0.240385	4669	3125	1544	1368	0	0	1368
AF	0	0.250000	4427	2914	1513	1291	0	0	1291
AF	0	0.259615	4032	2648	1384	1229	0	0	1229
AF	0	0.269231	4052	2703	1349	1249	0	0	1249
AF	0	0.278846	3922	2613	1309	1033	0	0	1033
AF	0	0.288462	3658	2336	1322	1082	0	0	1082
AF	0	0.298077	3318	2146	1172	965	0	0	965
AF	0	0.307692	3414	2259	1155	961	0	0	961
AF	0	0.317308	3230	2133	1097	919	0	0	919
AF	0	0.326923	3052	1996	1056	878	0	0	878
AF	0	0.336538	3232	2152	1080	900	0	0	900
AF	0	0.346154	3426	2271	1155	861	0	0	861
