# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  -v --samples-file /cromwell_root/fc-47de7dae-e8e6-429c-b760-b4ba49136eee/resources/1kgp/GIH.txt /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/d5829987-af89-4141-a38b-c8dc637af2d6/subset_vcf_sample_list/398070ab-d7fb-4fba-81a2-061aa5c1df6d/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chrX.recalibrated_variants.pass.singleton.GIH_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/d5829987-af89-4141-a38b-c8dc637af2d6/subset_vcf_sample_list/398070ab-d7fb-4fba-81a2-061aa5c1df6d/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chrX.recalibrated_variants.pass.singleton.GIH_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	103
SN	0	number of records:	4705837
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	4263697
SN	0	number of MNPs:	0
SN	0	number of indels:	493163
SN	0	number of others:	76215
SN	0	number of multiallelic sites:	296178
SN	0	number of multiallelic SNP sites:	100822
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	2788198	1535816	1.82	2738553	1478812	1.85
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	171226	112168	59058	45414	0	0	45414
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	3976693	2560169	1416524	582447	0	0	582447
AF	0	0.009709	49422	32498	16924	19332	0	0	19332
AF	0	0.019417	46363	30197	16166	19297	0	0	19297
AF	0	0.029126	13881	8977	4904	7419	0	0	7419
AF	0	0.038835	18284	11883	6401	9083	0	0	9083
AF	0	0.048544	6872	4501	2371	4090	0	0	4090
AF	0	0.058252	11528	7568	3960	5667	0	0	5667
AF	0	0.067961	6074	3910	2164	3097	0	0	3097
AF	0	0.077670	8834	5753	3081	4059	0	0	4059
AF	0	0.087379	4481	2924	1557	2554	0	0	2554
AF	0	0.097087	7514	4897	2617	3153	0	0	3153
AF	0	0.106796	3190	2042	1148	2017	0	0	2017
AF	0	0.116505	5111	3305	1806	2349	0	0	2349
AF	0	0.126214	3350	2170	1180	1828	0	0	1828
AF	0	0.135922	5769	3743	2026	2130	0	0	2130
AF	0	0.145631	3081	2003	1078	1522	0	0	1522
AF	0	0.155340	3159	2069	1090	1343	0	0	1343
AF	0	0.165049	5021	3325	1696	1952	0	0	1952
AF	0	0.174757	2432	1581	851	1132	0	0	1132
AF	0	0.184466	4372	2847	1525	1742	0	0	1742
AF	0	0.194175	2387	1602	785	979	0	0	979
AF	0	0.203883	4081	2710	1371	1485	0	0	1485
AF	0	0.213592	2186	1438	748	961	0	0	961
AF	0	0.223301	4122	2727	1395	1373	0	0	1373
AF	0	0.233010	2202	1410	792	910	0	0	910
AF	0	0.242718	3979	2623	1356	1145	0	0	1145
AF	0	0.252427	2043	1379	664	882	0	0	882
AF	0	0.262136	3479	2278	1201	1173	0	0	1173
AF	0	0.271845	2034	1360	674	848	0	0	848
AF	0	0.281553	3088	2051	1037	1070	0	0	1070
AF	0	0.291262	1602	1079	523	640	0	0	640
AF	0	0.300971	2908	1860	1048	1010	0	0	1010
AF	0	0.310680	2001	1289	712	665	0	0	665
AF	0	0.320388	1596	1023	573	591	0	0	591
AF	0	0.330097	2726	1846	880	993	0	0	993
AF	0	0.339806	2140	1425	715	660	0	0	660
AF	0	0.349515	3092	2038	1054	960	0	0	960
AF	0	0.359223	1660	1121	539	553	0	0	553
AF	0	0.368932	3012	2009	1003	899	0	0	899
AF	0	0.378641	1755	1156	599	580	0	0	580
AF	0	0.388350	2721	1821	900	855	0	0	855
