# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  -v --samples-file /cromwell_root/fc-47de7dae-e8e6-429c-b760-b4ba49136eee/resources/1kgp/CDX.txt /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/1e9b88db-8e95-455d-bb74-0879550e034a/subset_vcf_sample_list/0c9d0988-0fc3-41dc-b7b4-4f8307bce359/call-bgzip_bcftools_index/1kgp.chr21.recalibrated.snp_indel.pass.singleton.CDX_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/1e9b88db-8e95-455d-bb74-0879550e034a/subset_vcf_sample_list/0c9d0988-0fc3-41dc-b7b4-4f8307bce359/call-bgzip_bcftools_index/1kgp.chr21.recalibrated.snp_indel.pass.singleton.CDX_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	93
SN	0	number of records:	1651807
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	1510067
SN	0	number of MNPs:	0
SN	0	number of indels:	162656
SN	0	number of others:	30398
SN	0	number of multiallelic sites:	165506
SN	0	number of multiallelic SNP sites:	101188
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	1004927	547865	1.83	958349	495354	1.93
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	57440	37160	20280	12284	0	0	12284
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	1409622	912096	497526	187445	0	0	187445
AF	0	0.010000	24546	15450	9096	7334	0	0	7334
AF	0	0.020000	9554	5934	3620	3446	0	0	3446
AF	0	0.030000	6098	3895	2203	2222	0	0	2222
AF	0	0.040000	4511	2771	1740	1563	0	0	1563
AF	0	0.050000	3290	2117	1173	1292	0	0	1292
AF	0	0.060000	3222	2113	1109	1097	0	0	1097
AF	0	0.070000	2727	1783	944	991	0	0	991
AF	0	0.080000	1704	1096	608	548	0	0	548
AF	0	0.090000	2669	1752	917	848	0	0	848
AF	0	0.100000	2622	1724	898	801	0	0	801
AF	0	0.110000	2284	1498	786	698	0	0	698
AF	0	0.120000	2177	1431	746	632	0	0	632
AF	0	0.130000	2285	1477	808	655	0	0	655
AF	0	0.140000	2071	1344	727	637	0	0	637
AF	0	0.150000	1653	1065	588	506	0	0	506
AF	0	0.160000	1054	663	391	312	0	0	312
AF	0	0.170000	1913	1245	668	581	0	0	581
AF	0	0.180000	1644	1083	561	464	0	0	464
AF	0	0.190000	1369	879	490	375	0	0	375
AF	0	0.200000	1388	935	453	445	0	0	445
AF	0	0.210000	1455	915	540	437	0	0	437
AF	0	0.220000	1670	1108	562	444	0	0	444
AF	0	0.230000	1580	1050	530	431	0	0	431
AF	0	0.240000	822	536	286	247	0	0	247
AF	0	0.250000	1402	940	462	385	0	0	385
AF	0	0.260000	1300	880	420	365	0	0	365
AF	0	0.270000	1691	1082	609	344	0	0	344
AF	0	0.280000	1621	1122	499	373	0	0	373
AF	0	0.290000	1313	840	473	350	0	0	350
AF	0	0.300000	959	637	322	291	0	0	291
AF	0	0.310000	1192	783	409	312	0	0	312
AF	0	0.320000	676	455	221	185	0	0	185
AF	0	0.330000	1611	1069	542	374	0	0	374
AF	0	0.340000	1085	691	394	257	0	0	257
AF	0	0.350000	1088	687	401	278	0	0	278
AF	0	0.360000	1265	810	455	292	0	0	292
AF	0	0.370000	1196	763	433	264	0	0	264
AF	0	0.380000	1410	861	549	274	0	0	274
AF	0	0.390000	1077	704	373	246	0	0	246
AF	0	0.400000	987	652	335	227	0	0	227
AF	0	0.410000	513	336	177	117	0	0	117
AF	0	0.420000	1034	644	390	221	0	0	221
AF	0	0.430000	892	588	304	242	0	0	242
AF	0	0.440000	988	652	336	220	0	0	220
AF	0	0.450000	1190	774	416	231	0	0	231
AF	0	0.460000	991	670	321	221	0	0	221
AF	0	0.470000	1090	738	352	227	0	0	227
AF	0	0.480000	1139	747	392	212	0	0	212
AF	0	0.490000	522	361	161	106	0	0	106
AF	0	0.500000	1041	679	362	211	0	0	211
AF	0	0.510000	975	623	352	174	0	0	174
AF	0	0.520000	1385	891	494	193	0	0	193
AF	0	0.530000	739	466	273	172	0	0	172
AF	0	0.540000	680	449	231	144	0	0	144
AF	0	0.550000	656	445	211	143	0	0	143
AF	0	0.560000	832	549	283	160	0	0	160
AF	0	0.570000	274	180	94	52	0	0	52
AF	0	0.580000	913	610	303	141	0	0	141
AF	0	0.590000	572	363	209	142	0	0	142
AF	0	0.600000	604	409	195	102	0	0	102
AF	0	0.610000	792	528	264	175	0	0	175
AF	0	0.620000	741	518	223	145	0	0	145
AF	0	0.630000	628	427	201	119	0	0	119
AF	0	0.640000	583	394	189	131	0	0	131
AF	0	0.650000	357	253	104	77	0	0	77
AF	0	0.660000	483	315	168	122	0	0	122
AF	0	0.670000	621	413	208	127	0	0	127
AF	0	0.680000	679	438	241	104	0	0	104
AF	0	0.690000	591	383	208	106	0	0	106
AF	0	0.700000	661	431	230	127	0	0	127
AF	0	0.710000	615	381	234	112	0	0	112
AF	0	0.720000	475	313	162	98	0	0	98
AF	0	0.730000	513	345	168	101	0	0	101
AF	0	0.740000	260	178	82	47	0	0	47
AF	0	0.750000	526	352	174	111	0	0	111
AF	0	0.760000	673	462	211	101	0	0	101
AF	0	0.770000	507	331	176	88	0	0	88
AF	0	0.780000	379	262	117	69	0	0	69
AF	0	0.790000	609	389	220	93	0	0	93
AF	0	0.800000	715	483	232	112	0	0	112
AF	0	0.810000	593	403	190	98	0	0	98
AF	0	0.820000	550	367	183	70	0	0	70
AF	0	0.830000	632	451	181	87	0	0	87
AF	0	0.840000	512	346	166	76	0	0	76
AF	0	0.850000	600	404	196	102	0	0	102
AF	0	0.860000	552	369	183	70	0	0	70
AF	0	0.870000	492	348	144	70	0	0	70
AF	0	0.880000	567	394	173	84	0	0	84
AF	0	0.890000	315	213	102	47	0	0	47
AF	0	0.900000	124	81	43	23	0	0	23
AF	0	0.910000	486	344	142	60	0	0	60
AF	0	0.920000	427	291	136	52	0	0	52
AF	0	0.930000	526	354	172	57	0	0	57
AF	0	0.940000	826	556	270	74	0	0	74
AF	0	0.950000	538	356	182	51	0	0	51
AF	0	0.960000	427	292	135	66	0	0	66
AF	0	0.970000	704	507	197	93	0	0	93
AF	0	0.980000	222	153	69	27	0	0	27
AF	0	0.990000	1458	992	466	117	0	0	117
# QUAL, Stats by quality:
# QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	30	762	328	361	95
QUAL	0	31	849	350	418	95
QUAL	0	32	463	174	213	70
QUAL	0	33	834	343	399	96
QUAL	0	34	699	283	331	87
QUAL	0	35	533	214	244	72
QUAL	0	36	762	335	345	87
QUAL	0	37	680	276	314	85
QUAL	0	38	517	200	229	71
QUAL	0	39	789	348	369	87
QUAL	0	40	609	262	271	85
QUAL	0	41	437	163	215	68
QUAL	0	42	788	363	339	79
QUAL	0	43	635	271	280	78
QUAL	0	44	433	159	214	82
QUAL	0	45	745	311	353	71
QUAL	0	46	629	227	316	94
QUAL	0	47	435	175	196	89
QUAL	0	48	763	299	377	74
QUAL	0	49	663	254	315	78
QUAL	0	50	612	213	304	74
QUAL	0	51	867	382	387	87
QUAL	0	52	621	245	284	76
QUAL	0	53	491	159	230	51
QUAL	0	54	754	313	354	92
QUAL	0	55	621	232	288	65
QUAL	0	56	483	194	204	61
QUAL	0	57	708	300	324	56
QUAL	0	58	554	235	241	54
QUAL	0	59	432	160	197	59
QUAL	0	60	640	273	288	61
QUAL	0	61	517	208	246	79
QUAL	0	62	376	146	159	77
QUAL	0	63	578	265	247	60
QUAL	0	64	576	270	249	52
QUAL	0	65	400	157	183	61
QUAL	0	66	513	230	240	62
QUAL	0	67	545	234	242	65
QUAL	0	68	382	146	170	52
QUAL	0	69	484	192	241	67
QUAL	0	70	545	242	233	49
QUAL	0	71	359	151	156	46
QUAL	0	72	502	209	235	54
QUAL	0	73	495	213	237	53
QUAL	0	74	343	167	126	30
QUAL	0	75	470	197	211	65
QUAL	0	76	603	263	268	71
QUAL	0	77	403	161	190	36
QUAL	0	78	445	206	182	54
QUAL	0	79	558	237	262	57
QUAL	0	80	336	143	145	58
QUAL	0	81	461	193	206	60
QUAL	0	82	510	217	248	67
QUAL	0	83	343	154	134	52
QUAL	0	84	441	209	180	55
QUAL	0	85	514	231	225	70
QUAL	0	86	356	147	167	62
QUAL	0	87	427	186	181	51
QUAL	0	88	553	246	254	49
QUAL	0	89	356	147	157	49
QUAL	0	90	414	199	181	66
QUAL	0	91	533	240	236	45
QUAL	0	92	344	147	142	46
QUAL	0	93	411	188	186	50
QUAL	0	94	501	239	206	41
QUAL	0	95	346	151	147	43
QUAL	0	96	439	188	200	57
QUAL	0	97	486	247	197	30
QUAL	0	98	342	140	141	44
QUAL	0	99	407	183	176	63
QUAL	0	100	507	264	182	48
QUAL	0	101	326	131	144	30
QUAL	0	102	447	207	192	47
QUAL	0	103	492	224	208	40
QUAL	0	104	312	140	131	53
QUAL	0	105	470	206	215	49
QUAL	0	106	440	203	183	51
QUAL	0	107	377	169	163	41
QUAL	0	108	488	255	195	44
QUAL	0	109	411	198	168	44
QUAL	0	110	325	153	131	34
QUAL	0	111	420	200	180	30
QUAL	0	112	430	216	174	51
QUAL	0	113	368	169	148	50
QUAL	0	114	466	217	205	38
QUAL	0	115	425	220	157	47
