# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  -v --samples-file /cromwell_root/fc-47de7dae-e8e6-429c-b760-b4ba49136eee/resources/1kgp/LWK.txt /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/cc89a0d5-9c4d-4081-a171-64fe81c40244/subset_vcf_sample_list/13507fde-8bc5-4988-83fd-2e8d2726477e/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr13.recalibrated_variants.pass.singleton.LWK_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/cc89a0d5-9c4d-4081-a171-64fe81c40244/subset_vcf_sample_list/13507fde-8bc5-4988-83fd-2e8d2726477e/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr13.recalibrated_variants.pass.singleton.LWK_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	99
SN	0	number of records:	4036151
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	3750000
SN	0	number of MNPs:	0
SN	0	number of indels:	329540
SN	0	number of others:	59222
SN	0	number of multiallelic sites:	266125
SN	0	number of multiallelic SNP sites:	119225
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	2476558	1354437	1.83	2423414	1287734	1.88
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	250916	162389	88527	41859	0	0	41859
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	3176531	2044295	1132236	307365	0	0	307365
AF	0	0.010000	158048	103328	54720	36464	0	0	36464
AF	0	0.020000	72830	47655	25175	19712	0	0	19712
AF	0	0.030000	46386	30503	15883	13708	0	0	13708
AF	0	0.040000	35333	23438	11895	10599	0	0	10599
AF	0	0.050000	27113	18084	9029	8767	0	0	8767
AF	0	0.060000	30516	20292	10224	9822	0	0	9822
AF	0	0.070000	9641	6310	3331	3757	0	0	3757
AF	0	0.080000	15515	10297	5218	5207	0	0	5207
AF	0	0.090000	13402	8834	4568	4678	0	0	4678
AF	0	0.100000	11886	7806	4080	4263	0	0	4263
AF	0	0.110000	10643	7121	3522	3770	0	0	3770
AF	0	0.120000	9599	6336	3263	3327	0	0	3327
AF	0	0.130000	12955	8497	4458	4363	0	0	4363
AF	0	0.140000	4359	2853	1506	1740	0	0	1740
AF	0	0.150000	7583	5040	2543	2694	0	0	2694
AF	0	0.160000	6995	4596	2399	2455	0	0	2455
AF	0	0.170000	6549	4345	2204	2384	0	0	2384
AF	0	0.180000	6449	4245	2204	2246	0	0	2246
AF	0	0.190000	5625	3727	1898	1933	0	0	1933
AF	0	0.200000	5522	3698	1824	1831	0	0	1831
AF	0	0.210000	4984	3286	1698	1718	0	0	1718
AF	0	0.220000	4941	3298	1643	1640	0	0	1640
AF	0	0.230000	4341	2848	1493	1479	0	0	1479
AF	0	0.240000	5939	3853	2086	1875	0	0	1875
AF	0	0.250000	1991	1307	684	776	0	0	776
AF	0	0.260000	3620	2421	1199	1262	0	0	1262
AF	0	0.270000	5393	3578	1815	1654	0	0	1654
AF	0	0.280000	1726	1162	564	578	0	0	578
AF	0	0.290000	3489	2387	1102	1046	0	0	1046
AF	0	0.300000	5090	3397	1693	1469	0	0	1469
AF	0	0.310000	1622	1069	553	532	0	0	532
AF	0	0.320000	2962	1993	969	856	0	0	856
AF	0	0.330000	3239	2189	1050	892	0	0	892
AF	0	0.340000	2931	1959	972	818	0	0	818
AF	0	0.350000	2785	1845	940	794	0	0	794
AF	0	0.360000	2646	1773	873	717	0	0	717
AF	0	0.370000	2375	1615	760	695	0	0	695
