# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  -v --samples-file /cromwell_root/fc-47de7dae-e8e6-429c-b760-b4ba49136eee/resources/1kgp/ESN.txt /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/d0616059-4a17-4fd1-b9c2-316f244cb684/subset_vcf_sample_list/a9ad2c34-7fb6-422c-8dec-b5ff5db975f4/call-bgzip_bcftools_index/1kgp.chrX.recalibrated.snp_indel.pass.singleton.ESN_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/d0616059-4a17-4fd1-b9c2-316f244cb684/subset_vcf_sample_list/a9ad2c34-7fb6-422c-8dec-b5ff5db975f4/call-bgzip_bcftools_index/1kgp.chrX.recalibrated.snp_indel.pass.singleton.ESN_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	106
SN	0	number of records:	4710391
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	4349820
SN	0	number of MNPs:	0
SN	0	number of indels:	405256
SN	0	number of others:	57151
SN	0	number of multiallelic sites:	307788
SN	0	number of multiallelic SNP sites:	149997
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	2820749	1595093	1.77	2747096	1516530	1.81
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	230408	147369	83039	47678	0	0	47678
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	3805481	2418283	1387198	419288	0	0	419288
AF	0	0.009434	87034	56590	30444	23107	0	0	23107
AF	0	0.018868	93096	61268	31828	26843	0	0	26843
AF	0	0.028302	30963	20396	10567	10281	0	0	10281
AF	0	0.037736	45158	29869	15289	14619	0	0	14619
AF	0	0.047170	17754	11916	5838	6481	0	0	6481
AF	0	0.056604	28934	19171	9763	10053	0	0	10053
AF	0	0.066038	12718	8335	4383	4942	0	0	4942
AF	0	0.075472	20074	13316	6758	7384	0	0	7384
AF	0	0.084906	9664	6387	3277	3831	0	0	3831
AF	0	0.094340	15547	10384	5163	5789	0	0	5789
AF	0	0.103774	7551	4981	2570	3145	0	0	3145
AF	0	0.113208	13495	8941	4554	4919	0	0	4919
AF	0	0.122642	5771	3838	1933	2648	0	0	2648
AF	0	0.132075	10793	7201	3592	3960	0	0	3960
AF	0	0.141509	5367	3540	1827	2373	0	0	2373
AF	0	0.150943	9244	6038	3206	3324	0	0	3324
AF	0	0.160377	4722	3099	1623	2075	0	0	2075
AF	0	0.169811	8997	5890	3107	3121	0	0	3121
AF	0	0.179245	3901	2569	1332	1615	0	0	1615
AF	0	0.188679	6620	4342	2278	2454	0	0	2454
AF	0	0.198113	3528	2289	1239	1615	0	0	1615
AF	0	0.207547	6185	4110	2075	2170	0	0	2170
AF	0	0.216981	3136	2019	1117	1318	0	0	1318
AF	0	0.226415	5598	3697	1901	2093	0	0	2093
AF	0	0.235849	2625	1774	851	1165	0	0	1165
AF	0	0.245283	5555	3638	1917	1815	0	0	1815
AF	0	0.254717	2673	1738	935	1023	0	0	1023
AF	0	0.264151	4820	3155	1665	1636	0	0	1636
AF	0	0.273585	2341	1559	782	963	0	0	963
AF	0	0.283019	4551	2969	1582	1561	0	0	1561
AF	0	0.292453	2193	1463	730	830	0	0	830
AF	0	0.301887	4157	2742	1415	1377	0	0	1377
AF	0	0.311321	2130	1375	755	746	0	0	746
AF	0	0.320755	2040	1358	682	680	0	0	680
AF	0	0.330189	3887	2519	1368	1249	0	0	1249
AF	0	0.339623	1876	1250	626	657	0	0	657
AF	0	0.349057	3218	2143	1075	1126	0	0	1126
AF	0	0.358491	2203	1426	777	649	0	0	649
AF	0	0.367925	3820	2515	1305	1111	0	0	1111
AF	0	0.377358	1964	1282	682	566	0	0	566
AF	0	0.386792	3214	2078	1136	996	0	0	996
AF	0	0.396226	1626	1059	567	520	0	0	520
AF	0	0.405660	3013	1955	1058	846	0	0	846
AF	0	0.415094	1594	1056	538	507	0	0	507
AF	0	0.424528	2743	1814	929	865	0	0	865
AF	0	0.433962	1496	987	509	468	0	0	468
AF	0	0.443396	2766	1808	958	801	0	0	801
AF	0	0.452830	1252	849	403	431	0	0	431
AF	0	0.462264	2665	1740	925	702	0	0	702
AF	0	0.471698	1332	876	456	415	0	0	415
AF	0	0.481132	2924	1943	981	676	0	0	676
AF	0	0.490566	1445	988	457	395	0	0	395
AF	0	0.500000	2660	1744	916	661	0	0	661
AF	0	0.509434	1139	763	376	300	0	0	300
AF	0	0.518868	2069	1350	719	555	0	0	555
AF	0	0.528302	1155	733	422	355	0	0	355
AF	0	0.537736	2222	1468	754	554	0	0	554
AF	0	0.547170	1101	743	358	311	0	0	311
AF	0	0.556604	1956	1282	674	452	0	0	452
AF	0	0.566038	1081	691	390	254	0	0	254
AF	0	0.575472	2338	1563	775	499	0	0	499
AF	0	0.584906	963	677	286	245	0	0	245
AF	0	0.594340	1876	1274	602	444	0	0	444
AF	0	0.603774	1108	723	385	236	0	0	236
AF	0	0.613208	2039	1420	619	453	0	0	453
AF	0	0.622642	1303	857	446	222	0	0	222
AF	0	0.632075	1842	1231	611	369	0	0	369
AF	0	0.641509	897	593	304	201	0	0	201
AF	0	0.650943	1090	718	372	221	0	0	221
AF	0	0.660377	2110	1425	685	417	0	0	417
AF	0	0.669811	951	615	336	205	0	0	205
AF	0	0.679245	2124	1409	715	414	0	0	414
AF	0	0.688679	1051	680	371	179	0	0	179
AF	0	0.698113	1832	1217	615	369	0	0	369
AF	0	0.707547	1195	775	420	190	0	0	190
AF	0	0.716981	2011	1351	660	343	0	0	343
AF	0	0.726415	972	659	313	198	0	0	198
AF	0	0.735849	1647	1098	549	321	0	0	321
AF	0	0.745283	1087	728	359	203	0	0	203
AF	0	0.754717	1951	1291	660	292	0	0	292
AF	0	0.764151	934	610	324	165	0	0	165
AF	0	0.773585	1688	1145	543	257	0	0	257
AF	0	0.783019	715	488	227	159	0	0	159
AF	0	0.792453	1602	1090	512	267	0	0	267
AF	0	0.801887	866	575	291	149	0	0	149
AF	0	0.811321	1571	1057	514	240	0	0	240
AF	0	0.820755	737	469	268	159	0	0	159
AF	0	0.830189	1441	961	480	203	0	0	203
AF	0	0.839623	630	431	199	96	0	0	96
AF	0	0.849057	1495	986	509	238	0	0	238
AF	0	0.858491	948	664	284	130	0	0	130
AF	0	0.867925	1411	941	470	202	0	0	202
AF	0	0.877358	668	442	226	104	0	0	104
AF	0	0.886792	1359	922	437	236	0	0	236
AF	0	0.896226	651	438	213	85	0	0	85
AF	0	0.905660	1465	956	509	247	0	0	247
AF	0	0.915094	976	639	337	135	0	0	135
AF	0	0.924528	1567	1027	540	235	0	0	235
AF	0	0.933962	840	546	294	117	0	0	117
AF	0	0.943396	1773	1200	573	226	0	0	226
AF	0	0.952830	793	552	241	120	0	0	120
AF	0	0.962264	1598	1097	501	224	0	0	224
AF	0	0.971698	1395	918	477	167	0	0	167
AF	0	0.981132	1545	1014	531	174	0	0	174
AF	0	0.990566	5950	3975	1975	471	0	0	471
# QUAL, Stats by quality:
# QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	30	2942	1152	1761	97
QUAL	0	31	1573	569	976	108
QUAL	0	32	2981	1294	1661	160
QUAL	0	33	4724	2115	2579	94
QUAL	0	34	1520	572	922	95
QUAL	0	35	2805	1142	1629	170
QUAL	0	36	2453	965	1468	79
QUAL	0	37	1384	528	838	88
QUAL	0	38	2715	1135	1552	147
QUAL	0	39	2182	863	1301	79
QUAL	0	40	1296	480	793	91
QUAL	0	41	2818	1131	1659	136
QUAL	0	42	2328	978	1320	86
QUAL	0	43	1480	603	844	95
QUAL	0	44	2813	1173	1607	144
QUAL	0	45	1820	747	1047	96
QUAL	0	46	1087	439	637	101
QUAL	0	47	3085	1329	1726	125
QUAL	0	48	1636	702	909	80
QUAL	0	49	1023	379	626	77
QUAL	0	50	2673	1116	1534	132
QUAL	0	51	1534	652	857	81
QUAL	0	52	1166	455	696	68
QUAL	0	53	3129	1381	1716	222
QUAL	0	54	1560	616	921	110
QUAL	0	55	1080	439	624	105
QUAL	0	56	2554	1024	1497	155
QUAL	0	57	1818	787	999	87
QUAL	0	58	1275	540	712	79
QUAL	0	59	2349	1027	1305	149
QUAL	0	60	1616	702	888	80
QUAL	0	61	1036	435	585	67
QUAL	0	62	2233	922	1286	115
QUAL	0	63	1554	649	887	72
QUAL	0	64	1002	401	571	87
QUAL	0	65	2172	929	1218	99
QUAL	0	66	1705	712	966	84
QUAL	0	67	3261	1593	1639	72
QUAL	0	68	2235	997	1217	96
QUAL	0	69	1740	733	985	69
QUAL	0	70	997	435	542	65
QUAL	0	71	1855	832	997	111
QUAL	0	72	1705	745	937	71
QUAL	0	73	1051	438	595	61
QUAL	0	74	1669	771	877	84
QUAL	0	75	1708	716	970	90
