# This file was produced by plot-vcfstats, the command line was:
#   plot-vcfstats -m ./singleton/chm13_SAS/1kgp.chr1.recalibrated.snp_indel.pass.singleton.SAS_singleton.bcftools.stats.txt ./singleton/chm13_SAS/1kgp.chr10.recalibrated.snp_indel.pass.singleton.SAS_singleton.bcftools.stats.txt ./singleton/chm13_SAS/1kgp.chr11.recalibrated.snp_indel.pass.singleton.SAS_singleton.bcftools.stats.txt ./singleton/chm13_SAS/1kgp.chr12.recalibrated.snp_indel.pass.singleton.SAS_singleton.bcftools.stats.txt ./singleton/chm13_SAS/1kgp.chr13.recalibrated.snp_indel.pass.singleton.SAS_singleton.bcftools.stats.txt ./singleton/chm13_SAS/1kgp.chr14.recalibrated.snp_indel.pass.singleton.SAS_singleton.bcftools.stats.txt ./singleton/chm13_SAS/1kgp.chr15.recalibrated.snp_indel.pass.singleton.SAS_singleton.bcftools.stats.txt ./singleton/chm13_SAS/1kgp.chr16.recalibrated.snp_indel.pass.singleton.SAS_singleton.bcftools.stats.txt ./singleton/chm13_SAS/1kgp.chr17.recalibrated.snp_indel.pass.singleton.SAS_singleton.bcftools.stats.txt ./singleton/chm13_SAS/1kgp.chr18.recalibrated.snp_indel.pass.singleton.SAS_singleton.bcftools.stats.txt ./singleton/chm13_SAS/1kgp.chr19.recalibrated.snp_indel.pass.singleton.SAS_singleton.bcftools.stats.txt ./singleton/chm13_SAS/1kgp.chr2.recalibrated.snp_indel.pass.singleton.SAS_singleton.bcftools.stats.txt ./singleton/chm13_SAS/1kgp.chr20.recalibrated.snp_indel.pass.singleton.SAS_singleton.bcftools.stats.txt ./singleton/chm13_SAS/1kgp.chr21.recalibrated.snp_indel.pass.singleton.SAS_singleton.bcftools.stats.txt ./singleton/chm13_SAS/1kgp.chr22.recalibrated.snp_indel.pass.singleton.SAS_singleton.bcftools.stats.txt ./singleton/chm13_SAS/1kgp.chr3.recalibrated.snp_indel.pass.singleton.SAS_singleton.bcftools.stats.txt ./singleton/chm13_SAS/1kgp.chr4.recalibrated.snp_indel.pass.singleton.SAS_singleton.bcftools.stats.txt ./singleton/chm13_SAS/1kgp.chr5.recalibrated.snp_indel.pass.singleton.SAS_singleton.bcftools.stats.txt ./singleton/chm13_SAS/1kgp.chr6.recalibrated.snp_indel.pass.singleton.SAS_singleton.bcftools.stats.txt ./singleton/chm13_SAS/1kgp.chr7.recalibrated.snp_indel.pass.singleton.SAS_singleton.bcftools.stats.txt ./singleton/chm13_SAS/1kgp.chr8.recalibrated.snp_indel.pass.singleton.SAS_singleton.bcftools.stats.txt ./singleton/chm13_SAS/1kgp.chr9.recalibrated.snp_indel.pass.singleton.SAS_singleton.bcftools.stats.txt
#
# Definition of sets
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/cf9188d4-5ce4-4209-af9a-d0697c795f98/subset_vcf_sample_list/*1.recalibrated.snp_indel.pass.singleton.SAS_singleton.vcf.gz
# SN, Summary numbers
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	516
SN	0	number of records:	113534318
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	103672128
SN	0	number of MNPs:	0
SN	0	number of indels:	11109273
SN	0	number of others:	1524772
SN	0	number of multiallelic sites:	8211016
SN	0	number of multiallelic SNP sites:	4343504
# # TSTV, transition/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	69088609	36749651	1.88	66946067	34337845	1.95
# Sis, Singleton stats
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	14156774	9253060	4903714	1902199	0	0	1902199
# AF, Stats by non-reference allele frequency
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	91351039	59603643	31747396	11340302	0	0	11340302
AF	0	0.001938	2657339	1699278	958061	639053	0	0	639053
AF	0	0.003876	1209623	772353	437270	328741	0	0	328741
AF	0	0.005814	737176	470964	266212	215768	0	0	215768
AF	0	0.007752	515619	330731	184888	159844	0	0	159844
AF	0	0.009690	389283	249846	139437	125442	0	0	125442
AF	0	0.011628	309620	199520	110100	103193	0	0	103193
AF	0	0.013566	255591	164838	90753	87942	0	0	87942
AF	0	0.015504	221086	143211	77875	77080	0	0	77080
AF	0	0.017442	193005	125463	67542	67614	0	0	67614
AF	0	0.019380	166585	107865	58720	60879	0	0	60879
AF	0	0.021318	150140	97506	52634	54783	0	0	54783
AF	0	0.023256	135299	88384	46915	50139	0	0	50139
AF	0	0.025194	120570	78726	41844	45498	0	0	45498
AF	0	0.027132	115455	75513	39942	43091	0	0	43091
AF	0	0.029070	105101	68766	36335	39573	0	0	39573
AF	0	0.031008	99182	65070	34112	37440	0	0	37440
AF	0	0.032946	91288	59645	31643	34705	0	0	34705
AF	0	0.034884	86800	56891	29909	32839	0	0	32839
AF	0	0.036822	83014	54527	28487	31459	0	0	31459
AF	0	0.038760	79831	52436	27395	30213	0	0	30213
AF	0	0.040698	74736	48924	25812	28464	0	0	28464
AF	0	0.042636	72374	47632	24742	27281	0	0	27281
AF	0	0.044574	68849	45581	23268	25925	0	0	25925
AF	0	0.046512	66768	43965	22803	25005	0	0	25005
AF	0	0.048450	63652	41649	22003	23951	0	0	23951
AF	0	0.050388	60098	39790	20308	22933	0	0	22933
AF	0	0.052326	59639	39515	20124	22757	0	0	22757
AF	0	0.054264	58080	38339	19741	21764	0	0	21764
AF	0	0.056202	55899	36896	19003	21117	0	0	21117
AF	0	0.058140	55591	36520	19071	20421	0	0	20421
AF	0	0.060078	54447	36231	18216	20134	0	0	20134
AF	0	0.062016	52511	34664	17847	19139	0	0	19139
AF	0	0.063953	50606	33680	16926	18915	0	0	18915
AF	0	0.065891	49452	32747	16705	18141	0	0	18141
AF	0	0.067829	48255	32069	16186	17621	0	0	17621
AF	0	0.069767	47168	31361	15807	17068	0	0	17068
AF	0	0.071705	46899	31130	15769	16962	0	0	16962
AF	0	0.073643	46136	30646	15490	16740	0	0	16740
AF	0	0.075581	43752	29000	14752	15847	0	0	15847
AF	0	0.077519	41966	27949	14017	15615	0	0	15615
AF	0	0.079457	41690	27948	13742	15578	0	0	15578
AF	0	0.081395	41959	28060	13899	15065	0	0	15065
AF	0	0.083333	39473	26264	13209	14950	0	0	14950
AF	0	0.085271	39761	26480	13281	14441	0	0	14441
AF	0	0.087209	40100	26697	13403	14323	0	0	14323
AF	0	0.089147	39364	26341	13023	14093	0	0	14093
AF	0	0.091085	39421	26397	13024	13976	0	0	13976
AF	0	0.093023	37590	25073	12517	13414	0	0	13414
AF	0	0.094961	37855	25316	12539	13497	0	0	13497
AF	0	0.096899	37200	24931	12269	13351	0	0	13351
AF	0	0.098837	36784	24427	12357	12661	0	0	12661
AF	0	0.100775	34811	23397	11414	12630	0	0	12630
AF	0	0.102713	35801	23849	11952	12516	0	0	12516
AF	0	0.104651	35614	23630	11984	12185	0	0	12185
AF	0	0.106589	34390	22920	11470	11950	0	0	11950
AF	0	0.108527	35852	23866	11986	11970	0	0	11970
AF	0	0.110465	34671	23172	11499	11710	0	0	11710
AF	0	0.112403	32254	21570	10684	11459	0	0	11459
AF	0	0.114341	32561	21478	11083	11081	0	0	11081
