# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  -v --samples-file /cromwell_root/fc-47de7dae-e8e6-429c-b760-b4ba49136eee/resources/1kgp/BEB.txt /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/90cfd31f-d099-46ed-9504-79ac27cc2b4d/subset_vcf_sample_list/dd5a6d72-1102-418f-bde2-e6bb67d106c1/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr16.recalibrated_variants.pass.singleton.BEB_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/90cfd31f-d099-46ed-9504-79ac27cc2b4d/subset_vcf_sample_list/dd5a6d72-1102-418f-bde2-e6bb67d106c1/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr16.recalibrated_variants.pass.singleton.BEB_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	101
SN	0	number of records:	3738018
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	3491923
SN	0	number of MNPs:	0
SN	0	number of indels:	289829
SN	0	number of others:	65114
SN	0	number of multiallelic sites:	273201
SN	0	number of multiallelic SNP sites:	123452
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	2304888	1267252	1.82	2248893	1201444	1.87
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	212403	138776	73627	38113	0	0	38113
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	3272998	2112282	1160716	346958	0	0	346958
AF	0	0.009901	41756	26559	15197	18290	0	0	18290
AF	0	0.019802	20586	12992	7594	9964	0	0	9964
AF	0	0.029703	13774	8600	5174	6654	0	0	6654
AF	0	0.039604	10750	6908	3842	4894	0	0	4894
AF	0	0.049505	9183	5935	3248	4102	0	0	4102
AF	0	0.059406	8095	5184	2911	3490	0	0	3490
AF	0	0.069307	6752	4349	2403	2924	0	0	2924
AF	0	0.079208	6163	3918	2245	2586	0	0	2586
AF	0	0.089109	6501	4225	2276	2424	0	0	2424
AF	0	0.099010	5858	3777	2081	2317	0	0	2317
AF	0	0.108911	5573	3608	1965	1979	0	0	1979
AF	0	0.118812	4828	3094	1734	1849	0	0	1849
AF	0	0.128713	4645	3044	1601	1690	0	0	1690
AF	0	0.138614	4561	2924	1637	1606	0	0	1606
AF	0	0.148515	4302	2836	1466	1457	0	0	1457
AF	0	0.158416	4152	2699	1453	1488	0	0	1488
AF	0	0.168317	4049	2645	1404	1414	0	0	1414
AF	0	0.178218	3609	2353	1256	1251	0	0	1251
AF	0	0.188119	3942	2557	1385	1270	0	0	1270
AF	0	0.198020	3524	2251	1273	1156	0	0	1156
AF	0	0.207921	3285	2085	1200	1030	0	0	1030
AF	0	0.217822	3208	2073	1135	1088	0	0	1088
AF	0	0.227723	3441	2227	1214	1032	0	0	1032
AF	0	0.237624	3072	2015	1057	884	0	0	884
AF	0	0.247525	3150	2039	1111	957	0	0	957
AF	0	0.257426	2809	1844	965	882	0	0	882
AF	0	0.267327	2593	1679	914	841	0	0	841
AF	0	0.277228	2780	1802	978	846	0	0	846
AF	0	0.287129	2505	1661	844	780	0	0	780
AF	0	0.297030	2516	1629	887	728	0	0	728
AF	0	0.306931	2700	1744	956	721	0	0	721
AF	0	0.316832	2387	1519	868	710	0	0	710
AF	0	0.326733	2121	1358	763	659	0	0	659
AF	0	0.336634	2162	1404	758	626	0	0	626
AF	0	0.346535	2086	1361	725	592	0	0	592
AF	0	0.356436	2438	1587	851	656	0	0	656
AF	0	0.366337	2184	1424	760	601	0	0	601
AF	0	0.376238	1893	1227	666	537	0	0	537
AF	0	0.386139	2084	1329	755	573	0	0	573
AF	0	0.396040	1813	1189	624	522	0	0	522
AF	0	0.405941	2031	1324	707	548	0	0	548
AF	0	0.415842	1691	1122	569	459	0	0	459
AF	0	0.425743	1724	1125	599	462	0	0	462
AF	0	0.435644	1865	1225	640	446	0	0	446
AF	0	0.445545	1984	1281	703	436	0	0	436
AF	0	0.455446	1721	1058	663	395	0	0	395
AF	0	0.465347	1673	1088	585	444	0	0	444
AF	0	0.475248	1858	1224	634	423	0	0	423
AF	0	0.485149	1702	1105	597	390	0	0	390
AF	0	0.495050	2625	1661	964	578	0	0	578
AF	0	0.504950	1538	989	549	365	0	0	365
AF	0	0.514851	1452	930	522	381	0	0	381
AF	0	0.524752	1386	890	496	292	0	0	292
AF	0	0.534653	1297	825	472	317	0	0	317
AF	0	0.544554	1384	894	490	304	0	0	304
AF	0	0.554455	1348	850	498	276	0	0	276
AF	0	0.564356	1302	867	435	300	0	0	300
AF	0	0.574257	1276	813	463	309	0	0	309
AF	0	0.584158	1150	718	432	283	0	0	283
AF	0	0.594059	1174	784	390	286	0	0	286
AF	0	0.603960	1126	703	423	274	0	0	274
AF	0	0.613861	1042	684	358	259	0	0	259
AF	0	0.623762	1467	946	521	263	0	0	263
AF	0	0.633663	1186	763	423	287	0	0	287
AF	0	0.643564	1333	889	444	243	0	0	243
AF	0	0.653465	1336	864	472	292	0	0	292
AF	0	0.663366	1111	758	353	239	0	0	239
AF	0	0.673267	1234	805	429	254	0	0	254
AF	0	0.683168	1179	763	416	235	0	0	235
AF	0	0.693069	1108	738	370	255	0	0	255
AF	0	0.702970	997	674	323	207	0	0	207
AF	0	0.712871	867	559	308	190	0	0	190
AF	0	0.722772	982	632	350	224	0	0	224
AF	0	0.732673	874	591	283	193	0	0	193
AF	0	0.742574	950	580	370	212	0	0	212
AF	0	0.752475	1099	703	396	208	0	0	208
AF	0	0.762376	1000	630	370	202	0	0	202
AF	0	0.772277	995	644	351	163	0	0	163
AF	0	0.782178	844	545	299	163	0	0	163
AF	0	0.792079	982	650	332	176	0	0	176
AF	0	0.801980	948	598	350	167	0	0	167
AF	0	0.811881	989	682	307	180	0	0	180
AF	0	0.821782	922	610	312	161	0	0	161
AF	0	0.831683	927	613	314	149	0	0	149
AF	0	0.841584	940	631	309	157	0	0	157
AF	0	0.851485	1061	688	373	139	0	0	139
AF	0	0.861386	731	476	255	109	0	0	109
AF	0	0.871287	707	479	228	106	0	0	106
AF	0	0.881188	555	365	190	113	0	0	113
AF	0	0.891089	589	388	201	100	0	0	100
AF	0	0.900990	567	359	208	91	0	0	91
AF	0	0.910891	607	409	198	101	0	0	101
AF	0	0.920792	545	361	184	90	0	0	90
AF	0	0.930693	683	447	236	107	0	0	107
AF	0	0.940594	615	400	215	102	0	0	102
AF	0	0.950495	628	406	222	107	0	0	107
AF	0	0.960396	846	559	287	138	0	0	138
AF	0	0.970297	886	576	310	154	0	0	154
AF	0	0.980198	1247	858	389	224	0	0	224
