# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/e2a7d427-7260-4c53-b7b3-a2eb6072a9dd/subset_vcf_sample_list/e4921d42-11aa-4c58-a458-b470b5dfdce6/call-bgzip_bcftools_index/attempt-2/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr3.recalibrated_variants.pass.singleton.AFR_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/e2a7d427-7260-4c53-b7b3-a2eb6072a9dd/subset_vcf_sample_list/e4921d42-11aa-4c58-a458-b470b5dfdce6/call-bgzip_bcftools_index/attempt-2/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr3.recalibrated_variants.pass.singleton.AFR_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	690
SN	0	number of records:	7949870
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	7420512
SN	0	number of MNPs:	0
SN	0	number of indels:	608671
SN	0	number of others:	102549
SN	0	number of multiallelic sites:	481439
SN	0	number of multiallelic SNP sites:	210188
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	4929408	2630173	1.87	4835609	2514169	1.92
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	1306505	851197	455308	116377	0	0	116377
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	5739728	3730606	2009122	432061	0	0	432061
AF	0	0.001449	276422	181797	94625	58697	0	0	58697
AF	0	0.002899	143370	93876	49494	33353	0	0	33353
AF	0	0.004348	96499	63261	33238	23658	0	0	23658
AF	0	0.005797	70202	45928	24274	18041	0	0	18041
AF	0	0.007246	56961	37363	19598	15116	0	0	15116
AF	0	0.008696	49080	32177	16903	12786	0	0	12786
AF	0	0.010145	42340	27834	14506	11297	0	0	11297
AF	0	0.011594	36269	23631	12638	9863	0	0	9863
AF	0	0.013043	32234	21169	11065	8826	0	0	8826
AF	0	0.014493	29463	19343	10120	8163	0	0	8163
AF	0	0.015942	26614	17482	9132	7597	0	0	7597
AF	0	0.017391	24349	16005	8344	6861	0	0	6861
AF	0	0.018841	22358	14803	7555	6314	0	0	6314
AF	0	0.020290	20858	13805	7053	5955	0	0	5955
AF	0	0.021739	19630	12844	6786	5760	0	0	5760
AF	0	0.023188	17722	11660	6062	5253	0	0	5253
AF	0	0.024638	17071	11249	5822	4939	0	0	4939
AF	0	0.026087	16144	10672	5472	4837	0	0	4837
AF	0	0.027536	15115	9994	5121	4651	0	0	4651
AF	0	0.028986	13716	9016	4700	4144	0	0	4144
AF	0	0.030435	13279	8774	4505	4001	0	0	4001
AF	0	0.031884	12899	8439	4460	3847	0	0	3847
AF	0	0.033333	12009	7819	4190	3702	0	0	3702
AF	0	0.034783	11520	7528	3992	3591	0	0	3591
AF	0	0.036232	10970	7276	3694	3492	0	0	3492
AF	0	0.037681	10850	7136	3714	3406	0	0	3406
AF	0	0.039130	10126	6846	3280	3088	0	0	3088
AF	0	0.040580	9274	6119	3155	3081	0	0	3081
AF	0	0.042029	9230	5985	3245	2904	0	0	2904
AF	0	0.043478	9162	6015	3147	2821	0	0	2821
AF	0	0.044928	8857	5799	3058	2681	0	0	2681
AF	0	0.046377	8450	5615	2835	2767	0	0	2767
AF	0	0.047826	8276	5429	2847	2610	0	0	2610
AF	0	0.049275	8116	5428	2688	2504	0	0	2504
