# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  -v --samples-file /cromwell_root/fc-47de7dae-e8e6-429c-b760-b4ba49136eee/resources/1kgp/CLM.txt /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/68082484-2cbc-43c7-abe0-e0050c6f7f10/subset_vcf_sample_list/b0e79c2e-f0e0-4a3c-94d2-8ef9ef8412bc/call-bgzip_bcftools_index/1kgp.chr12.recalibrated.snp_indel.pass.singleton.CLM_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/68082484-2cbc-43c7-abe0-e0050c6f7f10/subset_vcf_sample_list/b0e79c2e-f0e0-4a3c-94d2-8ef9ef8412bc/call-bgzip_bcftools_index/1kgp.chr12.recalibrated.snp_indel.pass.singleton.CLM_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	97
SN	0	number of records:	5253490
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	4772352
SN	0	number of MNPs:	0
SN	0	number of indels:	538544
SN	0	number of others:	69970
SN	0	number of multiallelic sites:	349649
SN	0	number of multiallelic SNP sites:	165363
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	3227063	1625808	1.98	3141592	1534428	2.05
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	277408	185498	91910	59023	0	0	59023
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	4313885	2862757	1451128	590266	0	0	590266
AF	0	0.010000	138190	92629	45561	38964	0	0	38964
AF	0	0.020000	47301	31781	15520	17049	0	0	17049
AF	0	0.030000	27426	18532	8894	10850	0	0	10850
AF	0	0.040000	18987	12689	6298	7786	0	0	7786
AF	0	0.050000	16306	11054	5252	6505	0	0	6505
AF	0	0.060000	15446	10502	4944	5660	0	0	5660
AF	0	0.070000	12810	8762	4048	4885	0	0	4885
AF	0	0.080000	11662	7926	3736	4406	0	0	4406
AF	0	0.090000	9292	6238	3054	3671	0	0	3671
AF	0	0.100000	9086	6099	2987	3448	0	0	3448
AF	0	0.110000	8665	5883	2782	3057	0	0	3057
AF	0	0.120000	7897	5455	2442	2930	0	0	2930
AF	0	0.130000	7503	5159	2344	2874	0	0	2874
AF	0	0.140000	6927	4695	2232	2551	0	0	2551
AF	0	0.150000	6386	4297	2089	2394	0	0	2394
AF	0	0.160000	6698	4527	2171	2276	0	0	2276
AF	0	0.170000	5643	3793	1850	2056	0	0	2056
AF	0	0.180000	5773	3906	1867	2026	0	0	2026
AF	0	0.190000	4961	3358	1603	1823	0	0	1823
AF	0	0.200000	5224	3552	1672	1792	0	0	1792
AF	0	0.210000	5081	3474	1607	1611	0	0	1611
AF	0	0.220000	4535	3017	1518	1594	0	0	1594
AF	0	0.230000	4253	2934	1319	1485	0	0	1485
AF	0	0.240000	2264	1503	761	767	0	0	767
AF	0	0.250000	4145	2847	1298	1392	0	0	1392
AF	0	0.260000	4059	2749	1310	1257	0	0	1257
AF	0	0.270000	3897	2658	1239	1248	0	0	1248
AF	0	0.280000	4025	2758	1267	1219	0	0	1219
AF	0	0.290000	3727	2554	1173	1201	0	0	1201
AF	0	0.300000	4040	2705	1335	1137	0	0	1137
AF	0	0.310000	3648	2473	1175	1096	0	0	1096
AF	0	0.320000	3864	2576	1288	1160	0	0	1160
AF	0	0.330000	3227	2195	1032	1008	0	0	1008
AF	0	0.340000	3416	2317	1099	981	0	0	981
AF	0	0.350000	3633	2489	1144	907	0	0	907
AF	0	0.360000	4170	2835	1335	1019	0	0	1019
AF	0	0.370000	2808	1919	889	807	0	0	807
AF	0	0.380000	3003	2027	976	754	0	0	754
AF	0	0.390000	3124	2081	1043	812	0	0	812
AF	0	0.400000	2926	2018	908	788	0	0	788
AF	0	0.410000	2648	1836	812	703	0	0	703
AF	0	0.420000	2542	1706	836	686	0	0	686
AF	0	0.430000	2664	1861	803	672	0	0	672
AF	0	0.440000	2311	1622	689	649	0	0	649
AF	0	0.450000	2593	1751	842	671	0	0	671
AF	0	0.460000	2451	1682	769	650	0	0	650
AF	0	0.470000	2272	1560	712	555	0	0	555
AF	0	0.480000	2568	1756	812	621	0	0	621
AF	0	0.490000	1110	771	339	286	0	0	286
AF	0	0.500000	2460	1660	800	585	0	0	585
AF	0	0.510000	2080	1401	679	494	0	0	494
AF	0	0.520000	2079	1418	661	484	0	0	484
AF	0	0.530000	2290	1532	758	545	0	0	545
AF	0	0.540000	2308	1575	733	561	0	0	561
AF	0	0.550000	2001	1357	644	440	0	0	440
AF	0	0.560000	1743	1204	539	450	0	0	450
AF	0	0.570000	1866	1274	592	432	0	0	432
AF	0	0.580000	1895	1267	628	418	0	0	418
AF	0	0.590000	1785	1156	629	439	0	0	439
AF	0	0.600000	1534	1048	486	366	0	0	366
AF	0	0.610000	1956	1351	605	415	0	0	415
AF	0	0.620000	2163	1463	700	430	0	0	430
AF	0	0.630000	1730	1173	557	376	0	0	376
AF	0	0.640000	1863	1273	590	371	0	0	371
AF	0	0.650000	1740	1196	544	367	0	0	367
AF	0	0.660000	1964	1362	602	358	0	0	358
AF	0	0.670000	1772	1174	598	374	0	0	374
AF	0	0.680000	1705	1164	541	355	0	0	355
AF	0	0.690000	1560	1035	525	289	0	0	289
AF	0	0.700000	1485	1013	472	265	0	0	265
AF	0	0.710000	1419	968	451	290	0	0	290
AF	0	0.720000	1414	952	462	255	0	0	255
AF	0	0.730000	2054	1391	663	299	0	0	299
AF	0	0.740000	647	445	202	117	0	0	117
AF	0	0.750000	1310	883	427	244	0	0	244
AF	0	0.760000	1249	862	387	218	0	0	218
AF	0	0.770000	1354	924	430	230	0	0	230
AF	0	0.780000	1372	928	444	257	0	0	257
AF	0	0.790000	1350	935	415	239	0	0	239
AF	0	0.800000	2281	1516	765	292	0	0	292
AF	0	0.810000	1254	849	405	187	0	0	187
AF	0	0.820000	1039	707	332	177	0	0	177
AF	0	0.830000	1190	827	363	194	0	0	194
AF	0	0.840000	1279	859	420	188	0	0	188
AF	0	0.850000	946	618	328	158	0	0	158
AF	0	0.860000	927	636	291	173	0	0	173
AF	0	0.870000	850	565	285	143	0	0	143
AF	0	0.880000	803	538	265	123	0	0	123
AF	0	0.890000	844	577	267	137	0	0	137
AF	0	0.900000	879	572	307	126	0	0	126
AF	0	0.910000	772	524	248	117	0	0	117
AF	0	0.920000	1088	756	332	156	0	0	156
AF	0	0.930000	671	480	191	106	0	0	106
AF	0	0.940000	839	586	253	93	0	0	93
AF	0	0.950000	647	442	205	98	0	0	98
AF	0	0.960000	675	487	188	100	0	0	100
AF	0	0.970000	857	619	238	95	0	0	95
AF	0	0.980000	687	483	204	82	0	0	82
AF	0	0.990000	1123	770	353	104	0	0	104
# QUAL, Stats by quality:
# QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	30	2053	976	1015	194
QUAL	0	31	1984	948	953	146
QUAL	0	32	1033	412	538	138
QUAL	0	33	2125	1065	990	188
QUAL	0	34	1859	851	896	160
QUAL	0	35	1027	432	520	145
QUAL	0	36	2298	1115	1114	212
QUAL	0	37	1604	728	790	143
QUAL	0	38	965	410	486	136
QUAL	0	39	2245	1099	1066	185
QUAL	0	40	1432	632	724	150
QUAL	0	41	959	388	486	130
QUAL	0	42	2173	1082	1030	168
QUAL	0	43	1342	622	632	138
QUAL	0	44	898	397	433	136
QUAL	0	45	2051	988	996	193
QUAL	0	46	1333	653	605	140
QUAL	0	47	943	418	439	126
QUAL	0	48	1958	987	902	192
QUAL	0	49	1257	596	599	139
QUAL	0	50	883	403	409	119
QUAL	0	51	1934	913	952	180
QUAL	0	52	1314	660	586	150
QUAL	0	53	843	380	402	118
QUAL	0	54	1836	906	878	174
QUAL	0	55	1258	602	601	127
QUAL	0	56	832	393	379	97
QUAL	0	57	1649	811	781	147
QUAL	0	58	1301	643	587	140
QUAL	0	59	773	364	354	113
QUAL	0	60	1595	788	745	167
QUAL	0	61	1292	645	596	118
QUAL	0	62	854	404	403	100
QUAL	0	63	1434	687	688	141
QUAL	0	64	1366	669	627	108
QUAL	0	65	844	424	376	108
QUAL	0	66	1399	686	656	138
QUAL	0	67	1353	680	615	115
QUAL	0	68	819	409	356	113
QUAL	0	69	1279	650	583	139
QUAL	0	70	1339	689	600	104
QUAL	0	71	800	368	374	89
QUAL	0	72	1179	590	539	150
QUAL	0	73	1395	708	641	143
QUAL	0	74	727	329	345	109
QUAL	0	75	1172	595	523	114
QUAL	0	76	1435	742	646	133
QUAL	0	77	815	387	375	82
QUAL	0	78	1130	552	524	123
QUAL	0	79	1400	745	612	116
QUAL	0	80	774	382	355	106
QUAL	0	81	1074	565	445	127
QUAL	0	82	1373	695	632	122
QUAL	0	83	750	349	352	93
QUAL	0	84	1107	557	490	125
QUAL	0	85	1415	735	624	96
QUAL	0	86	753	379	325	90
QUAL	0	87	1121	602	478	117
QUAL	0	88	1312	681	586	108
QUAL	0	89	753	356	360	91
QUAL	0	90	1041	548	451	118
QUAL	0	91	1381	734	601	106
QUAL	0	92	709	374	298	91
QUAL	0	93	1100	551	494	131
QUAL	0	94	1318	660	610	112
QUAL	0	95	751	383	322	85
QUAL	0	96	1130	570	516	143
QUAL	0	97	1217	674	482	101
QUAL	0	98	701	355	310	93
QUAL	0	99	1083	541	503	144
QUAL	0	100	1190	641	503	73
QUAL	0	101	725	383	300	85
QUAL	0	102	1124	592	485	132
QUAL	0	103	1203	649	509	112
QUAL	0	104	788	407	338	91
QUAL	0	105	1181	615	522	134
QUAL	0	106	1222	671	507	115
QUAL	0	107	726	396	300	92
QUAL	0	108	1103	566	512	102
QUAL	0	109	1150	619	487	108
QUAL	0	110	824	440	352	68
QUAL	0	111	1191	608	539	127
QUAL	0	112	1083	610	445	93
QUAL	0	113	775	413	320	80
QUAL	0	114	1278	657	592	130
QUAL	0	115	1053	604	414	86
QUAL	0	116	787	428	318	101
QUAL	0	117	1223	642	544	150
QUAL	0	118	1023	603	377	106
QUAL	0	119	871	476	360	69
QUAL	0	120	1295	680	575	136
QUAL	0	121	906	502	360	103
QUAL	0	122	937	544	354	75
QUAL	0	123	1276	696	537	135
QUAL	0	124	899	496	368	107
QUAL	0	125	909	510	366	98
QUAL	0	126	1278	682	550	132
QUAL	0	127	875	445	377	108
QUAL	0	128	1017	540	437	91
QUAL	0	129	1315	742	531	106
QUAL	0	130	821	451	329	82
QUAL	0	131	1053	589	414	85
QUAL	0	132	1375	791	547	125
QUAL	0	133	836	484	318	106
QUAL	0	134	1082	605	442	94
QUAL	0	135	1392	796	559	139
QUAL	0	136	801	445	322	103
QUAL	0	137	1174	657	483	86
QUAL	0	138	1456	839	574	140
QUAL	0	139	847	492	319	101
QUAL	0	140	1157	658	458	105
QUAL	0	141	1359	850	480	124
QUAL	0	142	867	481	341	97
QUAL	0	143	1206	651	513	85
QUAL	0	144	1383	842	499	118
QUAL	0	145	878	482	356	112
QUAL	0	146	1269	686	553	83
QUAL	0	147	1299	756	513	136
QUAL	0	148	870	515	323	110
QUAL	0	149	1414	796	578	90
QUAL	0	150	1241	724	487	112
QUAL	0	151	988	565	378	110
QUAL	0	152	1334	721	584	94
QUAL	0	153	1090	655	396	115
QUAL	0	154	1032	602	388	104
QUAL	0	155	1515	899	577	86
QUAL	0	156	1113	635	438	114
QUAL	0	157	1112	662	416	121
QUAL	0	158	1663	975	654	89
QUAL	0	159	991	556	411	130
QUAL	0	160	1108	636	433	119
QUAL	0	161	1892	1093	770	103
QUAL	0	162	937	519	371	129
QUAL	0	163	1094	637	418	101
QUAL	0	164	1928	1120	765	93
QUAL	0	165	920	529	356	132
QUAL	0	166	1177	700	452	118
QUAL	0	167	2043	1242	764	100
QUAL	0	168	939	513	395	137
QUAL	0	169	1128	626	466	122
QUAL	0	170	2149	1334	783	99
QUAL	0	171	931	543	357	135
QUAL	0	172	1282	729	516	135
QUAL	0	173	2047	1232	771	93
QUAL	0	174	919	571	317	162
QUAL	0	175	1320	768	512	83
QUAL	0	176	2002	1244	718	95
QUAL	0	177	975	573	373	142
QUAL	0	178	1390	814	541	105
QUAL	0	179	2012	1284	692	123
QUAL	0	180	1120	669	415	141
QUAL	0	181	1590	932	606	121
QUAL	0	182	1919	1224	657	105
QUAL	0	183	1164	684	437	144
QUAL	0	184	1670	977	646	110
QUAL	0	185	1749	1094	619	125
QUAL	0	186	1171	726	411	153
QUAL	0	187	1908	1101	762	114
QUAL	0	188	1570	967	570	100
QUAL	0	189	1129	664	430	151
QUAL	0	190	2023	1258	720	128
QUAL	0	191	1457	904	521	132
QUAL	0	192	1194	694	466	142
QUAL	0	193	2354	1441	870	110
QUAL	0	194	1364	817	514	137
QUAL	0	195	1268	770	465	137
QUAL	0	196	2565	1576	952	124
QUAL	0	197	1385	829	529	116
QUAL	0	198	1260	768	454	173
QUAL	0	199	2742	1728	976	113
QUAL	0	200	1410	859	513	121
QUAL	0	201	1286	803	440	144
QUAL	0	202	2980	1888	1055	121
QUAL	0	203	1538	919	579	130
QUAL	0	204	1280	753	498	188
QUAL	0	205	2989	1899	1053	115
QUAL	0	206	1646	1014	598	142
QUAL	0	207	1245	778	427	151
QUAL	0	208	2982	1891	1051	135
QUAL	0	209	1916	1182	698	102
QUAL	0	210	1303	801	472	206
QUAL	0	211	2792	1815	931	113
QUAL	0	212	2053	1288	723	140
QUAL	0	213	1309	813	457	172
QUAL	0	214	2552	1575	940	127
QUAL	0	215	2277	1417	831	132
QUAL	0	216	1349	829	491	201
QUAL	0	217	2312	1450	817	147
QUAL	0	218	2531	1576	920	128
QUAL	0	219	1424	906	486	198
QUAL	0	220	2105	1368	710	125
QUAL	0	221	2924	1840	1049	118
QUAL	0	222	1491	966	488	218
QUAL	0	223	1940	1241	666	121
QUAL	0	224	3228	2050	1136	119
QUAL	0	225	1586	987	562	184
QUAL	0	226	1804	1117	634	132
QUAL	0	227	3379	2106	1231	122
QUAL	0	228	1640	1011	583	196
QUAL	0	229	1672	1052	582	147
QUAL	0	230	3649	2389	1220	159
QUAL	0	231	1778	1156	583	180
QUAL	0	232	1686	1022	642	158
QUAL	0	233	3786	2460	1281	141
QUAL	0	234	1904	1193	667	184
QUAL	0	235	1774	1130	616	142
QUAL	0	236	3946	2518	1377	134
QUAL	0	237	1978	1256	685	205
QUAL	0	238	1810	1106	669	132
QUAL	0	239	3918	2578	1300	158
QUAL	0	240	1958	1255	669	206
QUAL	0	241	2033	1318	682	138
QUAL	0	242	3828	2467	1322	124
QUAL	0	243	2081	1345	706	184
QUAL	0	244	2284	1452	796	155
QUAL	0	245	3444	2233	1158	164
QUAL	0	246	2136	1339	758	188
QUAL	0	247	2581	1627	902	143
QUAL	0	248	3122	1968	1107	170
QUAL	0	249	2103	1329	742	204
QUAL	0	250	2957	1933	985	169
QUAL	0	251	2761	1756	960	145
QUAL	0	252	2229	1440	757	198
QUAL	0	253	3333	2167	1128	194
QUAL	0	254	2439	1516	866	164
