# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/a609674a-a76b-4fae-b93c-463e0d734479/subset_vcf_sample_list/92442d98-aeb4-47cb-86ef-adb2ef978d30/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr1.recalibrated_variants.pass.singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/a609674a-a76b-4fae-b93c-463e0d734479/subset_vcf_sample_list/92442d98-aeb4-47cb-86ef-adb2ef978d30/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr1.recalibrated_variants.pass.singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	2598
SN	0	number of records:	9076338
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	8446787
SN	0	number of MNPs:	0
SN	0	number of indels:	729232
SN	0	number of others:	133690
SN	0	number of multiallelic sites:	610843
SN	0	number of multiallelic SNP sites:	269951
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	5693682	2943296	1.93	5572083	2788352	2.00
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	4285740	2806059	1479681	250657	0	0	250657
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	5205071	3435152	1769919	320018	0	0	320018
AF	0	0.000385	751088	501265	249823	106457	0	0	106457
AF	0	0.000770	354344	231940	122404	58694	0	0	58694
AF	0	0.001155	223783	145116	78667	40471	0	0	40471
AF	0	0.001540	159243	102821	56422	30761	0	0	30761
AF	0	0.001925	120659	77833	42826	24601	0	0	24601
AF	0	0.002309	97785	63361	34424	20671	0	0	20671
AF	0	0.002694	81472	52983	28489	17474	0	0	17474
AF	0	0.003079	68139	44157	23982	15345	0	0	15345
AF	0	0.003464	59567	38560	21007	13622	0	0	13622
AF	0	0.003849	52494	33918	18576	12182	0	0	12182
AF	0	0.004234	46192	30249	15943	10997	0	0	10997
AF	0	0.004619	41397	26951	14446	10198	0	0	10198
AF	0	0.005004	37506	24365	13141	9303	0	0	9303
AF	0	0.005389	33876	21992	11884	8518	0	0	8518
AF	0	0.005774	31454	20578	10876	8038	0	0	8038
AF	0	0.006159	28268	18430	9838	7328	0	0	7328
AF	0	0.006543	26288	17190	9098	6920	0	0	6920
AF	0	0.006928	24544	15997	8547	6492	0	0	6492
AF	0	0.007313	22721	14760	7961	6262	0	0	6262
AF	0	0.007698	21681	14022	7659	5941	0	0	5941
AF	0	0.008083	20254	13287	6967	5425	0	0	5425
AF	0	0.008468	19249	12630	6619	5295	0	0	5295
AF	0	0.008853	17964	11745	6219	5116	0	0	5116
AF	0	0.009238	16315	10644	5671	4744	0	0	4744
AF	0	0.009623	15933	10390	5543	4683	0	0	4683
AF	0	0.010008	15269	9980	5289	4223	0	0	4223
AF	0	0.010393	14341	9326	5015	4167	0	0	4167
AF	0	0.010778	13397	8769	4628	3923	0	0	3923
AF	0	0.011162	13466	8844	4622	3889	0	0	3889
AF	0	0.011547	12617	8307	4310	3762	0	0	3762
AF	0	0.011932	12239	8110	4129	3515	0	0	3515
AF	0	0.012317	11551	7638	3913	3559	0	0	3559
AF	0	0.012702	10797	7057	3740	3386	0	0	3386
AF	0	0.013087	10676	7003	3673	3339	0	0	3339
AF	0	0.013472	10036	6529	3507	3092	0	0	3092
AF	0	0.013857	9437	6248	3189	3031	0	0	3031
AF	0	0.014242	9049	5925	3124	2896	0	0	2896
AF	0	0.014627	8257	5427	2830	2772	0	0	2772
AF	0	0.015012	8317	5429	2888	2773	0	0	2773
AF	0	0.015396	8308	5449	2859	2685	0	0	2685
AF	0	0.015781	8148	5392	2756	2664	0	0	2664
AF	0	0.016166	7489	5075	2414	2497	0	0	2497
AF	0	0.016551	7311	4814	2497	2417	0	0	2417
AF	0	0.016936	7273	4831	2442	2439	0	0	2439
AF	0	0.017321	6870	4478	2392	2338	0	0	2338
AF	0	0.017706	6741	4381	2360	2388	0	0	2388
AF	0	0.018091	6517	4236	2281	2272	0	0	2272
AF	0	0.018476	6366	4130	2236	2135	0	0	2135
AF	0	0.018861	6135	4047	2088	2202	0	0	2202
AF	0	0.019246	5675	3672	2003	2020	0	0	2020
AF	0	0.019630	5862	3835	2027	2075	0	0	2075
AF	0	0.020015	5673	3730	1943	1960	0	0	1960
AF	0	0.020400	5719	3780	1939	1948	0	0	1948
AF	0	0.020785	5306	3439	1867	1925	0	0	1925
AF	0	0.021170	5202	3386	1816	1894	0	0	1894
AF	0	0.021555	4859	3149	1710	1807	0	0	1807
AF	0	0.021940	5041	3309	1732	1789	0	0	1789
AF	0	0.022325	4870	3243	1627	1783	0	0	1783
AF	0	0.022710	5107	3377	1730	1646	0	0	1646
AF	0	0.023095	4911	3173	1738	1738	0	0	1738
AF	0	0.023480	4635	2997	1638	1661	0	0	1661
AF	0	0.023865	4384	2845	1539	1560	0	0	1560
AF	0	0.024249	4369	2869	1500	1593	0	0	1593
AF	0	0.024634	4607	3025	1582	1595	0	0	1595
AF	0	0.025019	4168	2740	1428	1542	0	0	1542
AF	0	0.025404	4017	2582	1435	1514	0	0	1514
AF	0	0.025789	4188	2767	1421	1471	0	0	1471
AF	0	0.026174	3947	2595	1352	1418	0	0	1418
AF	0	0.026559	3768	2447	1321	1483	0	0	1483
AF	0	0.026944	3667	2358	1309	1340	0	0	1340
AF	0	0.027329	3425	2213	1212	1295	0	0	1295
AF	0	0.027714	3336	2193	1143	1309	0	0	1309
AF	0	0.028099	3392	2157	1235	1324	0	0	1324
AF	0	0.028483	3343	2179	1164	1274	0	0	1274
AF	0	0.028868	3234	2110	1124	1203	0	0	1203
AF	0	0.029253	3299	2162	1137	1288	0	0	1288
AF	0	0.029638	3100	2077	1023	1267	0	0	1267
AF	0	0.030023	3081	2011	1070	1181	0	0	1181
AF	0	0.030408	3030	1974	1056	1294	0	0	1294
AF	0	0.030793	2901	1886	1015	1215	0	0	1215
AF	0	0.031178	2972	1916	1056	1154	0	0	1154
AF	0	0.031563	3086	2070	1016	1080	0	0	1080
AF	0	0.031948	2985	1979	1006	1142	0	0	1142
