# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  -v --samples-file /cromwell_root/fc-47de7dae-e8e6-429c-b760-b4ba49136eee/resources/1kgp/EUR.txt /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/229fff39-eb71-4b7a-a8de-4c792a162837/subset_vcf_sample_list/d193d6c5-cf88-45e2-9f71-74b857517d42/call-bgzip_bcftools_index/1kgp.chr16.recalibrated.snp_indel.pass.singleton.EUR_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/229fff39-eb71-4b7a-a8de-4c792a162837/subset_vcf_sample_list/d193d6c5-cf88-45e2-9f71-74b857517d42/call-bgzip_bcftools_index/1kgp.chr16.recalibrated.snp_indel.pass.singleton.EUR_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	526
SN	0	number of records:	3882871
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	3652047
SN	0	number of MNPs:	0
SN	0	number of indels:	265853
SN	0	number of others:	39708
SN	0	number of multiallelic sites:	307502
SN	0	number of multiallelic SNP sites:	200536
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	2360608	1390293	1.70	2269812	1289753	1.76
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	455859	287124	168735	46344	0	0	46344
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	3282479	2075520	1206959	283329	0	0	283329
AF	0	0.001901	83891	47364	36527	15382	0	0	15382
AF	0	0.003802	40243	22413	17830	8180	0	0	8180
AF	0	0.005703	27431	15661	11770	5583	0	0	5583
AF	0	0.007605	17732	10243	7489	4110	0	0	4110
AF	0	0.009506	13773	7972	5801	3324	0	0	3324
AF	0	0.011407	10812	6403	4409	2747	0	0	2747
AF	0	0.013308	8804	5289	3515	2359	0	0	2359
AF	0	0.015209	7438	4484	2954	1977	0	0	1977
AF	0	0.017110	6273	3758	2515	1723	0	0	1723
AF	0	0.019011	5725	3410	2315	1602	0	0	1602
AF	0	0.020913	5177	3121	2056	1532	0	0	1532
AF	0	0.022814	4455	2722	1733	1383	0	0	1383
AF	0	0.024715	4210	2628	1582	1236	0	0	1236
AF	0	0.026616	4199	2573	1626	1128	0	0	1128
AF	0	0.028517	3492	2161	1331	1099	0	0	1099
AF	0	0.030418	3542	2151	1391	1043	0	0	1043
AF	0	0.032319	3380	2107	1273	1037	0	0	1037
AF	0	0.034221	2798	1759	1039	947	0	0	947
AF	0	0.036122	3137	1914	1223	927	0	0	927
AF	0	0.038023	2823	1761	1062	890	0	0	890
AF	0	0.039924	2568	1625	943	829	0	0	829
AF	0	0.041825	2185	1372	813	743	0	0	743
AF	0	0.043726	2196	1349	847	708	0	0	708
AF	0	0.045627	1940	1200	740	705	0	0	705
AF	0	0.047529	2192	1348	844	657	0	0	657
AF	0	0.049430	1625	1022	603	617	0	0	617
AF	0	0.051331	1917	1207	710	625	0	0	625
AF	0	0.053232	1824	1158	666	577	0	0	577
AF	0	0.055133	1819	1125	694	601	0	0	601
AF	0	0.057034	1861	1186	675	603	0	0	603
AF	0	0.058935	1805	1157	648	552	0	0	552
AF	0	0.060837	1927	1202	725	585	0	0	585
AF	0	0.062738	1744	1154	590	542	0	0	542
AF	0	0.064639	1528	987	541	512	0	0	512
AF	0	0.066540	1557	992	565	503	0	0	503
AF	0	0.068441	1543	989	554	488	0	0	488
AF	0	0.070342	1495	958	537	424	0	0	424
AF	0	0.072243	1340	822	518	434	0	0	434
AF	0	0.074144	1404	925	479	453	0	0	453
AF	0	0.076046	1242	817	425	419	0	0	419
AF	0	0.077947	1134	710	424	389	0	0	389
AF	0	0.079848	1256	802	454	410	0	0	410
AF	0	0.081749	1192	789	403	393	0	0	393
AF	0	0.083650	1174	779	395	413	0	0	413
AF	0	0.085551	1279	835	444	390	0	0	390
AF	0	0.087452	1165	767	398	391	0	0	391
AF	0	0.089354	1181	758	423	390	0	0	390
AF	0	0.091255	1130	725	405	369	0	0	369
AF	0	0.093156	1202	759	443	372	0	0	372
AF	0	0.095057	1144	733	411	369	0	0	369
AF	0	0.096958	1118	724	394	319	0	0	319
AF	0	0.098859	1039	667	372	391	0	0	391
AF	0	0.100760	1046	692	354	345	0	0	345
AF	0	0.102662	1040	648	392	337	0	0	337
AF	0	0.104563	1087	704	383	360	0	0	360
AF	0	0.106464	1035	660	375	297	0	0	297
AF	0	0.108365	983	626	357	338	0	0	338
AF	0	0.110266	995	640	355	295	0	0	295
AF	0	0.112167	1159	729	430	313	0	0	313
AF	0	0.114068	999	643	356	323	0	0	323
AF	0	0.115970	891	577	314	301	0	0	301
AF	0	0.117871	743	475	268	262	0	0	262
AF	0	0.119772	936	600	336	288	0	0	288
AF	0	0.121673	910	572	338	287	0	0	287
AF	0	0.123574	966	614	352	286	0	0	286
AF	0	0.125475	950	624	326	284	0	0	284
AF	0	0.127376	904	572	332	286	0	0	286
AF	0	0.129278	974	622	352	284	0	0	284
AF	0	0.131179	876	572	304	308	0	0	308
AF	0	0.133080	826	513	313	257	0	0	257
AF	0	0.134981	892	606	286	246	0	0	246
AF	0	0.136882	801	519	282	239	0	0	239
AF	0	0.138783	891	581	310	262	0	0	262
AF	0	0.140684	906	590	316	242	0	0	242
AF	0	0.142586	759	494	265	241	0	0	241
AF	0	0.144487	816	515	301	247	0	0	247
AF	0	0.146388	711	474	237	229	0	0	229
AF	0	0.148289	790	520	270	240	0	0	240
AF	0	0.150190	782	504	278	257	0	0	257
AF	0	0.152091	745	504	241	215	0	0	215
AF	0	0.153992	770	500	270	240	0	0	240
AF	0	0.155894	933	603	330	271	0	0	271
AF	0	0.157795	1026	671	355	273	0	0	273
AF	0	0.159696	978	628	350	279	0	0	279
AF	0	0.161597	856	562	294	239	0	0	239
AF	0	0.163498	876	575	301	206	0	0	206
AF	0	0.165399	696	448	248	231	0	0	231
AF	0	0.167300	772	497	275	215	0	0	215
AF	0	0.169202	734	476	258	209	0	0	209
AF	0	0.171103	817	539	278	279	0	0	279
AF	0	0.173004	672	438	234	237	0	0	237
AF	0	0.174905	734	490	244	201	0	0	201
AF	0	0.176806	739	488	251	244	0	0	244
AF	0	0.178707	853	555	298	216	0	0	216
AF	0	0.180608	768	499	269	202	0	0	202
AF	0	0.182510	745	491	254	208	0	0	208
AF	0	0.184411	687	422	265	177	0	0	177
AF	0	0.186312	612	392	220	191	0	0	191
