# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  -v --samples-file /cromwell_root/fc-47de7dae-e8e6-429c-b760-b4ba49136eee/resources/1kgp/MXL.txt /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/c4a97e42-c1bb-4123-b29f-6008493acb09/subset_vcf_sample_list/ed29388a-35b0-413e-b450-f3b3ff7c1237/call-bgzip_bcftools_index/1kgp.chr21.recalibrated.snp_indel.pass.singleton.MXL_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/c4a97e42-c1bb-4123-b29f-6008493acb09/subset_vcf_sample_list/ed29388a-35b0-413e-b450-f3b3ff7c1237/call-bgzip_bcftools_index/1kgp.chr21.recalibrated.snp_indel.pass.singleton.MXL_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	65
SN	0	number of records:	1651807
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	1510067
SN	0	number of MNPs:	0
SN	0	number of indels:	162656
SN	0	number of others:	30398
SN	0	number of multiallelic sites:	165506
SN	0	number of multiallelic SNP sites:	101188
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	1004927	547865	1.83	958349	495354	1.93
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	75207	49122	26085	15543	0	0	15543
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	1403762	907521	496241	186610	0	0	186610
AF	0	0.010000	19541	12767	6774	5621	0	0	5621
AF	0	0.020000	10649	6866	3783	3340	0	0	3340
AF	0	0.030000	12349	7869	4480	3947	0	0	3947
AF	0	0.040000	5033	3172	1861	1542	0	0	1542
AF	0	0.050000	3749	2385	1364	1194	0	0	1194
AF	0	0.060000	6049	3995	2054	2035	0	0	2035
AF	0	0.070000	2569	1624	945	901	0	0	901
AF	0	0.080000	2519	1672	847	729	0	0	729
AF	0	0.090000	3860	2511	1349	1330	0	0	1330
AF	0	0.100000	1791	1146	645	593	0	0	593
AF	0	0.110000	2121	1313	808	594	0	0	594
AF	0	0.120000	3073	2042	1031	1021	0	0	1021
AF	0	0.130000	1650	1062	588	512	0	0	512
AF	0	0.140000	1475	973	502	443	0	0	443
AF	0	0.150000	3105	2050	1055	889	0	0	889
AF	0	0.160000	1637	1060	577	442	0	0	442
AF	0	0.170000	1480	963	517	421	0	0	421
AF	0	0.180000	1458	961	497	416	0	0	416
AF	0	0.190000	2700	1770	930	710	0	0	710
AF	0	0.200000	1345	879	466	398	0	0	398
AF	0	0.210000	1405	905	500	402	0	0	402
AF	0	0.220000	2418	1608	810	651	0	0	651
AF	0	0.230000	1302	843	459	370	0	0	370
AF	0	0.240000	1305	852	453	314	0	0	314
AF	0	0.250000	2250	1519	731	539	0	0	539
AF	0	0.260000	1053	686	367	276	0	0	276
AF	0	0.270000	942	585	357	263	0	0	263
AF	0	0.280000	1796	1198	598	450	0	0	450
AF	0	0.290000	1040	661	379	273	0	0	273
AF	0	0.300000	810	531	279	227	0	0	227
AF	0	0.310000	1601	1081	520	407	0	0	407
AF	0	0.320000	862	568	294	192	0	0	192
AF	0	0.330000	857	572	285	214	0	0	214
AF	0	0.340000	724	463	261	186	0	0	186
AF	0	0.350000	1660	1067	593	380	0	0	380
AF	0	0.360000	881	541	340	187	0	0	187
AF	0	0.370000	921	607	314	179	0	0	179
AF	0	0.380000	1644	1095	549	391	0	0	391
