# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/cf9188d4-5ce4-4209-af9a-d0697c795f98/subset_vcf_sample_list/dcce9603-3cde-4755-83a9-80f654180a1f/call-bgzip_bcftools_index/attempt-2/1kgp.chr14.recalibrated.snp_indel.pass.singleton.SAS_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/cf9188d4-5ce4-4209-af9a-d0697c795f98/subset_vcf_sample_list/dcce9603-3cde-4755-83a9-80f654180a1f/call-bgzip_bcftools_index/attempt-2/1kgp.chr14.recalibrated.snp_indel.pass.singleton.SAS_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	516
SN	0	number of records:	3724648
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	3388252
SN	0	number of MNPs:	0
SN	0	number of indels:	382975
SN	0	number of others:	56085
SN	0	number of multiallelic sites:	283321
SN	0	number of multiallelic SNP sites:	146879
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	2274524	1200268	1.90	2198384	1108467	1.98
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	464282	303910	160372	65997	0	0	65997
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	2992606	1956090	1036516	392668	0	0	392668
AF	0	0.001938	89960	57943	32017	21980	0	0	21980
AF	0	0.003876	42193	27281	14912	11441	0	0	11441
AF	0	0.005814	25016	16200	8816	7449	0	0	7449
AF	0	0.007752	16725	10909	5816	5350	0	0	5350
AF	0	0.009690	12365	8080	4285	4198	0	0	4198
AF	0	0.011628	10070	6659	3411	3417	0	0	3417
AF	0	0.013566	8061	5304	2757	2936	0	0	2936
AF	0	0.015504	7067	4654	2413	2588	0	0	2588
AF	0	0.017442	6196	4149	2047	2245	0	0	2245
AF	0	0.019380	5477	3566	1911	2068	0	0	2068
AF	0	0.021318	4716	3095	1621	1850	0	0	1850
AF	0	0.023256	4610	3106	1504	1771	0	0	1771
AF	0	0.025194	4321	2838	1483	1577	0	0	1577
AF	0	0.027132	4062	2758	1304	1504	0	0	1504
AF	0	0.029070	3556	2376	1180	1377	0	0	1377
AF	0	0.031008	3262	2159	1103	1228	0	0	1228
AF	0	0.032946	3008	2007	1001	1196	0	0	1196
AF	0	0.034884	2687	1802	885	1120	0	0	1120
AF	0	0.036822	2498	1677	821	1084	0	0	1084
AF	0	0.038760	2604	1688	916	983	0	0	983
AF	0	0.040698	2507	1715	792	961	0	0	961
AF	0	0.042636	2573	1726	847	958	0	0	958
AF	0	0.044574	2371	1596	775	974	0	0	974
AF	0	0.046512	2171	1426	745	873	0	0	873
AF	0	0.048450	2094	1407	687	787	0	0	787
AF	0	0.050388	1784	1204	580	765	0	0	765
AF	0	0.052326	1798	1208	590	705	0	0	705
AF	0	0.054264	1780	1186	594	664	0	0	664
AF	0	0.056202	1782	1212	570	749	0	0	749
AF	0	0.058140	2105	1360	745	715	0	0	715
AF	0	0.060078	1709	1133	576	664	0	0	664
AF	0	0.062016	1827	1219	608	707	0	0	707
AF	0	0.063953	1859	1242	617	688	0	0	688
AF	0	0.065891	1664	1095	569	601	0	0	601
