# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/7a95379d-1a25-4b3c-a3b0-3f63adca52ea/subset_vcf_sample_list/24f49c2f-33af-476c-9f5f-f2ff204d2dfc/call-bgzip_bcftools_index/1kgp.chr2.recalibrated.snp_indel.pass.singleton.PUR_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/7a95379d-1a25-4b3c-a3b0-3f63adca52ea/subset_vcf_sample_list/24f49c2f-33af-476c-9f5f-f2ff204d2dfc/call-bgzip_bcftools_index/1kgp.chr2.recalibrated.snp_indel.pass.singleton.PUR_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	104
SN	0	number of records:	9637087
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	8785870
SN	0	number of MNPs:	0
SN	0	number of indels:	950667
SN	0	number of others:	120095
SN	0	number of multiallelic sites:	624996
SN	0	number of multiallelic SNP sites:	311872
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	5859801	3085665	1.90	5701004	2910492	1.96
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	525018	345589	179429	101945	0	0	101945
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	8063181	5271804	2791377	1051654	0	0	1051654
AF	0	0.009615	175011	115672	59339	49917	0	0	49917
AF	0	0.019231	83669	55487	28182	27104	0	0	27104
AF	0	0.028846	50477	33419	17058	18180	0	0	18180
AF	0	0.038462	37290	24828	12462	13884	0	0	13884
AF	0	0.048077	30144	20032	10112	10880	0	0	10880
AF	0	0.057692	25116	16676	8440	9052	0	0	9052
AF	0	0.067308	21084	14074	7010	7976	0	0	7976
AF	0	0.076923	18778	12577	6201	6943	0	0	6943
AF	0	0.086538	16833	11271	5562	6153	0	0	6153
AF	0	0.096154	15075	10031	5044	5406	0	0	5406
AF	0	0.105769	13652	9097	4555	4819	0	0	4819
AF	0	0.115385	13009	8685	4324	4623	0	0	4623
AF	0	0.125000	12604	8294	4310	4363	0	0	4363
AF	0	0.134615	12049	8006	4043	4082	0	0	4082
AF	0	0.144231	11323	7531	3792	3639	0	0	3639
AF	0	0.153846	10607	7046	3561	3548	0	0	3548
AF	0	0.163462	10275	6835	3440	3259	0	0	3259
AF	0	0.173077	9568	6343	3225	3164	0	0	3164
AF	0	0.182692	9776	6450	3326	3112	0	0	3112
AF	0	0.192308	9046	6019	3027	2828	0	0	2828
AF	0	0.201923	9092	6130	2962	2713	0	0	2713
AF	0	0.211538	8252	5459	2793	2493	0	0	2493
AF	0	0.221154	8504	5687	2817	2518	0	0	2518
AF	0	0.230769	7613	5117	2496	2278	0	0	2278
AF	0	0.240385	7063	4727	2336	2132	0	0	2132
AF	0	0.250000	6976	4687	2289	2114	0	0	2114
AF	0	0.259615	6886	4603	2283	2025	0	0	2025
AF	0	0.269231	6733	4474	2259	1902	0	0	1902
AF	0	0.278846	6401	4266	2135	1766	0	0	1766
AF	0	0.288462	6271	4215	2056	1802	0	0	1802
AF	0	0.298077	5998	3998	2000	1733	0	0	1733
AF	0	0.307692	6415	4335	2080	1703	0	0	1703
AF	0	0.317308	5831	3908	1923	1589	0	0	1589
AF	0	0.326923	5961	4030	1931	1607	0	0	1607
AF	0	0.336538	5584	3830	1754	1556	0	0	1556
AF	0	0.346154	5036	3359	1677	1407	0	0	1407
AF	0	0.355769	5154	3498	1656	1351	0	0	1351
AF	0	0.365385	4946	3322	1624	1351	0	0	1351
AF	0	0.375000	5296	3484	1812	1341	0	0	1341
AF	0	0.384615	5167	3482	1685	1258	0	0	1258
AF	0	0.394231	4753	3166	1587	1244	0	0	1244
AF	0	0.403846	4530	3039	1491	1195	0	0	1195
AF	0	0.413462	4707	3123	1584	1166	0	0	1166
AF	0	0.423077	4246	2821	1425	1072	0	0	1072
AF	0	0.432692	4060	2779	1281	1045	0	0	1045
AF	0	0.442308	4006	2673	1333	996	0	0	996
AF	0	0.451923	3682	2462	1220	919	0	0	919
AF	0	0.461538	4097	2713	1384	960	0	0	960
AF	0	0.471154	3618	2436	1182	906	0	0	906
AF	0	0.480769	4025	2716	1309	940	0	0	940
AF	0	0.490385	5891	3967	1924	1252	0	0	1252
AF	0	0.500000	3625	2399	1226	860	0	0	860
AF	0	0.509615	3487	2356	1131	756	0	0	756
AF	0	0.519231	3220	2183	1037	788	0	0	788
AF	0	0.528846	3738	2541	1197	774	0	0	774
AF	0	0.538462	3367	2264	1103	724	0	0	724
AF	0	0.548077	3220	2168	1052	736	0	0	736
AF	0	0.557692	3238	2197	1041	617	0	0	617
AF	0	0.567308	3377	2295	1082	679	0	0	679
AF	0	0.576923	3218	2207	1011	698	0	0	698
AF	0	0.586538	2851	1931	920	631	0	0	631
AF	0	0.596154	3022	1999	1023	685	0	0	685
