# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  -v --samples-file /cromwell_root/fc-47de7dae-e8e6-429c-b760-b4ba49136eee/resources/1kgp/PUR.txt /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/3123f53b-432f-4560-950c-348ee4095783/subset_vcf_sample_list/739ad29f-fc61-4fe8-83cd-5659da9b04b4/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr12.recalibrated_variants.pass.singleton.PUR_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/3123f53b-432f-4560-950c-348ee4095783/subset_vcf_sample_list/739ad29f-fc61-4fe8-83cd-5659da9b04b4/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr12.recalibrated_variants.pass.singleton.PUR_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	104
SN	0	number of records:	5306508
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	4920826
SN	0	number of MNPs:	0
SN	0	number of indels:	444628
SN	0	number of others:	84302
SN	0	number of multiallelic sites:	354868
SN	0	number of multiallelic SNP sites:	147066
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	3317155	1699455	1.95	3250666	1618232	2.01
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	299829	199965	99864	61257	0	0	61257
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	4461923	2946780	1515143	490885	0	0	490885
AF	0	0.009615	108179	71541	36638	36580	0	0	36580
AF	0	0.019231	50656	33388	17268	19739	0	0	19739
AF	0	0.028846	31087	20657	10430	12896	0	0	12896
AF	0	0.038462	22423	14787	7636	9516	0	0	9516
AF	0	0.048077	18024	11935	6089	7785	0	0	7785
AF	0	0.057692	15306	10266	5040	6539	0	0	6539
AF	0	0.067308	14230	9497	4733	5678	0	0	5678
AF	0	0.076923	11877	7956	3921	5096	0	0	5096
AF	0	0.086538	9829	6578	3251	4320	0	0	4320
AF	0	0.096154	9593	6455	3138	4021	0	0	4021
AF	0	0.105769	9282	6240	3042	3712	0	0	3712
AF	0	0.115385	8160	5475	2685	3320	0	0	3320
AF	0	0.125000	7344	4856	2488	2951	0	0	2951
AF	0	0.134615	6635	4389	2246	2765	0	0	2765
AF	0	0.144231	6741	4518	2223	2524	0	0	2524
AF	0	0.153846	6450	4294	2156	2383	0	0	2383
AF	0	0.163462	6147	4175	1972	2257	0	0	2257
AF	0	0.173077	5025	3382	1643	2005	0	0	2005
AF	0	0.182692	5179	3428	1751	1934	0	0	1934
AF	0	0.192308	5073	3391	1682	1802	0	0	1802
AF	0	0.201923	5210	3523	1687	1782	0	0	1782
AF	0	0.211538	4792	3178	1614	1645	0	0	1645
AF	0	0.221154	5370	3555	1815	1724	0	0	1724
AF	0	0.230769	4540	3070	1470	1610	0	0	1610
AF	0	0.240385	5185	3535	1650	1588	0	0	1588
AF	0	0.250000	4031	2749	1282	1333	0	0	1333
AF	0	0.259615	3858	2602	1256	1328	0	0	1328
AF	0	0.269231	4256	2888	1368	1417	0	0	1417
AF	0	0.278846	3693	2473	1220	1195	0	0	1195
AF	0	0.288462	4153	2780	1373	1200	0	0	1200
AF	0	0.298077	4163	2784	1379	1267	0	0	1267
AF	0	0.307692	3967	2675	1292	1194	0	0	1194
AF	0	0.317308	3767	2532	1235	1127	0	0	1127
AF	0	0.326923	3587	2399	1188	1117	0	0	1117
AF	0	0.336538	2913	1943	970	987	0	0	987
AF	0	0.346154	3447	2309	1138	942	0	0	942
AF	0	0.355769	3075	2055	1020	920	0	0	920
AF	0	0.365385	2936	2007	929	865	0	0	865
AF	0	0.375000	2768	1884	884	819	0	0	819
AF	0	0.384615	2602	1792	810	767	0	0	767
AF	0	0.394231	2672	1800	872	746	0	0	746
AF	0	0.403846	2784	1869	915	787	0	0	787
AF	0	0.413462	2725	1812	913	720	0	0	720
AF	0	0.423077	2613	1727	886	708	0	0	708
AF	0	0.432692	2668	1743	925	747	0	0	747
AF	0	0.442308	2469	1661	808	729	0	0	729
AF	0	0.451923	2416	1613	803	696	0	0	696
AF	0	0.461538	2900	1913	987	747	0	0	747
AF	0	0.471154	2290	1538	752	634	0	0	634
AF	0	0.480769	2618	1749	869	599	0	0	599
AF	0	0.490385	3656	2505	1151	920	0	0	920
AF	0	0.500000	2501	1726	775	625	0	0	625
AF	0	0.509615	2243	1543	700	564	0	0	564
AF	0	0.519231	2065	1419	646	561	0	0	561
AF	0	0.528846	2028	1392	636	529	0	0	529
AF	0	0.538462	1859	1246	613	526	0	0	526
AF	0	0.548077	2044	1393	651	511	0	0	511
AF	0	0.557692	2329	1572	757	495	0	0	495
AF	0	0.567308	2116	1426	690	476	0	0	476
AF	0	0.576923	1959	1321	638	481	0	0	481
AF	0	0.586538	1830	1262	568	453	0	0	453
AF	0	0.596154	1799	1234	565	453	0	0	453
AF	0	0.605769	1711	1146	565	439	0	0	439
AF	0	0.615385	1925	1293	632	455	0	0	455
AF	0	0.625000	1950	1328	622	392	0	0	392
AF	0	0.634615	1916	1305	611	410	0	0	410
AF	0	0.644231	1761	1221	540	368	0	0	368
AF	0	0.653846	1745	1133	612	364	0	0	364
AF	0	0.663462	1845	1266	579	361	0	0	361
AF	0	0.673077	1790	1234	556	350	0	0	350
AF	0	0.682692	1508	1056	452	353	0	0	353
AF	0	0.692308	1696	1133	563	341	0	0	341
AF	0	0.701923	1840	1255	585	355	0	0	355
AF	0	0.711538	1838	1232	606	358	0	0	358
AF	0	0.721154	1603	1083	520	347	0	0	347
AF	0	0.730769	1713	1186	527	308	0	0	308
AF	0	0.740385	1402	972	430	277	0	0	277
AF	0	0.750000	1399	944	455	271	0	0	271
AF	0	0.759615	1490	1006	484	249	0	0	249
AF	0	0.769231	1447	977	470	287	0	0	287
AF	0	0.778846	1473	1005	468	297	0	0	297
AF	0	0.788462	1491	1008	483	250	0	0	250
AF	0	0.798077	1192	786	406	257	0	0	257
AF	0	0.807692	1272	867	405	263	0	0	263
AF	0	0.817308	1376	905	471	262	0	0	262
AF	0	0.826923	1206	802	404	221	0	0	221
AF	0	0.836538	1201	851	350	177	0	0	177
AF	0	0.846154	1585	1071	514	255	0	0	255
AF	0	0.855769	1120	751	369	201	0	0	201
AF	0	0.865385	1163	761	402	186	0	0	186
AF	0	0.875000	1350	942	408	253	0	0	253
AF	0	0.884615	1238	855	383	207	0	0	207
AF	0	0.894231	1113	747	366	211	0	0	211
AF	0	0.903846	1008	700	308	182	0	0	182
AF	0	0.913462	1208	798	410	222	0	0	222
AF	0	0.923077	1326	913	413	202	0	0	202
AF	0	0.932692	1304	875	429	208	0	0	208
AF	0	0.942308	1506	1021	485	228	0	0	228
AF	0	0.951923	1378	951	427	208	0	0	208
AF	0	0.961538	1846	1266	580	256	0	0	256
AF	0	0.971154	2698	1789	909	323	0	0	323
AF	0	0.980769	3708	2498	1210	386	0	0	386
AF	0	0.990385	3209	2038	1171	589	0	0	589
# QUAL, Stats by quality:
# QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	30	955	465	490	9
QUAL	0	31	2168	1086	1082	37
QUAL	0	32	1342	696	646	28
QUAL	0	33	937	459	478	26
QUAL	0	34	2141	1096	1045	30
QUAL	0	35	1364	719	645	30
QUAL	0	36	933	466	467	42
QUAL	0	37	1910	996	914	53
QUAL	0	38	1402	740	662	34
QUAL	0	39	904	454	450	23
QUAL	0	40	1867	940	927	49
QUAL	0	41	1423	730	693	32
QUAL	0	42	950	441	509	29
QUAL	0	43	1690	847	843	40
QUAL	0	44	1473	766	707	33
QUAL	0	45	967	527	440	42
QUAL	0	46	1598	821	777	50
QUAL	0	47	1595	838	757	38
QUAL	0	48	885	472	413	24
QUAL	0	49	1508	787	721	38
QUAL	0	50	1566	817	749	48
QUAL	0	51	988	497	491	27
QUAL	0	52	1454	729	725	35
QUAL	0	53	1571	802	769	30
QUAL	0	54	898	457	441	35
QUAL	0	55	1390	728	662	56
QUAL	0	56	1623	849	774	46
QUAL	0	57	942	481	461	37
QUAL	0	58	1346	680	666	30
QUAL	0	59	1578	859	719	41
QUAL	0	60	970	485	485	21
QUAL	0	61	1344	714	630	53
QUAL	0	62	1541	812	729	37
QUAL	0	63	937	478	459	41
QUAL	0	64	1293	680	613	51
QUAL	0	65	1583	836	747	35
QUAL	0	66	912	488	424	22
QUAL	0	67	1350	738	612	53
QUAL	0	68	1455	785	670	31
QUAL	0	69	895	458	437	29
QUAL	0	70	1329	730	599	47
QUAL	0	71	1541	839	702	24
QUAL	0	72	869	456	413	39
QUAL	0	73	1322	682	640	53
QUAL	0	74	1434	770	664	46
QUAL	0	75	843	433	410	27
QUAL	0	76	1364	719	645	50
QUAL	0	77	1426	779	647	49
QUAL	0	78	905	452	453	31
QUAL	0	79	1350	718	632	38
QUAL	0	80	1359	749	610	39
QUAL	0	81	912	479	433	34
QUAL	0	82	1364	736	628	44
QUAL	0	83	1356	740	616	29
QUAL	0	84	908	471	437	30
QUAL	0	85	1385	736	649	42
QUAL	0	86	1458	815	643	33
QUAL	0	87	898	489	409	26
QUAL	0	88	1395	717	678	52
QUAL	0	89	1357	726	631	39
QUAL	0	90	935	502	433	34
QUAL	0	91	1362	690	672	51
QUAL	0	92	1313	750	563	49
QUAL	0	93	974	507	467	26
QUAL	0	94	1478	780	698	43
QUAL	0	95	1247	739	508	50
QUAL	0	96	967	521	446	38
QUAL	0	97	1457	802	655	42
QUAL	0	98	1219	715	504	34
QUAL	0	99	1044	550	494	31
QUAL	0	100	1510	815	695	47
QUAL	0	101	1096	642	454	28
QUAL	0	102	1035	580	455	23
QUAL	0	103	1489	843	646	57
QUAL	0	104	1112	616	496	46
QUAL	0	105	1058	573	485	28
QUAL	0	106	1479	797	682	38
QUAL	0	107	1068	582	486	34
QUAL	0	108	1156	626	530	26
QUAL	0	109	1549	894	655	63
QUAL	0	110	990	542	448	31
QUAL	0	111	1226	694	532	42
QUAL	0	112	1550	889	661	48
QUAL	0	113	968	569	399	31
QUAL	0	114	1201	662	539	36
QUAL	0	115	1579	915	664	52
QUAL	0	116	1030	570	460	49
QUAL	0	117	1317	742	575	38
QUAL	0	118	1698	998	700	42
QUAL	0	119	965	565	400	38
QUAL	0	120	1299	726	573	47
QUAL	0	121	1601	987	614	52
QUAL	0	122	1006	561	445	39
QUAL	0	123	1381	776	605	43
QUAL	0	124	1591	976	615	48
QUAL	0	125	970	537	433	37
QUAL	0	126	1427	780	647	32
QUAL	0	127	1518	874	644	49
QUAL	0	128	1020	583	437	43
QUAL	0	129	1626	915	711	24
QUAL	0	130	1422	828	594	53
QUAL	0	131	1082	622	460	47
QUAL	0	132	1520	833	687	55
QUAL	0	133	1240	767	473	53
QUAL	0	134	1106	660	446	62
QUAL	0	135	1721	1021	700	35
QUAL	0	136	1288	746	542	52
QUAL	0	137	1213	729	483	40
QUAL	0	138	1818	1058	760	36
QUAL	0	139	1222	684	538	54
QUAL	0	140	1240	728	512	46
QUAL	0	141	2073	1194	879	49
QUAL	0	142	1110	639	471	38
QUAL	0	143	1222	717	505	44
QUAL	0	144	2077	1224	853	32
QUAL	0	145	1100	639	460	59
QUAL	0	146	1318	778	540	32
QUAL	0	147	2198	1343	854	41
QUAL	0	148	1117	658	459	83
QUAL	0	149	1265	710	554	41
QUAL	0	150	2346	1479	867	42
QUAL	0	151	1032	591	439	48
QUAL	0	152	1394	842	552	52
QUAL	0	153	2290	1371	919	51
QUAL	0	154	1049	625	423	59
QUAL	0	155	1428	832	595	32
QUAL	0	156	2237	1400	837	37
QUAL	0	157	1096	650	446	50
QUAL	0	158	1570	899	671	46
QUAL	0	159	2230	1407	823	41
QUAL	0	160	1183	686	496	64
QUAL	0	161	1653	981	671	61
QUAL	0	162	2134	1364	770	59
QUAL	0	163	1233	761	472	66
QUAL	0	164	1818	1091	727	53
QUAL	0	165	1996	1225	771	52
QUAL	0	166	1244	746	498	57
QUAL	0	167	2064	1204	860	45
QUAL	0	168	1784	1096	688	53
QUAL	0	169	1250	734	516	64
QUAL	0	170	2144	1336	807	61
QUAL	0	171	1666	1024	641	53
QUAL	0	172	1279	779	500	70
QUAL	0	173	2496	1527	969	48
QUAL	0	174	1478	876	602	45
QUAL	0	175	1345	820	524	59
QUAL	0	176	2740	1681	1057	41
QUAL	0	177	1545	912	633	53
QUAL	0	178	1393	829	563	82
QUAL	0	179	2846	1808	1038	52
QUAL	0	180	1541	933	607	47
QUAL	0	181	1433	895	536	82
QUAL	0	182	3153	2000	1152	40
QUAL	0	183	1661	987	672	53
QUAL	0	184	1401	848	552	70
QUAL	0	185	3119	1978	1139	51
QUAL	0	186	1755	1066	689	47
QUAL	0	187	1393	860	533	75
