# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  -v --samples-file /cromwell_root/fc-47de7dae-e8e6-429c-b760-b4ba49136eee/resources/1kgp/BEB.txt /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/2df82526-ad5f-4cd7-b763-233b26d23985/subset_vcf_sample_list/9f7f1030-6d2e-46c7-ac8f-31977b3284cf/call-bgzip_bcftools_index/1kgp.chr21.recalibrated.snp_indel.pass.singleton.BEB_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/2df82526-ad5f-4cd7-b763-233b26d23985/subset_vcf_sample_list/9f7f1030-6d2e-46c7-ac8f-31977b3284cf/call-bgzip_bcftools_index/1kgp.chr21.recalibrated.snp_indel.pass.singleton.BEB_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	101
SN	0	number of records:	1651807
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	1510067
SN	0	number of MNPs:	0
SN	0	number of indels:	162656
SN	0	number of others:	30398
SN	0	number of multiallelic sites:	165506
SN	0	number of multiallelic SNP sites:	101188
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	1004927	547865	1.83	958349	495354	1.93
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	87651	56875	30776	16032	0	0	16032
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	1404255	908537	495718	185962	0	0	185962
AF	0	0.009901	22003	13645	8358	6477	0	0	6477
AF	0	0.019802	10420	6518	3902	3509	0	0	3509
AF	0	0.029703	6859	4326	2533	2411	0	0	2411
AF	0	0.039604	5348	3347	2001	1818	0	0	1818
AF	0	0.049505	4348	2843	1505	1585	0	0	1585
AF	0	0.059406	3652	2395	1257	1298	0	0	1298
AF	0	0.069307	3279	2178	1101	1225	0	0	1225
AF	0	0.079208	3253	2141	1112	1105	0	0	1105
AF	0	0.089109	2648	1787	861	945	0	0	945
AF	0	0.099010	3088	2046	1042	973	0	0	973
AF	0	0.108911	2638	1715	923	833	0	0	833
AF	0	0.118812	2374	1561	813	732	0	0	732
AF	0	0.128713	2541	1609	932	759	0	0	759
AF	0	0.138614	2293	1498	795	690	0	0	690
AF	0	0.148515	2467	1561	906	669	0	0	669
AF	0	0.158416	1964	1329	635	541	0	0	541
AF	0	0.168317	1637	1076	561	490	0	0	490
AF	0	0.178218	1773	1141	632	504	0	0	504
AF	0	0.188119	1705	1098	607	430	0	0	430
AF	0	0.198020	1627	1061	566	478	0	0	478
AF	0	0.207921	1621	1075	546	444	0	0	444
AF	0	0.217822	1535	1002	533	463	0	0	463
AF	0	0.227723	1464	969	495	395	0	0	395
AF	0	0.237624	1552	1071	481	407	0	0	407
AF	0	0.247525	1514	985	529	380	0	0	380
AF	0	0.257426	1183	774	409	299	0	0	299
AF	0	0.267327	1316	890	426	377	0	0	377
AF	0	0.277228	1228	826	402	281	0	0	281
AF	0	0.287129	1178	762	416	309	0	0	309
AF	0	0.297030	1263	798	465	334	0	0	334
AF	0	0.306931	1260	801	459	321	0	0	321
AF	0	0.316832	1287	824	463	333	0	0	333
AF	0	0.326733	1338	881	457	318	0	0	318
AF	0	0.336634	1126	730	396	281	0	0	281
AF	0	0.346535	1186	787	399	255	0	0	255
AF	0	0.356436	1460	974	486	316	0	0	316
AF	0	0.366337	1205	808	397	308	0	0	308
AF	0	0.376238	1191	789	402	272	0	0	272
AF	0	0.386139	1192	779	413	255	0	0	255
AF	0	0.396040	1247	790	457	265	0	0	265
AF	0	0.405941	1340	878	462	256	0	0	256
AF	0	0.415842	1036	684	352	180	0	0	180
AF	0	0.425743	1064	692	372	238	0	0	238
AF	0	0.435644	987	647	340	217	0	0	217
AF	0	0.445545	932	614	318	203	0	0	203
AF	0	0.455446	1281	880	401	224	0	0	224
AF	0	0.465347	969	634	335	163	0	0	163
AF	0	0.475248	809	531	278	187	0	0	187
AF	0	0.485149	772	542	230	163	0	0	163
AF	0	0.495050	1160	778	382	217	0	0	217
AF	0	0.504950	833	530	303	183	0	0	183
AF	0	0.514851	865	542	323	156	0	0	156
AF	0	0.524752	1278	776	502	179	0	0	179
AF	0	0.534653	1135	711	424	146	0	0	146
AF	0	0.544554	602	388	214	136	0	0	136
AF	0	0.554455	756	486	270	150	0	0	150
AF	0	0.564356	750	489	261	109	0	0	109
AF	0	0.574257	585	365	220	140	0	0	140
AF	0	0.584158	846	561	285	159	0	0	159
AF	0	0.594059	826	556	270	143	0	0	143
AF	0	0.603960	687	456	231	121	0	0	121
AF	0	0.613861	658	408	250	100	0	0	100
AF	0	0.623762	776	483	293	127	0	0	127
AF	0	0.633663	559	386	173	105	0	0	105
AF	0	0.643564	639	447	192	106	0	0	106
AF	0	0.653465	683	474	209	114	0	0	114
AF	0	0.663366	659	461	198	107	0	0	107
AF	0	0.673267	557	391	166	109	0	0	109
AF	0	0.683168	490	324	166	71	0	0	71
AF	0	0.693069	428	277	151	59	0	0	59
AF	0	0.702970	493	345	148	87	0	0	87
AF	0	0.712871	548	360	188	91	0	0	91
AF	0	0.722772	506	344	162	60	0	0	60
AF	0	0.732673	388	280	108	65	0	0	65
AF	0	0.742574	437	304	133	65	0	0	65
AF	0	0.752475	458	326	132	78	0	0	78
AF	0	0.762376	491	336	155	66	0	0	66
AF	0	0.772277	427	292	135	61	0	0	61
AF	0	0.782178	469	320	149	72	0	0	72
AF	0	0.792079	554	362	192	75	0	0	75
AF	0	0.801980	338	238	100	62	0	0	62
AF	0	0.811881	702	499	203	98	0	0	98
AF	0	0.821782	370	249	121	49	0	0	49
AF	0	0.831683	385	278	107	55	0	0	55
AF	0	0.841584	428	299	129	57	0	0	57
AF	0	0.851485	423	270	153	51	0	0	51
AF	0	0.861386	328	231	97	41	0	0	41
AF	0	0.871287	310	212	98	44	0	0	44
AF	0	0.881188	241	182	59	40	0	0	40
AF	0	0.891089	304	211	93	44	0	0	44
AF	0	0.900990	264	182	82	39	0	0	39
AF	0	0.910891	242	171	71	31	0	0	31
AF	0	0.920792	397	271	126	49	0	0	49
AF	0	0.930693	262	187	75	41	0	0	41
AF	0	0.940594	182	131	51	27	0	0	27
AF	0	0.950495	162	107	55	12	0	0	12
AF	0	0.960396	173	119	54	16	0	0	16
AF	0	0.970297	189	132	57	26	0	0	26
AF	0	0.980198	275	179	96	35	0	0	35
AF	0	0.990099	566	392	174	36	0	0	36
# QUAL, Stats by quality:
# QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	30	762	328	361	95
QUAL	0	31	849	350	418	95
QUAL	0	32	463	174	213	70
QUAL	0	33	834	343	399	96
QUAL	0	34	699	283	331	87
QUAL	0	35	533	214	244	72
QUAL	0	36	762	335	345	87
QUAL	0	37	680	276	314	85
QUAL	0	38	517	200	229	71
QUAL	0	39	789	348	369	87
QUAL	0	40	609	262	271	85
QUAL	0	41	437	163	215	68
QUAL	0	42	788	363	339	79
QUAL	0	43	635	271	280	78
QUAL	0	44	433	159	214	82
QUAL	0	45	745	311	353	71
QUAL	0	46	629	227	316	94
QUAL	0	47	435	175	196	89
QUAL	0	48	763	299	377	74
QUAL	0	49	663	254	315	78
QUAL	0	50	612	213	304	74
QUAL	0	51	867	382	387	87
QUAL	0	52	621	245	284	76
QUAL	0	53	491	159	230	51
QUAL	0	54	754	313	354	92
QUAL	0	55	621	232	288	65
QUAL	0	56	483	194	204	61
QUAL	0	57	708	300	324	56
QUAL	0	58	554	235	241	54
QUAL	0	59	432	160	197	59
QUAL	0	60	640	273	288	61
QUAL	0	61	517	208	246	79
QUAL	0	62	376	146	159	77
QUAL	0	63	578	265	247	60
QUAL	0	64	576	270	249	52
QUAL	0	65	400	157	183	61
QUAL	0	66	513	230	240	62
QUAL	0	67	545	234	242	65
QUAL	0	68	382	146	170	52
QUAL	0	69	484	192	241	67
QUAL	0	70	545	242	233	49
QUAL	0	71	359	151	156	46
QUAL	0	72	502	209	235	54
QUAL	0	73	495	213	237	53
QUAL	0	74	343	167	126	30
QUAL	0	75	470	197	211	65
QUAL	0	76	603	263	268	71
QUAL	0	77	403	161	190	36
QUAL	0	78	445	206	182	54
QUAL	0	79	558	237	262	57
QUAL	0	80	336	143	145	58
QUAL	0	81	461	193	206	60
QUAL	0	82	510	217	248	67
QUAL	0	83	343	154	134	52
QUAL	0	84	441	209	180	55
QUAL	0	85	514	231	225	70
QUAL	0	86	356	147	167	62
QUAL	0	87	427	186	181	51
QUAL	0	88	553	246	254	49
QUAL	0	89	356	147	157	49
QUAL	0	90	414	199	181	66
QUAL	0	91	533	240	236	45
QUAL	0	92	344	147	142	46
QUAL	0	93	411	188	186	50
QUAL	0	94	501	239	206	41
QUAL	0	95	346	151	147	43
QUAL	0	96	439	188	200	57
QUAL	0	97	486	247	197	30
QUAL	0	98	342	140	141	44
QUAL	0	99	407	183	176	63
QUAL	0	100	507	264	182	48
QUAL	0	101	326	131	144	30
QUAL	0	102	447	207	192	47
QUAL	0	103	492	224	208	40
QUAL	0	104	312	140	131	53
QUAL	0	105	470	206	215	49
QUAL	0	106	440	203	183	51
QUAL	0	107	377	169	163	41
QUAL	0	108	488	255	195	44
QUAL	0	109	411	198	168	44
QUAL	0	110	325	153	131	34
QUAL	0	111	420	200	180	30
QUAL	0	112	430	216	174	51
QUAL	0	113	368	169	148	50
QUAL	0	114	466	217	205	38
QUAL	0	115	425	220	157	47
QUAL	0	116	358	162	157	31
QUAL	0	117	406	186	179	51
QUAL	0	118	412	175	196	56
QUAL	0	119	377	199	138	37
QUAL	0	120	459	233	176	58
QUAL	0	121	384	195	148	47
QUAL	0	122	392	182	167	47
QUAL	0	123	490	242	209	51
QUAL	0	124	342	190	117	33
QUAL	0	125	407	201	157	35
QUAL	0	126	479	223	210	64
QUAL	0	127	396	196	163	44
QUAL	0	128	366	167	164	36
QUAL	0	129	490	266	193	48
QUAL	0	130	342	157	137	43
QUAL	0	131	369	184	142	43
QUAL	0	132	490	244	205	50
QUAL	0	133	344	172	140	36
QUAL	0	134	398	185	177	35
QUAL	0	135	495	280	176	44
QUAL	0	136	369	182	144	40
QUAL	0	137	425	200	180	45
QUAL	0	138	493	281	174	45
QUAL	0	139	399	172	178	42
QUAL	0	140	456	226	180	34
QUAL	0	141	495	265	177	49
QUAL	0	142	341	178	138	46
QUAL	0	143	455	210	209	35
QUAL	0	144	492	248	213	39
QUAL	0	145	389	205	143	48
QUAL	0	146	483	241	209	35
QUAL	0	147	494	263	189	60
QUAL	0	148	398	193	167	53
QUAL	0	149	476	248	187	52
QUAL	0	150	457	251	168	54
QUAL	0	151	385	201	147	51
QUAL	0	152	500	250	221	39
QUAL	0	153	449	240	180	45
QUAL	0	154	418	209	172	44
