# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/eada155b-f50d-4fe0-a789-18741315b7d3/subset_vcf_sample_list/dd87f000-7410-4014-a33d-23852ffe198e/call-bgzip_bcftools_index/1kgp.chr17.recalibrated.snp_indel.pass.singleton.AFR_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/eada155b-f50d-4fe0-a789-18741315b7d3/subset_vcf_sample_list/dd87f000-7410-4014-a33d-23852ffe198e/call-bgzip_bcftools_index/1kgp.chr17.recalibrated.snp_indel.pass.singleton.AFR_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	690
SN	0	number of records:	3397478
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	3085388
SN	0	number of MNPs:	0
SN	0	number of indels:	355968
SN	0	number of others:	57242
SN	0	number of multiallelic sites:	289006
SN	0	number of multiallelic SNP sites:	149850
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	2127283	1023561	2.08	2051607	944787	2.17
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	560038	379584	180454	80743	0	0	80743
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	2393463	1618327	775136	294644	0	0	294644
AF	0	0.001449	126707	82695	44012	29848	0	0	29848
AF	0	0.002899	64360	41915	22445	15831	0	0	15831
AF	0	0.004348	42350	27539	14811	10822	0	0	10822
AF	0	0.005797	30950	20274	10676	8184	0	0	8184
AF	0	0.007246	25591	16869	8722	6880	0	0	6880
AF	0	0.008696	20563	13651	6912	5512	0	0	5512
AF	0	0.010145	17406	11520	5886	4896	0	0	4896
AF	0	0.011594	15138	10133	5005	4231	0	0	4231
AF	0	0.013043	15108	10169	4939	4175	0	0	4175
AF	0	0.014493	11988	8135	3853	3607	0	0	3607
AF	0	0.015942	10395	7044	3351	3233	0	0	3233
AF	0	0.017391	9469	6502	2967	2883	0	0	2883
AF	0	0.018841	9322	6249	3073	2872	0	0	2872
AF	0	0.020290	8309	5646	2663	2678	0	0	2678
AF	0	0.021739	8041	5477	2564	2407	0	0	2407
AF	0	0.023188	7015	4761	2254	2216	0	0	2216
AF	0	0.024638	6906	4710	2196	2187	0	0	2187
AF	0	0.026087	6491	4354	2137	2031	0	0	2031
AF	0	0.027536	5983	4067	1916	2017	0	0	2017
AF	0	0.028986	5666	3861	1805	1825	0	0	1825
AF	0	0.030435	6019	4090	1929	1816	0	0	1816
AF	0	0.031884	5212	3573	1639	1714	0	0	1714
AF	0	0.033333	4932	3332	1600	1735	0	0	1735
AF	0	0.034783	4639	3154	1485	1538	0	0	1538
AF	0	0.036232	4646	3195	1451	1531	0	0	1531
AF	0	0.037681	4286	2968	1318	1459	0	0	1459
AF	0	0.039130	4193	2802	1391	1408	0	0	1408
AF	0	0.040580	3997	2776	1221	1312	0	0	1312
AF	0	0.042029	3395	2315	1080	1222	0	0	1222
AF	0	0.043478	3654	2471	1183	1261	0	0	1261
AF	0	0.044928	3604	2537	1067	1242	0	0	1242
AF	0	0.046377	3416	2346	1070	1195	0	0	1195
AF	0	0.047826	3328	2288	1040	1188	0	0	1188
AF	0	0.049275	3335	2328	1007	1151	0	0	1151
AF	0	0.050725	3860	2537	1323	1167	0	0	1167
AF	0	0.052174	3113	2140	973	1082	0	0	1082
AF	0	0.053623	2669	1812	857	1046	0	0	1046
AF	0	0.055072	2753	1928	825	1033	0	0	1033
AF	0	0.056522	2758	1896	862	948	0	0	948
AF	0	0.057971	2881	1949	932	986	0	0	986
AF	0	0.059420	2943	1963	980	976	0	0	976
AF	0	0.060870	2324	1630	694	832	0	0	832
AF	0	0.062319	2333	1586	747	893	0	0	893
AF	0	0.063768	2252	1568	684	866	0	0	866
AF	0	0.065217	2253	1583	670	802	0	0	802
AF	0	0.066667	1942	1337	605	823	0	0	823
AF	0	0.068116	2052	1390	662	740	0	0	740
AF	0	0.069565	2147	1478	669	813	0	0	813
AF	0	0.071014	2058	1400	658	782	0	0	782
AF	0	0.072464	2100	1446	654	752	0	0	752
AF	0	0.073913	1880	1294	586	739	0	0	739
AF	0	0.075362	1890	1290	600	733	0	0	733
AF	0	0.076812	1948	1310	638	730	0	0	730
AF	0	0.078261	1723	1184	539	702	0	0	702
AF	0	0.079710	1683	1184	499	691	0	0	691
AF	0	0.081159	1811	1248	563	660	0	0	660
AF	0	0.082609	1691	1178	513	714	0	0	714
AF	0	0.084058	1738	1150	588	676	0	0	676
AF	0	0.085507	1605	1117	488	669	0	0	669
AF	0	0.086957	1633	1111	522	616	0	0	616
AF	0	0.088406	1553	1070	483	658	0	0	658
AF	0	0.089855	1467	1009	458	585	0	0	585
AF	0	0.091304	1341	905	436	606	0	0	606
AF	0	0.092754	1383	950	433	563	0	0	563
AF	0	0.094203	1392	955	437	540	0	0	540
AF	0	0.095652	1442	1027	415	594	0	0	594
AF	0	0.097101	1359	928	431	597	0	0	597
AF	0	0.098551	1438	1010	428	513	0	0	513
AF	0	0.100000	1328	885	443	494	0	0	494
AF	0	0.101449	1387	976	411	553	0	0	553
AF	0	0.102899	1329	915	414	504	0	0	504
AF	0	0.104348	1457	988	469	566	0	0	566
AF	0	0.105797	1346	943	403	503	0	0	503
AF	0	0.107246	1144	791	353	466	0	0	466
AF	0	0.108696	1293	915	378	479	0	0	479
AF	0	0.110145	1361	931	430	486	0	0	486
AF	0	0.111594	1235	874	361	498	0	0	498
AF	0	0.113043	1163	801	362	457	0	0	457
AF	0	0.114493	1253	845	408	507	0	0	507
AF	0	0.115942	1257	859	398	469	0	0	469
AF	0	0.117391	983	675	308	448	0	0	448
AF	0	0.118841	1106	782	324	471	0	0	471
AF	0	0.120290	1133	814	319	433	0	0	433
AF	0	0.121739	1055	733	322	471	0	0	471
AF	0	0.123188	977	667	310	393	0	0	393
AF	0	0.124638	947	671	276	388	0	0	388
AF	0	0.126087	953	647	306	421	0	0	421
AF	0	0.127536	1033	696	337	420	0	0	420
AF	0	0.128986	940	663	277	407	0	0	407
AF	0	0.130435	993	691	302	387	0	0	387
AF	0	0.131884	1000	678	322	362	0	0	362
AF	0	0.133333	954	653	301	397	0	0	397
AF	0	0.134783	1002	680	322	385	0	0	385
AF	0	0.136232	939	653	286	380	0	0	380
AF	0	0.137681	926	629	297	345	0	0	345
AF	0	0.139130	1001	676	325	391	0	0	391
AF	0	0.140580	865	586	279	371	0	0	371
AF	0	0.142029	811	581	230	368	0	0	368
AF	0	0.143478	855	566	289	372	0	0	372
AF	0	0.144928	927	626	301	363	0	0	363
AF	0	0.146377	931	658	273	321	0	0	321
AF	0	0.147826	905	619	286	328	0	0	328
AF	0	0.149275	780	546	234	340	0	0	340
AF	0	0.150725	718	497	221	332	0	0	332
AF	0	0.152174	692	447	245	325	0	0	325
AF	0	0.153623	805	557	248	336	0	0	336
AF	0	0.155072	763	519	244	330	0	0	330
AF	0	0.156522	768	530	238	346	0	0	346
AF	0	0.157971	654	501	153	308	0	0	308
AF	0	0.159420	778	526	252	325	0	0	325
AF	0	0.160870	860	588	272	319	0	0	319
AF	0	0.162319	826	547	279	318	0	0	318
AF	0	0.163768	820	590	230	280	0	0	280
AF	0	0.165217	802	551	251	284	0	0	284
AF	0	0.166667	818	556	262	294	0	0	294
AF	0	0.168116	746	507	239	267	0	0	267
AF	0	0.169565	678	466	212	290	0	0	290
AF	0	0.171014	841	569	272	335	0	0	335
AF	0	0.172464	677	466	211	270	0	0	270
AF	0	0.173913	651	455	196	292	0	0	292
AF	0	0.175362	788	541	247	262	0	0	262
AF	0	0.176812	746	513	233	278	0	0	278
AF	0	0.178261	746	503	243	289	0	0	289
AF	0	0.179710	660	437	223	286	0	0	286
AF	0	0.181159	715	496	219	283	0	0	283
AF	0	0.182609	657	442	215	234	0	0	234
AF	0	0.184058	665	466	199	241	0	0	241
AF	0	0.185507	665	467	198	272	0	0	272
AF	0	0.186957	655	450	205	230	0	0	230
AF	0	0.188406	555	367	188	280	0	0	280
AF	0	0.189855	517	370	147	215	0	0	215
AF	0	0.191304	518	363	155	231	0	0	231
AF	0	0.192754	601	406	195	257	0	0	257
AF	0	0.194203	582	398	184	224	0	0	224
