# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  -v --samples-file /cromwell_root/fc-47de7dae-e8e6-429c-b760-b4ba49136eee/resources/1kgp/PUR.txt /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/7a95379d-1a25-4b3c-a3b0-3f63adca52ea/subset_vcf_sample_list/4909d70b-5d99-4a40-8498-049bc42557b2/call-bgzip_bcftools_index/1kgp.chr21.recalibrated.snp_indel.pass.singleton.PUR_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/7a95379d-1a25-4b3c-a3b0-3f63adca52ea/subset_vcf_sample_list/4909d70b-5d99-4a40-8498-049bc42557b2/call-bgzip_bcftools_index/1kgp.chr21.recalibrated.snp_indel.pass.singleton.PUR_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	104
SN	0	number of records:	1651807
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	1510067
SN	0	number of MNPs:	0
SN	0	number of indels:	162656
SN	0	number of others:	30398
SN	0	number of multiallelic sites:	165506
SN	0	number of multiallelic SNP sites:	101188
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	1004927	547865	1.83	958349	495354	1.93
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	91333	59730	31603	17537	0	0	17537
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	1370928	886147	484781	178264	0	0	178264
AF	0	0.009615	35775	22975	12800	9239	0	0	9239
AF	0	0.019231	17334	11175	6159	5170	0	0	5170
AF	0	0.028846	11172	7275	3897	3389	0	0	3389
AF	0	0.038462	7849	5083	2766	2513	0	0	2513
AF	0	0.048077	5715	3745	1970	1968	0	0	1968
AF	0	0.057692	4951	3256	1695	1599	0	0	1599
AF	0	0.067308	4062	2593	1469	1365	0	0	1365
AF	0	0.076923	4000	2662	1338	1318	0	0	1318
AF	0	0.086538	3319	2163	1156	1096	0	0	1096
AF	0	0.096154	3010	1968	1042	951	0	0	951
AF	0	0.105769	3064	1985	1079	966	0	0	966
AF	0	0.115385	2793	1840	953	796	0	0	796
AF	0	0.125000	2597	1743	854	789	0	0	789
AF	0	0.134615	2415	1611	804	763	0	0	763
AF	0	0.144231	2288	1524	764	691	0	0	691
AF	0	0.153846	1900	1219	681	605	0	0	605
AF	0	0.163462	1780	1174	606	525	0	0	525
AF	0	0.173077	1766	1129	637	543	0	0	543
AF	0	0.182692	1902	1265	637	530	0	0	530
AF	0	0.192308	1664	1096	568	505	0	0	505
AF	0	0.201923	1767	1132	635	494	0	0	494
AF	0	0.211538	1695	1139	556	437	0	0	437
AF	0	0.221154	1751	1133	618	482	0	0	482
AF	0	0.230769	1594	1054	540	388	0	0	388
AF	0	0.240385	1457	954	503	388	0	0	388
AF	0	0.250000	1371	914	457	358	0	0	358
AF	0	0.259615	1361	888	473	381	0	0	381
AF	0	0.269231	1374	889	485	323	0	0	323
AF	0	0.278846	1243	811	432	313	0	0	313
AF	0	0.288462	1304	857	447	311	0	0	311
AF	0	0.298077	1301	850	451	331	0	0	331
AF	0	0.307692	1162	751	411	295	0	0	295
AF	0	0.317308	1188	778	410	278	0	0	278
AF	0	0.326923	1261	821	440	245	0	0	245
AF	0	0.336538	1174	799	375	274	0	0	274
AF	0	0.346154	1150	717	433	266	0	0	266
AF	0	0.355769	1289	838	451	270	0	0	270
AF	0	0.365385	1057	699	358	242	0	0	242
AF	0	0.375000	1049	675	374	235	0	0	235
AF	0	0.384615	1185	760	425	246	0	0	246
AF	0	0.394231	1462	928	534	267	0	0	267
