# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/b14e0395-8e39-458e-a5bf-709b72022f9c/subset_vcf_sample_list/77a6b339-0400-4833-aeef-47234a163ee4/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr1.recalibrated_variants.pass.singleton.SAS_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/b14e0395-8e39-458e-a5bf-709b72022f9c/subset_vcf_sample_list/77a6b339-0400-4833-aeef-47234a163ee4/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr1.recalibrated_variants.pass.singleton.SAS_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	516
SN	0	number of records:	9076338
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	8446787
SN	0	number of MNPs:	0
SN	0	number of indels:	729232
SN	0	number of others:	133690
SN	0	number of multiallelic sites:	610843
SN	0	number of multiallelic SNP sites:	269951
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	5693682	2943296	1.93	5572083	2788352	2.00
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	1148558	758760	389798	123031	0	0	123031
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	7368922	4873317	2495605	714003	0	0	714003
AF	0	0.001938	236872	149096	87776	59821	0	0	59821
AF	0	0.003876	109979	68868	41111	31963	0	0	31963
AF	0	0.005814	66351	41390	24961	21550	0	0	21550
AF	0	0.007752	47198	29636	17562	16243	0	0	16243
AF	0	0.009690	34677	21745	12932	12573	0	0	12573
AF	0	0.011628	27933	17488	10445	10270	0	0	10270
AF	0	0.013566	22891	14375	8516	8641	0	0	8641
AF	0	0.015504	19978	12777	7201	7785	0	0	7785
AF	0	0.017442	16598	10486	6112	6780	0	0	6780
AF	0	0.019380	13884	8682	5202	5993	0	0	5993
AF	0	0.021318	13210	8365	4845	5521	0	0	5521
AF	0	0.023256	11738	7457	4281	4910	0	0	4910
AF	0	0.025194	10962	6906	4056	4557	0	0	4557
AF	0	0.027132	10190	6494	3696	4184	0	0	4184
AF	0	0.029070	9055	5762	3293	3954	0	0	3954
AF	0	0.031008	8797	5641	3156	3790	0	0	3790
AF	0	0.032946	8310	5324	2986	3476	0	0	3476
AF	0	0.034884	6807	4319	2488	3096	0	0	3096
AF	0	0.036822	7045	4476	2569	3068	0	0	3068
AF	0	0.038760	7091	4573	2518	2974	0	0	2974
AF	0	0.040698	6749	4324	2425	2800	0	0	2800
AF	0	0.042636	6425	4195	2230	2666	0	0	2666
AF	0	0.044574	5745	3711	2034	2461	0	0	2461
AF	0	0.046512	5695	3604	2091	2297	0	0	2297
AF	0	0.048450	5493	3613	1880	2318	0	0	2318
AF	0	0.050388	5419	3548	1871	2186	0	0	2186
AF	0	0.052326	5211	3296	1915	2213	0	0	2213
AF	0	0.054264	5067	3330	1737	1990	0	0	1990
AF	0	0.056202	4638	3035	1603	1960	0	0	1960
AF	0	0.058140	4600	2975	1625	1819	0	0	1819
AF	0	0.060078	4604	2996	1608	1897	0	0	1897
AF	0	0.062016	4924	3223	1701	1861	0	0	1861
AF	0	0.063953	4490	2944	1546	1815	0	0	1815
AF	0	0.065891	4500	2935	1565	1789	0	0	1789
