# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  -v --samples-file /cromwell_root/fc-47de7dae-e8e6-429c-b760-b4ba49136eee/resources/1kgp/GIH.txt /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/d5829987-af89-4141-a38b-c8dc637af2d6/subset_vcf_sample_list/c3f42eaf-0489-4ebd-aa64-f4271a6c8b97/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr22.recalibrated_variants.pass.singleton.GIH_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/d5829987-af89-4141-a38b-c8dc637af2d6/subset_vcf_sample_list/c3f42eaf-0489-4ebd-aa64-f4271a6c8b97/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr22.recalibrated_variants.pass.singleton.GIH_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	103
SN	0	number of records:	1668610
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	1546703
SN	0	number of MNPs:	0
SN	0	number of indels:	145248
SN	0	number of others:	36962
SN	0	number of multiallelic sites:	140746
SN	0	number of multiallelic SNP sites:	62256
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	1074232	514639	2.09	1045261	479801	2.18
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	68299	46030	22269	14651	0	0	14651
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	1428215	965758	462457	169363	0	0	169363
AF	0	0.009709	22085	14526	7559	8378	0	0	8378
AF	0	0.019417	12638	8405	4233	4843	0	0	4843
AF	0	0.029126	8417	5577	2840	3513	0	0	3513
AF	0	0.038835	6251	4199	2052	2516	0	0	2516
AF	0	0.048544	4974	3353	1621	2107	0	0	2107
AF	0	0.058252	4778	3201	1577	1780	0	0	1780
AF	0	0.067961	4328	2876	1452	1432	0	0	1432
AF	0	0.077670	3730	2541	1189	1329	0	0	1329
AF	0	0.087379	3316	2262	1054	1240	0	0	1240
AF	0	0.097087	2984	2003	981	1092	0	0	1092
AF	0	0.106796	2900	1979	921	1011	0	0	1011
AF	0	0.116505	2415	1640	775	820	0	0	820
AF	0	0.126214	2450	1637	813	847	0	0	847
AF	0	0.135922	2408	1634	774	840	0	0	840
AF	0	0.145631	2261	1548	713	784	0	0	784
AF	0	0.155340	2004	1381	623	683	0	0	683
AF	0	0.165049	1975	1323	652	665	0	0	665
AF	0	0.174757	2181	1516	665	675	0	0	675
AF	0	0.184466	1721	1169	552	602	0	0	602
AF	0	0.194175	1713	1182	531	590	0	0	590
AF	0	0.203883	1614	1102	512	557	0	0	557
AF	0	0.213592	1863	1264	599	579	0	0	579
AF	0	0.223301	1840	1241	599	580	0	0	580
AF	0	0.233010	1831	1257	574	577	0	0	577
AF	0	0.242718	1507	1020	487	514	0	0	514
AF	0	0.252427	1624	1109	515	509	0	0	509
AF	0	0.262136	1393	962	431	441	0	0	441
AF	0	0.271845	1386	958	428	394	0	0	394
AF	0	0.281553	1274	869	405	412	0	0	412
AF	0	0.291262	1290	871	419	395	0	0	395
AF	0	0.300971	1285	901	384	335	0	0	335
AF	0	0.310680	1497	1016	481	386	0	0	386
AF	0	0.320388	1134	772	362	365	0	0	365
AF	0	0.330097	1160	794	366	357	0	0	357
AF	0	0.339806	1127	792	335	355	0	0	355
AF	0	0.349515	1184	820	364	345	0	0	345
AF	0	0.359223	1513	1005	508	328	0	0	328
AF	0	0.368932	1256	846	410	337	0	0	337
AF	0	0.378641	1103	728	375	298	0	0	298
AF	0	0.388350	1262	842	420	301	0	0	301
AF	0	0.398058	1008	710	298	287	0	0	287
AF	0	0.407767	1027	695	332	231	0	0	231
AF	0	0.417476	982	651	331	240	0	0	240
