# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  -v --samples-file /cromwell_root/fc-47de7dae-e8e6-429c-b760-b4ba49136eee/resources/1kgp/GBR.txt /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/ec959577-dbf5-4de3-842a-f484710c028e/subset_vcf_sample_list/531e20e3-cf75-4427-a419-e5d618bbf607/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr21.recalibrated_variants.pass.singleton.GBR_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/ec959577-dbf5-4de3-842a-f484710c028e/subset_vcf_sample_list/531e20e3-cf75-4427-a419-e5d618bbf607/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr21.recalibrated_variants.pass.singleton.GBR_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	91
SN	0	number of records:	1573838
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	1460055
SN	0	number of MNPs:	0
SN	0	number of indels:	133006
SN	0	number of others:	30423
SN	0	number of multiallelic sites:	117612
SN	0	number of multiallelic SNP sites:	51605
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	984594	508719	1.94	961395	481474	2.00
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	52516	34803	17713	12144	0	0	12144
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	1340418	883000	457418	151156	0	0	151156
AF	0	0.010000	24732	16359	8373	8248	0	0	8248
AF	0	0.020000	12734	8329	4405	4513	0	0	4513
AF	0	0.030000	7380	4846	2534	2995	0	0	2995
AF	0	0.040000	6439	4316	2123	2267	0	0	2267
AF	0	0.050000	4818	3223	1595	1832	0	0	1832
AF	0	0.060000	2776	1839	937	1129	0	0	1129
AF	0	0.070000	3958	2617	1341	1479	0	0	1479
AF	0	0.080000	3455	2351	1104	1292	0	0	1292
AF	0	0.090000	3600	2381	1219	1208	0	0	1208
AF	0	0.100000	3245	2129	1116	1095	0	0	1095
AF	0	0.110000	2817	1910	907	952	0	0	952
AF	0	0.120000	1221	826	395	479	0	0	479
AF	0	0.130000	2611	1770	841	832	0	0	832
AF	0	0.140000	2036	1365	671	747	0	0	747
AF	0	0.150000	1681	1145	536	648	0	0	648
AF	0	0.160000	2186	1438	748	631	0	0	631
AF	0	0.170000	1799	1187	612	564	0	0	564
AF	0	0.180000	850	531	319	308	0	0	308
AF	0	0.190000	2168	1430	738	604	0	0	604
AF	0	0.200000	1831	1204	627	527	0	0	527
AF	0	0.210000	1653	1067	586	513	0	0	513
AF	0	0.220000	1458	960	498	429	0	0	429
AF	0	0.230000	1482	977	505	450	0	0	450
AF	0	0.240000	819	530	289	244	0	0	244
AF	0	0.250000	1438	956	482	373	0	0	373
AF	0	0.260000	1478	1021	457	409	0	0	409
AF	0	0.270000	1355	917	438	388	0	0	388
AF	0	0.280000	1461	963	498	414	0	0	414
AF	0	0.290000	1183	772	411	363	0	0	363
AF	0	0.300000	573	387	186	193	0	0	193
AF	0	0.310000	1169	778	391	306	0	0	306
AF	0	0.320000	1285	864	421	339	0	0	339
AF	0	0.330000	1155	767	388	338	0	0	338
AF	0	0.340000	1390	930	460	311	0	0	311
AF	0	0.350000	1343	894	449	338	0	0	338
AF	0	0.360000	1316	862	454	314	0	0	314
AF	0	0.370000	673	464	209	177	0	0	177
AF	0	0.380000	1072	702	370	272	0	0	272
AF	0	0.390000	1007	661	346	253	0	0	253
AF	0	0.400000	909	632	277	254	0	0	254
AF	0	0.410000	903	595	308	256	0	0	256
AF	0	0.420000	885	593	292	266	0	0	266
