# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  -v --samples-file /cromwell_root/fc-47de7dae-e8e6-429c-b760-b4ba49136eee/resources/1kgp/CHB.txt /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/b08e8851-8e72-4a99-984e-0504c4adab40/subset_vcf_sample_list/bdfb1582-a74c-467d-9922-9d392cfbe4f5/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr21.recalibrated_variants.pass.singleton.CHB_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/b08e8851-8e72-4a99-984e-0504c4adab40/subset_vcf_sample_list/bdfb1582-a74c-467d-9922-9d392cfbe4f5/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr21.recalibrated_variants.pass.singleton.CHB_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	103
SN	0	number of records:	1573838
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	1460055
SN	0	number of MNPs:	0
SN	0	number of indels:	133006
SN	0	number of others:	30423
SN	0	number of multiallelic sites:	117612
SN	0	number of multiallelic SNP sites:	51605
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	984594	508719	1.94	961395	481474	2.00
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	69856	46389	23467	13863	0	0	13863
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	1363164	898774	464390	156254	0	0	156254
AF	0	0.009709	14220	9056	5164	6205	0	0	6205
AF	0	0.019417	6940	4460	2480	3338	0	0	3338
AF	0	0.029126	5492	3565	1927	2474	0	0	2474
AF	0	0.038835	4296	2800	1496	1889	0	0	1889
AF	0	0.048544	3262	2099	1163	1471	0	0	1471
AF	0	0.058252	3778	2456	1322	1381	0	0	1381
AF	0	0.067961	3154	2092	1062	1160	0	0	1160
AF	0	0.077670	2662	1767	895	956	0	0	956
AF	0	0.087379	2935	1929	1006	975	0	0	975
AF	0	0.097087	2348	1536	812	830	0	0	830
AF	0	0.106796	2106	1430	676	743	0	0	743
AF	0	0.116505	2281	1536	745	738	0	0	738
AF	0	0.126214	2001	1323	678	611	0	0	611
AF	0	0.135922	2062	1351	711	653	0	0	653
AF	0	0.145631	2075	1355	720	623	0	0	623
AF	0	0.155340	1666	1129	537	531	0	0	531
AF	0	0.165049	1717	1149	568	513	0	0	513
AF	0	0.174757	1499	999	500	485	0	0	485
AF	0	0.184466	1379	930	449	494	0	0	494
AF	0	0.194175	1338	883	455	465	0	0	465
AF	0	0.203883	1503	961	542	423	0	0	423
AF	0	0.213592	1753	1189	564	460	0	0	460
AF	0	0.223301	1284	843	441	411	0	0	411
AF	0	0.233010	1001	665	336	351	0	0	351
AF	0	0.242718	1179	778	401	364	0	0	364
AF	0	0.252427	1335	899	436	340	0	0	340
AF	0	0.262136	1244	840	404	352	0	0	352
AF	0	0.271845	1147	774	373	327	0	0	327
AF	0	0.281553	1315	874	441	341	0	0	341
AF	0	0.291262	1308	836	472	357	0	0	357
AF	0	0.300971	1212	825	387	303	0	0	303
AF	0	0.310680	829	555	274	283	0	0	283
AF	0	0.320388	1071	724	347	306	0	0	306
AF	0	0.330097	1120	744	376	282	0	0	282
AF	0	0.339806	1182	809	373	284	0	0	284
AF	0	0.349515	1295	817	478	294	0	0	294
AF	0	0.359223	859	551	308	270	0	0	270
AF	0	0.368932	914	608	306	269	0	0	269
AF	0	0.378641	1013	669	344	296	0	0	296
AF	0	0.388350	1072	707	365	254	0	0	254
