# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  -v --samples-file /cromwell_root/fc-47de7dae-e8e6-429c-b760-b4ba49136eee/resources/1kgp/CLM.txt /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/68082484-2cbc-43c7-abe0-e0050c6f7f10/subset_vcf_sample_list/826376cc-b025-4e6c-afee-689f0caeeaac/call-bgzip_bcftools_index/1kgp.chr7.recalibrated.snp_indel.pass.singleton.CLM_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/68082484-2cbc-43c7-abe0-e0050c6f7f10/subset_vcf_sample_list/826376cc-b025-4e6c-afee-689f0caeeaac/call-bgzip_bcftools_index/1kgp.chr7.recalibrated.snp_indel.pass.singleton.CLM_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	97
SN	0	number of records:	6617319
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	6038991
SN	0	number of MNPs:	0
SN	0	number of indels:	650699
SN	0	number of others:	91874
SN	0	number of multiallelic sites:	483096
SN	0	number of multiallelic SNP sites:	255164
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	4027306	2129495	1.89	3899678	1994325	1.96
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	358556	236601	121955	71089	0	0	71089
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	5472117	3571287	1900830	711752	0	0	711752
AF	0	0.010000	177823	117316	60507	46809	0	0	46809
AF	0	0.020000	57724	38097	19627	19701	0	0	19701
AF	0	0.030000	34462	22798	11664	12473	0	0	12473
AF	0	0.040000	24489	16272	8217	9204	0	0	9204
AF	0	0.050000	21240	14115	7125	7832	0	0	7832
AF	0	0.060000	17132	11415	5717	6265	0	0	6265
AF	0	0.070000	15472	10213	5259	5666	0	0	5666
AF	0	0.080000	14224	9404	4820	4815	0	0	4815
AF	0	0.090000	12756	8520	4236	4394	0	0	4394
AF	0	0.100000	11027	7374	3653	3813	0	0	3813
AF	0	0.110000	10174	6780	3394	3607	0	0	3607
AF	0	0.120000	9889	6619	3270	3291	0	0	3291
AF	0	0.130000	8847	5830	3017	3174	0	0	3174
AF	0	0.140000	7899	5281	2618	2661	0	0	2661
AF	0	0.150000	9319	6219	3100	2774	0	0	2774
AF	0	0.160000	8600	5741	2859	2596	0	0	2596
AF	0	0.170000	7603	5077	2526	2495	0	0	2495
AF	0	0.180000	6969	4684	2285	2287	0	0	2287
AF	0	0.190000	6827	4629	2198	2145	0	0	2145
AF	0	0.200000	6606	4412	2194	1997	0	0	1997
AF	0	0.210000	6521	4312	2209	1910	0	0	1910
AF	0	0.220000	5774	3846	1928	1939	0	0	1939
AF	0	0.230000	5572	3742	1830	1704	0	0	1704
AF	0	0.240000	2962	2048	914	890	0	0	890
AF	0	0.250000	5828	3971	1857	1519	0	0	1519
AF	0	0.260000	5841	3906	1935	1517	0	0	1517
AF	0	0.270000	5416	3626	1790	1512	0	0	1512
AF	0	0.280000	5668	3782	1886	1546	0	0	1546
AF	0	0.290000	5009	3374	1635	1401	0	0	1401
AF	0	0.300000	4611	3143	1468	1294	0	0	1294
AF	0	0.310000	4319	2899	1420	1225	0	0	1225
AF	0	0.320000	4933	3307	1626	1284	0	0	1284
AF	0	0.330000	4069	2727	1342	1170	0	0	1170
AF	0	0.340000	3988	2679	1309	1148	0	0	1148
