# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  -v --samples-file /cromwell_root/fc-47de7dae-e8e6-429c-b760-b4ba49136eee/resources/1kgp/MSL.txt /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/42b5001a-e0d8-47de-aa95-21b8a58b5bf3/subset_vcf_sample_list/f824ffd6-a61e-47ee-92a0-5daa90a71465/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr5.recalibrated_variants.pass.singleton.MSL_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/42b5001a-e0d8-47de-aa95-21b8a58b5bf3/subset_vcf_sample_list/f824ffd6-a61e-47ee-92a0-5daa90a71465/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr5.recalibrated_variants.pass.singleton.MSL_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	88
SN	0	number of records:	7243081
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	6751952
SN	0	number of MNPs:	0
SN	0	number of indels:	564578
SN	0	number of others:	99104
SN	0	number of multiallelic sites:	438963
SN	0	number of multiallelic SNP sites:	186747
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	4487345	2385196	1.88	4402650	2283682	1.93
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	377314	248155	129159	69373	0	0	69373
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	5761634	3751143	2010491	538287	0	0	538287
AF	0	0.010000	255963	168608	87355	61634	0	0	61634
AF	0	0.020000	128905	85648	43257	35398	0	0	35398
AF	0	0.030000	85699	56996	28703	24480	0	0	24480
AF	0	0.040000	33606	22035	11571	11937	0	0	11937
AF	0	0.050000	54187	36061	18126	16848	0	0	16848
AF	0	0.060000	43693	28970	14723	13977	0	0	13977
AF	0	0.070000	35918	23886	12032	11679	0	0	11679
AF	0	0.080000	16037	10632	5405	5916	0	0	5916
AF	0	0.090000	27597	18243	9354	9372	0	0	9372
AF	0	0.100000	23135	15505	7630	8116	0	0	8116
AF	0	0.110000	21556	14432	7124	7122	0	0	7122
AF	0	0.120000	18588	12398	6190	6501	0	0	6501
AF	0	0.130000	9069	5939	3130	3652	0	0	3652
AF	0	0.140000	15845	10434	5411	5546	0	0	5546
AF	0	0.150000	14554	9669	4885	5062	0	0	5062
AF	0	0.160000	14058	9188	4870	4412	0	0	4412
AF	0	0.170000	6594	4344	2250	2630	0	0	2630
AF	0	0.180000	11944	7853	4091	4088	0	0	4088
AF	0	0.190000	11588	7811	3777	3837	0	0	3837
AF	0	0.200000	10369	6893	3476	3485	0	0	3485
AF	0	0.210000	9891	6558	3333	3233	0	0	3233
AF	0	0.220000	4850	3175	1675	1736	0	0	1736
AF	0	0.230000	9045	5945	3100	2924	0	0	2924
AF	0	0.240000	8196	5398	2798	2565	0	0	2565
AF	0	0.250000	7620	5015	2605	2460	0	0	2460
AF	0	0.260000	3844	2531	1313	1390	0	0	1390
AF	0	0.270000	7290	4846	2444	2320	0	0	2320
AF	0	0.280000	6992	4563	2429	2153	0	0	2153
AF	0	0.290000	6136	4088	2048	2070	0	0	2070
AF	0	0.300000	6238	4176	2062	1898	0	0	1898
AF	0	0.310000	3276	2152	1124	1081	0	0	1081
AF	0	0.320000	5770	3845	1925	1739	0	0	1739
AF	0	0.330000	5711	3780	1931	1704	0	0	1704
AF	0	0.340000	5966	3917	2049	1592	0	0	1592
AF	0	0.350000	2584	1711	873	808	0	0	808
AF	0	0.360000	5149	3390	1759	1484	0	0	1484
