# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  -v --samples-file /cromwell_root/fc-47de7dae-e8e6-429c-b760-b4ba49136eee/resources/1kgp/PEL.txt /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/3e31f477-3141-4582-baf5-f019d91c751d/subset_vcf_sample_list/9578fd2d-484b-459c-87b2-7f1655c4453e/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr14.recalibrated_variants.pass.singleton.PEL_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/3e31f477-3141-4582-baf5-f019d91c751d/subset_vcf_sample_list/9578fd2d-484b-459c-87b2-7f1655c4453e/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr14.recalibrated_variants.pass.singleton.PEL_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	87
SN	0	number of records:	3639764
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	3386196
SN	0	number of MNPs:	0
SN	0	number of indels:	295650
SN	0	number of others:	57226
SN	0	number of multiallelic sites:	242599
SN	0	number of multiallelic SNP sites:	103742
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	2288054	1174485	1.95	2238087	1110722	2.01
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	196231	131709	64522	41273	0	0	41273
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	3150477	2079617	1070860	346067	0	0	346067
AF	0	0.010000	65021	42998	22023	24177	0	0	24177
AF	0	0.020000	23283	15449	7834	10310	0	0	10310
AF	0	0.030000	13757	9120	4637	6028	0	0	6028
AF	0	0.040000	5812	3822	1990	2979	0	0	2979
AF	0	0.050000	9016	5864	3152	3917	0	0	3917
AF	0	0.060000	8635	5771	2864	3289	0	0	3289
AF	0	0.070000	7105	4774	2331	2673	0	0	2673
AF	0	0.080000	3416	2297	1119	1498	0	0	1498
AF	0	0.090000	5993	4047	1946	2198	0	0	2198
AF	0	0.100000	5316	3573	1743	1932	0	0	1932
AF	0	0.110000	4668	3112	1556	1715	0	0	1715
AF	0	0.120000	2540	1709	831	1114	0	0	1114
AF	0	0.130000	4590	3084	1506	1630	0	0	1630
AF	0	0.140000	4143	2751	1392	1507	0	0	1507
AF	0	0.150000	3874	2600	1274	1385	0	0	1385
AF	0	0.160000	1783	1200	583	752	0	0	752
AF	0	0.170000	3695	2501	1194	1231	0	0	1231
AF	0	0.180000	4063	2773	1290	1246	0	0	1246
AF	0	0.190000	3242	2157	1085	1071	0	0	1071
AF	0	0.200000	1962	1293	669	689	0	0	689
AF	0	0.210000	3522	2346	1176	1100	0	0	1100
AF	0	0.220000	2985	1991	994	1009	0	0	1009
AF	0	0.230000	3108	2103	1005	1045	0	0	1045
AF	0	0.240000	1424	940	484	544	0	0	544
AF	0	0.250000	2644	1753	891	858	0	0	858
AF	0	0.260000	2543	1727	816	827	0	0	827
AF	0	0.270000	2806	1853	953	856	0	0	856
AF	0	0.280000	1376	920	456	452	0	0	452
AF	0	0.290000	2599	1711	888	819	0	0	819
AF	0	0.300000	2600	1779	821	788	0	0	788
AF	0	0.310000	2463	1651	812	745	0	0	745
AF	0	0.320000	1234	820	414	401	0	0	401
AF	0	0.330000	2536	1715	821	817	0	0	817
AF	0	0.340000	2456	1687	769	789	0	0	789
AF	0	0.350000	2772	1884	888	648	0	0	648
AF	0	0.360000	2475	1661	814	715	0	0	715
AF	0	0.370000	1081	715	366	343	0	0	343
AF	0	0.380000	2082	1403	679	607	0	0	607
AF	0	0.390000	2207	1477	730	640	0	0	640
AF	0	0.400000	2271	1568	703	647	0	0	647
AF	0	0.410000	1168	780	388	302	0	0	302
AF	0	0.420000	2228	1496	732	589	0	0	589
AF	0	0.430000	1992	1364	628	562	0	0	562
AF	0	0.440000	1965	1346	619	531	0	0	531
AF	0	0.450000	1028	667	361	312	0	0	312
AF	0	0.460000	2295	1552	743	541	0	0	541
AF	0	0.470000	2735	1834	901	607	0	0	607
AF	0	0.480000	1661	1129	532	432	0	0	432
AF	0	0.490000	955	641	314	219	0	0	219
AF	0	0.500000	1761	1160	601	500	0	0	500
AF	0	0.510000	1570	1045	525	434	0	0	434
AF	0	0.520000	1747	1170	577	421	0	0	421
AF	0	0.530000	706	469	237	211	0	0	211
AF	0	0.540000	1396	946	450	400	0	0	400
AF	0	0.550000	1668	1140	528	433	0	0	433
AF	0	0.560000	2028	1339	689	470	0	0	470
AF	0	0.570000	824	547	277	209	0	0	209
AF	0	0.580000	1631	1126	505	401	0	0	401
AF	0	0.590000	1548	1043	505	375	0	0	375
AF	0	0.600000	1420	951	469	341	0	0	341
AF	0	0.610000	714	483	231	180	0	0	180
AF	0	0.620000	1423	935	488	384	0	0	384
AF	0	0.630000	1718	1131	587	378	0	0	378
AF	0	0.640000	1379	931	448	331	0	0	331
AF	0	0.650000	822	558	264	210	0	0	210
AF	0	0.660000	1245	825	420	282	0	0	282
AF	0	0.670000	1455	990	465	326	0	0	326
AF	0	0.680000	1196	778	418	316	0	0	316
AF	0	0.690000	1196	818	378	290	0	0	290
AF	0	0.700000	668	464	204	168	0	0	168
AF	0	0.710000	1294	890	404	312	0	0	312
AF	0	0.720000	1226	825	401	270	0	0	270
AF	0	0.730000	1274	858	416	281	0	0	281
AF	0	0.740000	649	468	181	147	0	0	147
AF	0	0.750000	1086	745	341	242	0	0	242
AF	0	0.760000	1141	774	367	221	0	0	221
AF	0	0.770000	1282	845	437	243	0	0	243
AF	0	0.780000	689	455	234	138	0	0	138
AF	0	0.790000	1157	760	397	236	0	0	236
AF	0	0.800000	1027	692	335	211	0	0	211
AF	0	0.810000	790	526	264	173	0	0	173
AF	0	0.820000	498	340	158	101	0	0	101
AF	0	0.830000	1041	725	316	206	0	0	206
AF	0	0.840000	1168	797	371	246	0	0	246
AF	0	0.850000	1208	829	379	225	0	0	225
AF	0	0.860000	578	385	193	96	0	0	96
AF	0	0.870000	1148	768	380	216	0	0	216
