# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/4713d804-a408-419e-b112-cbfba89fddca/subset_vcf_sample_list/38b29f37-47f5-4580-8a94-b61285243fc8/call-bgzip_bcftools_index/attempt-2/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr20.recalibrated_variants.pass.singleton.AMR_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/4713d804-a408-419e-b112-cbfba89fddca/subset_vcf_sample_list/38b29f37-47f5-4580-8a94-b61285243fc8/call-bgzip_bcftools_index/attempt-2/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr20.recalibrated_variants.pass.singleton.AMR_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	353
SN	0	number of records:	2592958
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	2410060
SN	0	number of MNPs:	0
SN	0	number of indels:	212696
SN	0	number of others:	45525
SN	0	number of multiallelic sites:	183413
SN	0	number of multiallelic SNP sites:	78330
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	1648828	811909	2.03	1613104	769949	2.10
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	293109	198554	94555	39523	0	0	39523
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	2082575	1396740	685835	206044	0	0	206044
AF	0	0.002833	73623	48969	24654	20996	0	0	20996
AF	0	0.005666	36691	24407	12284	11660	0	0	11660
AF	0	0.008499	22410	14902	7508	7642	0	0	7642
AF	0	0.011331	15045	9897	5148	5507	0	0	5507
AF	0	0.014164	11385	7565	3820	4298	0	0	4298
AF	0	0.016997	8712	5705	3007	3363	0	0	3363
AF	0	0.019830	6877	4517	2360	2756	0	0	2756
AF	0	0.022663	5411	3533	1878	2424	0	0	2424
AF	0	0.025496	5579	3624	1955	2105	0	0	2105
AF	0	0.028329	4424	2903	1521	1862	0	0	1862
AF	0	0.031161	4469	2959	1510	1679	0	0	1679
AF	0	0.033994	3934	2628	1306	1620	0	0	1620
AF	0	0.036827	3456	2290	1166	1311	0	0	1311
AF	0	0.039660	3005	1962	1043	1178	0	0	1178
AF	0	0.042493	2924	1915	1009	1106	0	0	1106
AF	0	0.045326	2722	1835	887	1124	0	0	1124
AF	0	0.048159	2303	1545	758	984	0	0	984
AF	0	0.050992	2565	1710	855	973	0	0	973
AF	0	0.053824	2116	1410	706	875	0	0	875
AF	0	0.056657	1973	1326	647	839	0	0	839
AF	0	0.059490	1884	1260	624	769	0	0	769
AF	0	0.062323	1930	1281	649	835	0	0	835
AF	0	0.065156	2002	1342	660	682	0	0	682
AF	0	0.067989	1793	1163	630	698	0	0	698
AF	0	0.070822	1645	1077	568	640	0	0	640
AF	0	0.073654	1689	1128	561	606	0	0	606
AF	0	0.076487	1728	1165	563	654	0	0	654
AF	0	0.079320	1540	1011	529	626	0	0	626
AF	0	0.082153	1555	1051	504	581	0	0	581
AF	0	0.084986	1616	1069	547	533	0	0	533
AF	0	0.087819	1334	882	452	538	0	0	538
AF	0	0.090652	1337	906	431	523	0	0	523
AF	0	0.093484	1386	896	490	516	0	0	516
AF	0	0.096317	1379	933	446	511	0	0	511
AF	0	0.099150	1386	957	429	474	0	0	474
AF	0	0.101983	1226	819	407	438	0	0	438
