# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/7aff69cf-afcb-40a3-981a-f7ad1a9f1f19/subset_vcf_sample_list/48aa5ea5-ca6c-44f5-a430-ae87575b27f8/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr18.recalibrated_variants.pass.singleton.ITU_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/7aff69cf-afcb-40a3-981a-f7ad1a9f1f19/subset_vcf_sample_list/48aa5ea5-ca6c-44f5-a430-ae87575b27f8/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr18.recalibrated_variants.pass.singleton.ITU_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	104
SN	0	number of records:	3177919
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	2958813
SN	0	number of MNPs:	0
SN	0	number of indels:	252379
SN	0	number of others:	46539
SN	0	number of multiallelic sites:	209095
SN	0	number of multiallelic SNP sites:	95592
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	1969025	1056401	1.86	1926363	1003083	1.92
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	150305	97481	52824	26454	0	0	26454
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	2745178	1783296	961882	287373	0	0	287373
AF	0	0.009615	39323	25014	14309	13946	0	0	13946
AF	0	0.019231	20085	13041	7044	8037	0	0	8037
AF	0	0.028846	13808	9027	4781	5485	0	0	5485
AF	0	0.038462	10369	6841	3528	4280	0	0	4280
AF	0	0.048077	9181	6029	3152	3545	0	0	3545
AF	0	0.057692	7106	4663	2443	2940	0	0	2940
AF	0	0.067308	6963	4592	2371	2671	0	0	2671
AF	0	0.076923	6055	4037	2018	2344	0	0	2344
AF	0	0.086538	5271	3584	1687	2075	0	0	2075
AF	0	0.096154	5216	3467	1749	1767	0	0	1767
AF	0	0.105769	4883	3271	1612	1755	0	0	1755
AF	0	0.115385	4801	3200	1601	1659	0	0	1659
AF	0	0.125000	4552	3038	1514	1550	0	0	1550
AF	0	0.134615	4303	2830	1473	1453	0	0	1453
AF	0	0.144231	3769	2511	1258	1312	0	0	1312
AF	0	0.153846	3020	1997	1023	1154	0	0	1154
AF	0	0.163462	3061	2033	1028	1079	0	0	1079
AF	0	0.173077	3039	2023	1016	1090	0	0	1090
AF	0	0.182692	3220	2149	1071	1043	0	0	1043
AF	0	0.192308	2892	2009	883	992	0	0	992
AF	0	0.201923	2965	1992	973	988	0	0	988
AF	0	0.211538	2767	1871	896	840	0	0	840
AF	0	0.221154	2597	1733	864	832	0	0	832
AF	0	0.230769	2470	1656	814	824	0	0	824
AF	0	0.240385	2645	1791	854	790	0	0	790
AF	0	0.250000	2555	1727	828	761	0	0	761
AF	0	0.259615	2364	1610	754	749	0	0	749
AF	0	0.269231	2075	1390	685	711	0	0	711
AF	0	0.278846	2588	1696	892	670	0	0	670
AF	0	0.288462	2233	1516	717	599	0	0	599
AF	0	0.298077	2081	1425	656	618	0	0	618
AF	0	0.307692	1937	1288	649	619	0	0	619
AF	0	0.317308	2049	1351	698	562	0	0	562
AF	0	0.326923	2099	1397	702	599	0	0	599
AF	0	0.336538	1962	1323	639	584	0	0	584
AF	0	0.346154	2176	1447	729	595	0	0	595
AF	0	0.355769	1781	1204	577	452	0	0	452
AF	0	0.365385	1911	1270	641	532	0	0	532
AF	0	0.375000	1970	1316	654	522	0	0	522
AF	0	0.384615	1845	1266	579	496	0	0	496
AF	0	0.394231	1681	1117	564	465	0	0	465
AF	0	0.403846	1678	1108	570	458	0	0	458
AF	0	0.413462	1766	1210	556	467	0	0	467
AF	0	0.423077	1484	988	496	399	0	0	399
AF	0	0.432692	1476	965	511	350	0	0	350
AF	0	0.442308	1551	1076	475	392	0	0	392
AF	0	0.451923	1367	914	453	380	0	0	380
AF	0	0.461538	1411	897	514	395	0	0	395
AF	0	0.471154	1494	1035	459	424	0	0	424
AF	0	0.480769	1430	976	454	368	0	0	368
AF	0	0.490385	2144	1412	732	449	0	0	449
AF	0	0.500000	1238	825	413	333	0	0	333
AF	0	0.509615	1411	935	476	371	0	0	371
AF	0	0.519231	1419	949	470	316	0	0	316
AF	0	0.528846	1333	880	453	299	0	0	299
AF	0	0.538462	1202	804	398	263	0	0	263
AF	0	0.548077	1077	719	358	290	0	0	290
AF	0	0.557692	1213	822	391	275	0	0	275
AF	0	0.567308	1326	907	419	283	0	0	283
AF	0	0.576923	1347	920	427	262	0	0	262
AF	0	0.586538	1218	830	388	244	0	0	244
AF	0	0.596154	1012	669	343	241	0	0	241
AF	0	0.605769	1065	724	341	252	0	0	252
AF	0	0.615385	1134	780	354	217	0	0	217
AF	0	0.625000	1050	710	340	214	0	0	214
AF	0	0.634615	1045	687	358	215	0	0	215
AF	0	0.644231	1021	633	388	215	0	0	215
AF	0	0.653846	974	648	326	202	0	0	202
AF	0	0.663462	1010	674	336	211	0	0	211
AF	0	0.673077	1032	695	337	228	0	0	228
AF	0	0.682692	909	610	299	184	0	0	184
AF	0	0.692308	1050	719	331	224	0	0	224
AF	0	0.701923	947	625	322	216	0	0	216
AF	0	0.711538	958	657	301	207	0	0	207
AF	0	0.721154	1042	725	317	214	0	0	214
AF	0	0.730769	1052	730	322	195	0	0	195
AF	0	0.740385	900	617	283	172	0	0	172
AF	0	0.750000	950	641	309	212	0	0	212
AF	0	0.759615	973	670	303	177	0	0	177
AF	0	0.769231	752	505	247	155	0	0	155
AF	0	0.778846	771	535	236	143	0	0	143
AF	0	0.788462	751	519	232	148	0	0	148
AF	0	0.798077	873	594	279	167	0	0	167
AF	0	0.807692	764	523	241	167	0	0	167
AF	0	0.817308	675	451	224	143	0	0	143
AF	0	0.826923	646	430	216	133	0	0	133
AF	0	0.836538	779	528	251	159	0	0	159
AF	0	0.846154	704	484	220	132	0	0	132
AF	0	0.855769	765	537	228	116	0	0	116
AF	0	0.865385	594	403	191	111	0	0	111
AF	0	0.875000	726	491	235	117	0	0	117
AF	0	0.884615	588	400	188	112	0	0	112
AF	0	0.894231	787	517	270	120	0	0	120
AF	0	0.903846	634	439	195	122	0	0	122
AF	0	0.913462	785	534	251	125	0	0	125
AF	0	0.923077	827	547	280	138	0	0	138
AF	0	0.932692	647	461	186	100	0	0	100
AF	0	0.942308	606	401	205	129	0	0	129
AF	0	0.951923	729	496	233	139	0	0	139
AF	0	0.961538	764	512	252	147	0	0	147
AF	0	0.971154	850	567	283	148	0	0	148
AF	0	0.980769	1497	1022	475	304	0	0	304
AF	0	0.990385	8357	5705	2652	996	0	0	996
# QUAL, Stats by quality:
# QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	30	797	356	441	16
QUAL	0	31	1763	812	951	27
QUAL	0	32	1073	482	591	19
QUAL	0	33	797	360	437	19
QUAL	0	34	1609	750	859	37
QUAL	0	35	1109	522	587	22
QUAL	0	36	825	377	448	11
QUAL	0	37	1534	743	791	26
QUAL	0	38	1132	535	597	21
QUAL	0	39	842	372	470	20
QUAL	0	40	1423	667	756	33
QUAL	0	41	1187	558	629	30
QUAL	0	42	829	382	447	19
QUAL	0	43	1386	654	732	20
QUAL	0	44	1206	551	655	20
QUAL	0	45	785	357	428	25
QUAL	0	46	1325	609	716	23
QUAL	0	47	1188	559	629	24
QUAL	0	48	853	373	480	24
QUAL	0	49	1140	569	571	22
