# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/eada155b-f50d-4fe0-a789-18741315b7d3/subset_vcf_sample_list/e162cad6-09ff-4886-837c-3902fac5d776/call-bgzip_bcftools_index/1kgp.chr10.recalibrated.snp_indel.pass.singleton.AFR_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/eada155b-f50d-4fe0-a789-18741315b7d3/subset_vcf_sample_list/e162cad6-09ff-4886-837c-3902fac5d776/call-bgzip_bcftools_index/1kgp.chr10.recalibrated.snp_indel.pass.singleton.AFR_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	690
SN	0	number of records:	5529526
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	5033442
SN	0	number of MNPs:	0
SN	0	number of indels:	561090
SN	0	number of others:	85236
SN	0	number of multiallelic sites:	405378
SN	0	number of multiallelic SNP sites:	201278
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	3392908	1736579	1.95	3288974	1625706	2.02
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	905517	597967	307550	124308	0	0	124308
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	3887073	2563455	1323618	459880	0	0	459880
AF	0	0.001449	197733	130016	67717	45311	0	0	45311
AF	0	0.002899	98571	64591	33980	23689	0	0	23689
AF	0	0.004348	66248	43664	22584	16019	0	0	16019
AF	0	0.005797	49096	32478	16618	12115	0	0	12115
AF	0	0.007246	40694	26877	13817	9967	0	0	9967
AF	0	0.008696	34573	22864	11709	8537	0	0	8537
AF	0	0.010145	29170	19471	9699	7334	0	0	7334
AF	0	0.011594	25678	17165	8513	6519	0	0	6519
AF	0	0.013043	22726	15058	7668	5882	0	0	5882
AF	0	0.014493	20131	13392	6739	5260	0	0	5260
AF	0	0.015942	17101	11380	5721	4573	0	0	4573
AF	0	0.017391	16095	10744	5351	4324	0	0	4324
AF	0	0.018841	14532	9696	4836	4024	0	0	4024
AF	0	0.020290	13955	9275	4680	3686	0	0	3686
AF	0	0.021739	13121	8753	4368	3565	0	0	3565
AF	0	0.023188	12458	8320	4138	3251	0	0	3251
AF	0	0.024638	11510	7716	3794	3110	0	0	3110
AF	0	0.026087	10367	6861	3506	2950	0	0	2950
AF	0	0.027536	9701	6451	3250	2748	0	0	2748
AF	0	0.028986	9071	6154	2917	2691	0	0	2691
AF	0	0.030435	8910	6073	2837	2597	0	0	2597
AF	0	0.031884	8307	5637	2670	2393	0	0	2393
AF	0	0.033333	8697	5885	2812	2435	0	0	2435
AF	0	0.034783	7855	5276	2579	2279	0	0	2279
AF	0	0.036232	8000	5388	2612	2196	0	0	2196
AF	0	0.037681	7234	4798	2436	2115	0	0	2115
AF	0	0.039130	6513	4394	2119	1943	0	0	1943
AF	0	0.040580	6412	4282	2130	2022	0	0	2022
AF	0	0.042029	6195	4133	2062	1884	0	0	1884
AF	0	0.043478	6202	4221	1981	1920	0	0	1920
AF	0	0.044928	5792	3932	1860	1820	0	0	1820
AF	0	0.046377	5390	3605	1785	1776	0	0	1776
