# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  -v --samples-file /cromwell_root/fc-47de7dae-e8e6-429c-b760-b4ba49136eee/resources/1kgp/AMR.txt /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/4713d804-a408-419e-b112-cbfba89fddca/subset_vcf_sample_list/3732172f-0829-4581-b1ca-4bc323cfd9b3/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr6.recalibrated_variants.pass.singleton.AMR_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/4713d804-a408-419e-b112-cbfba89fddca/subset_vcf_sample_list/3732172f-0829-4581-b1ca-4bc323cfd9b3/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr6.recalibrated_variants.pass.singleton.AMR_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	353
SN	0	number of records:	6806059
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	6310383
SN	0	number of MNPs:	0
SN	0	number of indels:	568239
SN	0	number of others:	99187
SN	0	number of multiallelic sites:	422528
SN	0	number of multiallelic SNP sites:	171921
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	4246978	2170898	1.96	4168640	2078475	2.01
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	749643	502047	247596	100993	0	0	100993
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	5445160	3595766	1849394	539615	0	0	539615
AF	0	0.002833	176700	118636	58064	52576	0	0	52576
AF	0	0.005666	84884	56891	27993	28319	0	0	28319
AF	0	0.008499	51344	34419	16925	18880	0	0	18880
AF	0	0.011331	36322	24034	12288	13770	0	0	13770
AF	0	0.014164	26915	17928	8987	10618	0	0	10618
AF	0	0.016997	21287	14055	7232	8769	0	0	8769
AF	0	0.019830	17075	11441	5634	7150	0	0	7150
AF	0	0.022663	14476	9613	4863	6157	0	0	6157
AF	0	0.025496	12598	8396	4202	5513	0	0	5513
AF	0	0.028329	10717	7076	3641	4725	0	0	4725
AF	0	0.031161	10567	7046	3521	4237	0	0	4237
AF	0	0.033994	9833	6436	3397	4102	0	0	4102
AF	0	0.036827	9161	6137	3024	3573	0	0	3573
AF	0	0.039660	7922	5211	2711	3331	0	0	3331
AF	0	0.042493	7192	4734	2458	3019	0	0	3019
AF	0	0.045326	7128	4767	2361	2950	0	0	2950
AF	0	0.048159	6716	4456	2260	2618	0	0	2618
AF	0	0.050992	6188	4171	2017	2668	0	0	2668
AF	0	0.053824	6134	4026	2108	2483	0	0	2483
AF	0	0.056657	5685	3795	1890	2356	0	0	2356
AF	0	0.059490	5110	3470	1640	2177	0	0	2177
AF	0	0.062323	5176	3425	1751	2075	0	0	2075
AF	0	0.065156	5081	3372	1709	1946	0	0	1946
AF	0	0.067989	5003	3310	1693	1858	0	0	1858
AF	0	0.070822	4416	2906	1510	1849	0	0	1849
AF	0	0.073654	4279	2893	1386	1749	0	0	1749
AF	0	0.076487	4770	3200	1570	1740	0	0	1740
AF	0	0.079320	4856	3253	1603	1711	0	0	1711
AF	0	0.082153	4862	3202	1660	1690	0	0	1690
AF	0	0.084986	4101	2789	1312	1632	0	0	1632
AF	0	0.087819	4098	2767	1331	1607	0	0	1607
AF	0	0.090652	3816	2581	1235	1482	0	0	1482
AF	0	0.093484	3754	2468	1286	1451	0	0	1451
AF	0	0.096317	4207	2806	1401	1533	0	0	1533
AF	0	0.099150	3397	2278	1119	1307	0	0	1307
AF	0	0.101983	3886	2606	1280	1255	0	0	1255
AF	0	0.104816	3619	2373	1246	1329	0	0	1329
AF	0	0.107649	3837	2577	1260	1280	0	0	1280
AF	0	0.110482	3938	2635	1303	1272	0	0	1272
AF	0	0.113314	3378	2266	1112	1246	0	0	1246
AF	0	0.116147	3514	2361	1153	1297	0	0	1297
AF	0	0.118980	3436	2274	1162	1152	0	0	1152
AF	0	0.121813	3309	2166	1143	1119	0	0	1119
AF	0	0.124646	3522	2331	1191	1213	0	0	1213
AF	0	0.127479	3358	2256	1102	1121	0	0	1121
AF	0	0.130312	3243	2129	1114	1094	0	0	1094
AF	0	0.133144	2945	1995	950	972	0	0	972
AF	0	0.135977	3127	2103	1024	1112	0	0	1112
AF	0	0.138810	2816	1856	960	959	0	0	959
AF	0	0.141643	3295	2229	1066	1038	0	0	1038
AF	0	0.144476	2790	1863	927	935	0	0	935
AF	0	0.147309	2495	1676	819	833	0	0	833
AF	0	0.150142	2679	1775	904	936	0	0	936
AF	0	0.152975	2878	1904	974	955	0	0	955
AF	0	0.155807	3196	2150	1046	926	0	0	926
AF	0	0.158640	2543	1715	828	886	0	0	886
AF	0	0.161473	2827	1902	925	934	0	0	934
AF	0	0.164306	2630	1760	870	887	0	0	887
AF	0	0.167139	2371	1584	787	879	0	0	879
AF	0	0.169972	2494	1665	829	828	0	0	828
AF	0	0.172805	2197	1477	720	738	0	0	738
AF	0	0.175637	2243	1506	737	749	0	0	749
AF	0	0.178470	2406	1578	828	760	0	0	760
AF	0	0.181303	2475	1637	838	805	0	0	805
AF	0	0.184136	2165	1503	662	735	0	0	735
AF	0	0.186969	2107	1380	727	746	0	0	746
AF	0	0.189802	2091	1363	728	731	0	0	731
AF	0	0.192635	2046	1405	641	678	0	0	678
AF	0	0.195467	1814	1225	589	658	0	0	658
AF	0	0.198300	1919	1314	605	633	0	0	633
AF	0	0.201133	2179	1464	715	701	0	0	701
AF	0	0.203966	2351	1606	745	703	0	0	703
AF	0	0.206799	1943	1276	667	665	0	0	665
AF	0	0.209632	1797	1182	615	634	0	0	634
AF	0	0.212465	1722	1168	554	606	0	0	606
AF	0	0.215297	2066	1391	675	601	0	0	601
AF	0	0.218130	2084	1417	667	599	0	0	599
AF	0	0.220963	1683	1115	568	603	0	0	603
AF	0	0.223796	1898	1271	627	615	0	0	615
AF	0	0.226629	1980	1338	642	644	0	0	644
AF	0	0.229462	1774	1163	611	591	0	0	591
AF	0	0.232295	1730	1156	574	554	0	0	554
AF	0	0.235127	1885	1237	648	593	0	0	593
AF	0	0.237960	1874	1268	606	580	0	0	580
AF	0	0.240793	1949	1303	646	541	0	0	541
AF	0	0.243626	1926	1289	637	615	0	0	615
AF	0	0.246459	1722	1174	548	574	0	0	574
AF	0	0.249292	1809	1233	576	550	0	0	550
AF	0	0.252125	1625	1087	538	557	0	0	557
AF	0	0.254958	1841	1220	621	586	0	0	586
AF	0	0.257790	2156	1478	678	558	0	0	558
AF	0	0.260623	1864	1261	603	501	0	0	501
AF	0	0.263456	1822	1240	582	467	0	0	467
AF	0	0.266289	1658	1117	541	486	0	0	486
AF	0	0.269122	1546	1014	532	467	0	0	467
AF	0	0.271955	1695	1165	530	516	0	0	516
AF	0	0.274788	1964	1330	634	572	0	0	572
AF	0	0.277620	1768	1208	560	483	0	0	483
AF	0	0.280453	1868	1232	636	516	0	0	516
AF	0	0.283286	1686	1117	569	511	0	0	511
AF	0	0.286119	1508	1006	502	501	0	0	501
AF	0	0.288952	1631	1112	519	473	0	0	473
AF	0	0.291785	1337	879	458	457	0	0	457
AF	0	0.294618	1526	986	540	425	0	0	425
AF	0	0.297450	1299	842	457	440	0	0	440
AF	0	0.300283	1392	940	452	437	0	0	437
AF	0	0.303116	1732	1145	587	475	0	0	475
AF	0	0.305949	1599	1073	526	449	0	0	449
AF	0	0.308782	1838	1240	598	486	0	0	486
AF	0	0.311615	1455	972	483	474	0	0	474
AF	0	0.314448	1527	1048	479	424	0	0	424
AF	0	0.317280	1414	945	469	431	0	0	431
AF	0	0.320113	1450	958	492	417	0	0	417
AF	0	0.322946	1474	954	520	478	0	0	478
AF	0	0.325779	1777	1228	549	420	0	0	420
AF	0	0.328612	1467	978	489	398	0	0	398
AF	0	0.331445	1503	1018	485	412	0	0	412
AF	0	0.334278	1384	908	476	391	0	0	391
AF	0	0.337110	1604	1073	531	419	0	0	419
AF	0	0.339943	1766	1185	581	453	0	0	453
AF	0	0.342776	1458	961	497	387	0	0	387
AF	0	0.345609	1418	945	473	387	0	0	387
AF	0	0.348442	1354	926	428	358	0	0	358
AF	0	0.351275	1365	934	431	378	0	0	378
AF	0	0.354108	1603	1085	518	400	0	0	400
AF	0	0.356941	1460	996	464	420	0	0	420
AF	0	0.359773	1520	1047	473	358	0	0	358
AF	0	0.362606	1382	951	431	373	0	0	373
AF	0	0.365439	1495	1004	491	365	0	0	365
AF	0	0.368272	1323	858	465	346	0	0	346
AF	0	0.371105	1286	873	413	331	0	0	331
AF	0	0.373938	1200	797	403	357	0	0	357
AF	0	0.376771	1299	852	447	344	0	0	344
AF	0	0.379603	1212	836	376	354	0	0	354
AF	0	0.382436	1234	843	391	323	0	0	323
AF	0	0.385269	1199	815	384	299	0	0	299
AF	0	0.388102	1058	713	345	284	0	0	284
AF	0	0.390935	1276	870	406	348	0	0	348
AF	0	0.393768	1144	799	345	317	0	0	317
AF	0	0.396601	1287	882	405	345	0	0	345
AF	0	0.399433	1211	871	340	319	0	0	319
AF	0	0.402266	1354	946	408	315	0	0	315
AF	0	0.405099	1408	942	466	316	0	0	316
AF	0	0.407932	1237	835	402	338	0	0	338
AF	0	0.410765	1204	776	428	286	0	0	286
AF	0	0.413598	1047	680	367	280	0	0	280
AF	0	0.416431	1057	732	325	304	0	0	304
AF	0	0.419263	989	666	323	290	0	0	290
AF	0	0.422096	1174	797	377	331	0	0	331
AF	0	0.424929	1081	725	356	253	0	0	253
AF	0	0.427762	1166	802	364	301	0	0	301
AF	0	0.430595	1307	879	428	286	0	0	286
AF	0	0.433428	1140	749	391	306	0	0	306
AF	0	0.436261	1109	741	368	313	0	0	313
AF	0	0.439093	1078	737	341	280	0	0	280
AF	0	0.441926	1109	723	386	280	0	0	280
AF	0	0.444759	1217	824	393	310	0	0	310
AF	0	0.447592	1203	792	411	273	0	0	273
AF	0	0.450425	1001	654	347	300	0	0	300
AF	0	0.453258	1053	716	337	268	0	0	268
AF	0	0.456091	1111	736	375	276	0	0	276
AF	0	0.458924	1147	793	354	270	0	0	270
AF	0	0.461756	1133	741	392	270	0	0	270
AF	0	0.464589	1109	745	364	250	0	0	250
AF	0	0.467422	1542	1042	500	304	0	0	304
AF	0	0.470255	1128	779	349	251	0	0	251
AF	0	0.473088	988	673	315	243	0	0	243
AF	0	0.475921	922	634	288	231	0	0	231
AF	0	0.478754	788	525	263	244	0	0	244
AF	0	0.481586	1155	759	396	234	0	0	234
AF	0	0.484419	1050	714	336	237	0	0	237
AF	0	0.487252	1131	749	382	266	0	0	266
