# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  -v --samples-file /cromwell_root/fc-47de7dae-e8e6-429c-b760-b4ba49136eee/resources/1kgp/CHS.txt /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/52df4abc-e583-4f15-b785-4bf9b014cd6c/subset_vcf_sample_list/49df4557-ceb4-48db-966a-1cb26d2f5a30/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr2.recalibrated_variants.pass.singleton.CHS_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/52df4abc-e583-4f15-b785-4bf9b014cd6c/subset_vcf_sample_list/49df4557-ceb4-48db-966a-1cb26d2f5a30/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr2.recalibrated_variants.pass.singleton.CHS_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	112
SN	0	number of records:	9725024
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	9058929
SN	0	number of MNPs:	0
SN	0	number of indels:	768253
SN	0	number of others:	145426
SN	0	number of multiallelic sites:	622345
SN	0	number of multiallelic SNP sites:	268428
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	6043084	3195246	1.89	5920816	3045324	1.94
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	431330	281646	149684	81930	0	0	81930
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	8528060	5576205	2951855	916401	0	0	916401
AF	0	0.008929	85985	54133	31852	36949	0	0	36949
AF	0	0.017857	45455	29208	16247	20599	0	0	20599
AF	0	0.026786	30653	19600	11053	14150	0	0	14150
AF	0	0.035714	22923	14728	8195	10671	0	0	10671
AF	0	0.044643	20636	13436	7200	9172	0	0	9172
AF	0	0.053571	17192	11192	6000	7275	0	0	7275
AF	0	0.062500	14585	9550	5035	6348	0	0	6348
AF	0	0.071429	13227	8623	4604	5666	0	0	5666
AF	0	0.080357	12264	7981	4283	4985	0	0	4985
AF	0	0.089286	10394	6856	3538	4462	0	0	4462
AF	0	0.098214	10992	7275	3717	4335	0	0	4335
AF	0	0.107143	10574	7009	3565	3967	0	0	3967
AF	0	0.116071	9765	6501	3264	3656	0	0	3656
AF	0	0.125000	9410	6201	3209	3587	0	0	3587
AF	0	0.133929	9207	6011	3196	3281	0	0	3281
AF	0	0.142857	7989	5254	2735	2978	0	0	2978
AF	0	0.151786	8790	5873	2917	2949	0	0	2949
AF	0	0.160714	8740	5870	2870	2877	0	0	2877
AF	0	0.169643	7352	4906	2446	2585	0	0	2585
AF	0	0.178571	6959	4682	2277	2471	0	0	2471
AF	0	0.187500	7329	4957	2372	2455	0	0	2455
AF	0	0.196429	7411	4977	2434	2319	0	0	2319
AF	0	0.205357	6789	4531	2258	2214	0	0	2214
AF	0	0.214286	6325	4179	2146	2250	0	0	2250
AF	0	0.223214	6453	4257	2196	2020	0	0	2020
AF	0	0.232143	6205	4105	2100	1962	0	0	1962
AF	0	0.241071	5454	3597	1857	1745	0	0	1745
AF	0	0.250000	5364	3595	1769	1738	0	0	1738
AF	0	0.258929	5356	3591	1765	1806	0	0	1806
AF	0	0.267857	5118	3426	1692	1682	0	0	1682
AF	0	0.276786	5510	3717	1793	1651	0	0	1651
AF	0	0.285714	5321	3575	1746	1598	0	0	1598
AF	0	0.294643	5358	3589	1769	1558	0	0	1558
AF	0	0.303571	5079	3339	1740	1498	0	0	1498
AF	0	0.312500	5177	3438	1739	1506	0	0	1506
AF	0	0.321429	5503	3648	1855	1556	0	0	1556
AF	0	0.330357	5069	3387	1682	1521	0	0	1521
AF	0	0.339286	4659	3095	1564	1416	0	0	1416
AF	0	0.348214	5127	3386	1741	1451	0	0	1451
AF	0	0.357143	4956	3290	1666	1443	0	0	1443
AF	0	0.366071	4596	3073	1523	1257	0	0	1257
AF	0	0.375000	4394	2953	1441	1233	0	0	1233
AF	0	0.383929	4545	3018	1527	1233	0	0	1233
AF	0	0.392857	4089	2772	1317	1170	0	0	1170
AF	0	0.401786	4466	2943	1523	1197	0	0	1197
AF	0	0.410714	3978	2633	1345	1154	0	0	1154
AF	0	0.419643	4231	2827	1404	1130	0	0	1130
AF	0	0.428571	3863	2595	1268	994	0	0	994
AF	0	0.437500	3852	2585	1267	1067	0	0	1067
AF	0	0.446429	4241	2858	1383	1076	0	0	1076
AF	0	0.455357	3573	2307	1266	950	0	0	950
AF	0	0.464286	4036	2709	1327	1049	0	0	1049
AF	0	0.473214	4048	2673	1375	1003	0	0	1003
AF	0	0.482143	3626	2403	1223	897	0	0	897
AF	0	0.491071	5602	3732	1870	1218	0	0	1218
AF	0	0.500000	3372	2256	1116	880	0	0	880
AF	0	0.508929	3259	2189	1070	815	0	0	815
AF	0	0.517857	3112	2050	1062	822	0	0	822
AF	0	0.526786	3044	2029	1015	813	0	0	813
AF	0	0.535714	3154	2120	1034	822	0	0	822
AF	0	0.544643	2954	1993	961	787	0	0	787
AF	0	0.553571	3050	2060	990	786	0	0	786
AF	0	0.562500	2990	2017	973	785	0	0	785
AF	0	0.571429	3213	2165	1048	781	0	0	781
AF	0	0.580357	3189	2145	1044	788	0	0	788
AF	0	0.589286	3349	2238	1111	758	0	0	758
AF	0	0.598214	3002	2016	986	726	0	0	726
AF	0	0.607143	2777	1826	951	701	0	0	701
AF	0	0.616071	2628	1779	849	664	0	0	664
AF	0	0.625000	2752	1833	919	702	0	0	702
AF	0	0.633929	2709	1812	897	653	0	0	653
AF	0	0.642857	2679	1827	852	623	0	0	623
AF	0	0.651786	2900	1933	967	678	0	0	678
AF	0	0.660714	2989	1982	1007	622	0	0	622
AF	0	0.669643	2786	1854	932	574	0	0	574
AF	0	0.678571	2612	1738	874	577	0	0	577
AF	0	0.687500	2466	1619	847	541	0	0	541
AF	0	0.696429	2285	1539	746	537	0	0	537
AF	0	0.705357	2116	1378	738	523	0	0	523
AF	0	0.714286	2497	1703	794	556	0	0	556
AF	0	0.723214	2058	1360	698	499	0	0	499
AF	0	0.732143	2034	1408	626	456	0	0	456
AF	0	0.741071	2178	1425	753	486	0	0	486
AF	0	0.750000	2513	1715	798	530	0	0	530
AF	0	0.758929	2474	1651	823	549	0	0	549
AF	0	0.767857	2278	1450	828	531	0	0	531
AF	0	0.776786	2179	1425	754	553	0	0	553
AF	0	0.785714	2586	1756	830	544	0	0	544
AF	0	0.794643	2918	1961	957	541	0	0	541
AF	0	0.803571	2068	1348	720	469	0	0	469
AF	0	0.812500	1935	1263	672	417	0	0	417
AF	0	0.821429	2156	1446	710	487	0	0	487
AF	0	0.830357	2385	1603	782	473	0	0	473
AF	0	0.839286	2275	1540	735	480	0	0	480
AF	0	0.848214	2142	1413	729	411	0	0	411
AF	0	0.857143	2195	1476	719	419	0	0	419
AF	0	0.866071	2209	1433	776	444	0	0	444
AF	0	0.875000	2475	1655	820	487	0	0	487
AF	0	0.883929	2326	1562	764	426	0	0	426
AF	0	0.892857	2311	1496	815	420	0	0	420
AF	0	0.901786	1888	1256	632	394	0	0	394
AF	0	0.910714	2262	1504	758	416	0	0	416
AF	0	0.919643	2088	1399	689	403	0	0	403
AF	0	0.928571	2055	1367	688	363	0	0	363
AF	0	0.937500	2270	1567	703	417	0	0	417
AF	0	0.946429	2179	1436	743	415	0	0	415
AF	0	0.955357	2602	1751	851	536	0	0	536
AF	0	0.964286	2626	1745	881	519	0	0	519
AF	0	0.973214	3115	2042	1073	596	0	0	596
AF	0	0.982143	5041	3391	1650	1014	0	0	1014
AF	0	0.991071	26770	18285	8485	3175	0	0	3175
# QUAL, Stats by quality:
# QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	30	1671	806	865	39
QUAL	0	31	4120	2047	2073	79
QUAL	0	32	2653	1379	1274	62
QUAL	0	33	1716	888	828	52
QUAL	0	34	3968	2020	1948	74
QUAL	0	35	2717	1376	1341	68
QUAL	0	36	1840	949	891	42
QUAL	0	37	3677	1892	1785	81
