# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/3e31f477-3141-4582-baf5-f019d91c751d/subset_vcf_sample_list/36a40be5-3f74-428f-881e-9d35465fb727/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chrX.recalibrated_variants.pass.singleton.PEL_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/3e31f477-3141-4582-baf5-f019d91c751d/subset_vcf_sample_list/36a40be5-3f74-428f-881e-9d35465fb727/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chrX.recalibrated_variants.pass.singleton.PEL_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	87
SN	0	number of records:	4705837
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	4263697
SN	0	number of MNPs:	0
SN	0	number of indels:	493163
SN	0	number of others:	76215
SN	0	number of multiallelic sites:	296178
SN	0	number of multiallelic SNP sites:	100822
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	2788198	1535816	1.82	2738553	1478812	1.85
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	231820	152864	78956	63621	0	0	63621
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	4023638	2591789	1431849	595978	0	0	595978
AF	0	0.010000	47914	31240	16674	22331	0	0	22331
AF	0	0.020000	23170	14807	8363	12144	0	0	12144
AF	0	0.030000	24090	15379	8711	11965	0	0	11965
AF	0	0.040000	8303	5304	2999	4364	0	0	4364
AF	0	0.050000	6497	4215	2282	3394	0	0	3394
AF	0	0.060000	9962	6426	3536	4605	0	0	4605
AF	0	0.070000	4362	2846	1516	2316	0	0	2316
AF	0	0.080000	4475	2913	1562	2076	0	0	2076
AF	0	0.090000	6535	4257	2278	2995	0	0	2995
AF	0	0.100000	3502	2315	1187	1675	0	0	1675
AF	0	0.110000	3175	2046	1129	1521	0	0	1521
AF	0	0.120000	5407	3510	1897	2231	0	0	2231
AF	0	0.130000	2431	1542	889	1258	0	0	1258
AF	0	0.140000	2196	1390	806	1135	0	0	1135
AF	0	0.150000	3964	2632	1332	1851	0	0	1851
AF	0	0.160000	2058	1324	734	1037	0	0	1037
AF	0	0.170000	1965	1275	690	1040	0	0	1040
AF	0	0.180000	4142	2767	1375	1586	0	0	1586
AF	0	0.190000	2306	1536	770	1013	0	0	1013
AF	0	0.200000	1946	1301	645	878	0	0	878
AF	0	0.210000	3758	2510	1248	1476	0	0	1476
AF	0	0.220000	2094	1377	717	913	0	0	913
AF	0	0.230000	1964	1290	674	823	0	0	823
AF	0	0.240000	3235	2091	1144	1261	0	0	1261
AF	0	0.250000	2163	1444	719	824	0	0	824
AF	0	0.260000	1791	1177	614	768	0	0	768
AF	0	0.270000	3458	2307	1151	1270	0	0	1270
AF	0	0.280000	1722	1146	576	679	0	0	679
AF	0	0.290000	1593	1065	528	642	0	0	642
AF	0	0.300000	3264	2132	1132	1238	0	0	1238
AF	0	0.310000	2175	1424	751	692	0	0	692
AF	0	0.320000	1698	1129	569	584	0	0	584
AF	0	0.330000	2843	1889	954	884	0	0	884
AF	0	0.340000	1330	887	443	559	0	0	559
AF	0	0.350000	1292	879	413	539	0	0	539
