# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  -v --samples-file /cromwell_root/fc-47de7dae-e8e6-429c-b760-b4ba49136eee/resources/1kgp/SAS.txt /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/b14e0395-8e39-458e-a5bf-709b72022f9c/subset_vcf_sample_list/f457d1cd-5193-40e4-a3bb-bbe5466609af/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr5.recalibrated_variants.pass.singleton.SAS_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/b14e0395-8e39-458e-a5bf-709b72022f9c/subset_vcf_sample_list/f457d1cd-5193-40e4-a3bb-bbe5466609af/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr5.recalibrated_variants.pass.singleton.SAS_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	516
SN	0	number of records:	7243081
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	6751952
SN	0	number of MNPs:	0
SN	0	number of indels:	564578
SN	0	number of others:	99104
SN	0	number of multiallelic sites:	438963
SN	0	number of multiallelic SNP sites:	186747
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	4487345	2385196	1.88	4402650	2283682	1.93
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	905567	593184	312383	92397	0	0	92397
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	5935106	3869181	2065925	552929	0	0	552929
AF	0	0.001938	163304	108251	55053	43404	0	0	43404
AF	0	0.003876	74862	49259	25603	23166	0	0	23166
AF	0	0.005814	47868	31294	16574	15604	0	0	15604
AF	0	0.007752	33264	21916	11348	11773	0	0	11773
AF	0	0.009690	26349	17086	9263	9555	0	0	9555
AF	0	0.011628	19469	12704	6765	7821	0	0	7821
AF	0	0.013566	16883	11023	5860	6496	0	0	6496
AF	0	0.015504	14425	9320	5105	5635	0	0	5635
AF	0	0.017442	12407	8043	4364	5095	0	0	5095
AF	0	0.019380	10587	6796	3791	4521	0	0	4521
AF	0	0.021318	10123	6639	3484	3988	0	0	3988
AF	0	0.023256	8899	5812	3087	3778	0	0	3778
AF	0	0.025194	8045	5269	2776	3452	0	0	3452
AF	0	0.027132	7474	4853	2621	3154	0	0	3154
AF	0	0.029070	6704	4338	2366	2920	0	0	2920
AF	0	0.031008	6501	4258	2243	2703	0	0	2703
AF	0	0.032946	5914	3834	2080	2479	0	0	2479
AF	0	0.034884	5942	3867	2075	2477	0	0	2477
AF	0	0.036822	5484	3571	1913	2292	0	0	2292
AF	0	0.038760	4975	3212	1763	2164	0	0	2164
AF	0	0.040698	4471	2860	1611	2024	0	0	2024
AF	0	0.042636	4284	2793	1491	1885	0	0	1885
AF	0	0.044574	4127	2717	1410	1772	0	0	1772
AF	0	0.046512	4230	2832	1398	1766	0	0	1766
AF	0	0.048450	3905	2575	1330	1631	0	0	1631
AF	0	0.050388	3835	2513	1322	1600	0	0	1600
AF	0	0.052326	3521	2367	1154	1540	0	0	1540
AF	0	0.054264	3656	2428	1228	1536	0	0	1536
AF	0	0.056202	3435	2257	1178	1476	0	0	1476
AF	0	0.058140	3458	2264	1194	1333	0	0	1333
AF	0	0.060078	3361	2265	1096	1406	0	0	1406
AF	0	0.062016	2993	1939	1054	1281	0	0	1281
AF	0	0.063953	3206	2124	1082	1309	0	0	1309
AF	0	0.065891	2820	1836	984	1100	0	0	1100
AF	0	0.067829	3135	2044	1091	1215	0	0	1215
AF	0	0.069767	2975	1937	1038	1183	0	0	1183
AF	0	0.071705	2866	1916	950	1148	0	0	1148
AF	0	0.073643	3167	2088	1079	1221	0	0	1221
AF	0	0.075581	2940	1922	1018	1119	0	0	1119
AF	0	0.077519	2611	1733	878	1062	0	0	1062
AF	0	0.079457	3248	2157	1091	1168	0	0	1168
AF	0	0.081395	2582	1696	886	941	0	0	941
AF	0	0.083333	2259	1456	803	1007	0	0	1007
AF	0	0.085271	2498	1653	845	945	0	0	945
AF	0	0.087209	2701	1748	953	950	0	0	950
AF	0	0.089147	2475	1641	834	939	0	0	939
AF	0	0.091085	2309	1532	777	962	0	0	962
AF	0	0.093023	2399	1602	797	879	0	0	879
AF	0	0.094961	2383	1610	773	902	0	0	902
AF	0	0.096899	2367	1574	793	944	0	0	944
AF	0	0.098837	2299	1506	793	848	0	0	848
AF	0	0.100775	2355	1577	778	909	0	0	909
AF	0	0.102713	2098	1406	692	819	0	0	819
AF	0	0.104651	2226	1442	784	806	0	0	806
AF	0	0.106589	2339	1556	783	816	0	0	816
AF	0	0.108527	2218	1458	760	783	0	0	783
AF	0	0.110465	2157	1451	706	815	0	0	815
AF	0	0.112403	2102	1410	692	760	0	0	760
AF	0	0.114341	2289	1488	801	782	0	0	782
AF	0	0.116279	2370	1573	797	778	0	0	778
AF	0	0.118217	1967	1308	659	701	0	0	701
AF	0	0.120155	2006	1319	687	699	0	0	699
AF	0	0.122093	2093	1399	694	744	0	0	744
AF	0	0.124031	1996	1311	685	675	0	0	675
AF	0	0.125969	1924	1315	609	704	0	0	704
AF	0	0.127907	1724	1171	553	697	0	0	697
AF	0	0.129845	1851	1238	613	664	0	0	664
AF	0	0.131783	2014	1321	693	683	0	0	683
AF	0	0.133721	1711	1157	554	600	0	0	600
AF	0	0.135659	2012	1318	694	628	0	0	628
AF	0	0.137597	1821	1240	581	644	0	0	644
AF	0	0.139535	1705	1118	587	651	0	0	651
AF	0	0.141473	1590	1084	506	591	0	0	591
AF	0	0.143411	1655	1121	534	599	0	0	599
AF	0	0.145349	1872	1231	641	643	0	0	643
AF	0	0.147287	2069	1372	697	619	0	0	619
AF	0	0.149225	1685	1124	561	624	0	0	624
AF	0	0.151163	1789	1191	598	582	0	0	582
AF	0	0.153101	1831	1198	633	604	0	0	604
AF	0	0.155039	1920	1255	665	613	0	0	613
AF	0	0.156977	1589	1046	543	611	0	0	611
AF	0	0.158915	1424	938	486	558	0	0	558
AF	0	0.160853	1576	1071	505	554	0	0	554
AF	0	0.162791	1385	894	491	565	0	0	565
AF	0	0.164729	1665	1086	579	503	0	0	503
AF	0	0.166667	1677	1094	583	543	0	0	543
AF	0	0.168605	1550	997	553	567	0	0	567
AF	0	0.170543	1831	1214	617	552	0	0	552
AF	0	0.172481	1610	1081	529	527	0	0	527
AF	0	0.174419	1444	928	516	455	0	0	455
AF	0	0.176357	1324	879	445	457	0	0	457
AF	0	0.178295	1222	775	447	421	0	0	421
AF	0	0.180233	1523	1004	519	504	0	0	504
AF	0	0.182171	1416	942	474	456	0	0	456
AF	0	0.184109	1868	1274	594	585	0	0	585
AF	0	0.186047	1502	1013	489	468	0	0	468
AF	0	0.187984	1574	1026	548	449	0	0	449
AF	0	0.189922	1399	907	492	453	0	0	453
AF	0	0.191860	1287	877	410	453	0	0	453
AF	0	0.193798	1296	877	419	450	0	0	450
AF	0	0.195736	1375	918	457	486	0	0	486
AF	0	0.197674	1251	846	405	419	0	0	419
AF	0	0.199612	1314	859	455	428	0	0	428
AF	0	0.201550	1492	962	530	455	0	0	455
AF	0	0.203488	1511	1026	485	448	0	0	448
AF	0	0.205426	1774	1168	606	485	0	0	485
AF	0	0.207364	1502	994	508	421	0	0	421
AF	0	0.209302	1592	1045	547	474	0	0	474
AF	0	0.211240	1390	927	463	447	0	0	447
AF	0	0.213178	1459	972	487	410	0	0	410
AF	0	0.215116	1368	906	462	424	0	0	424
AF	0	0.217054	1198	805	393	376	0	0	376
AF	0	0.218992	1340	873	467	422	0	0	422
AF	0	0.220930	1250	806	444	408	0	0	408
AF	0	0.222868	1217	794	423	394	0	0	394
AF	0	0.224806	1253	851	402	442	0	0	442
AF	0	0.226744	1284	821	463	356	0	0	356
AF	0	0.228682	1119	711	408	372	0	0	372
AF	0	0.230620	1408	919	489	393	0	0	393
AF	0	0.232558	1250	836	414	366	0	0	366
