# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  -v --samples-file /cromwell_root/fc-47de7dae-e8e6-429c-b760-b4ba49136eee/resources/1kgp/PEL.txt /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/b9325e09-9804-4934-9cc4-874415fc42e4/subset_vcf_sample_list/1e5d810d-fd08-474a-87b2-641768047d2a/call-bgzip_bcftools_index/1kgp.chr8.recalibrated.snp_indel.pass.singleton.PEL_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/b9325e09-9804-4934-9cc4-874415fc42e4/subset_vcf_sample_list/1e5d810d-fd08-474a-87b2-641768047d2a/call-bgzip_bcftools_index/1kgp.chr8.recalibrated.snp_indel.pass.singleton.PEL_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	87
SN	0	number of records:	6144285
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	5625514
SN	0	number of MNPs:	0
SN	0	number of indels:	580926
SN	0	number of others:	73588
SN	0	number of multiallelic sites:	390693
SN	0	number of multiallelic SNP sites:	197586
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	3689106	2044698	1.80	3589280	1934350	1.86
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	310788	202899	107889	61756	0	0	61756
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	5265228	3384263	1880965	667944	0	0	667944
AF	0	0.010000	100089	64573	35516	31847	0	0	31847
AF	0	0.020000	33044	21068	11976	12473	0	0	12473
AF	0	0.030000	21593	13801	7792	7628	0	0	7628
AF	0	0.040000	8983	5621	3362	3567	0	0	3567
AF	0	0.050000	14184	9211	4973	4946	0	0	4946
AF	0	0.060000	11538	7477	4061	3976	0	0	3976
AF	0	0.070000	9764	6311	3453	3223	0	0	3223
AF	0	0.080000	4599	3027	1572	1627	0	0	1627
AF	0	0.090000	7760	5069	2691	2634	0	0	2634
AF	0	0.100000	7400	4902	2498	2362	0	0	2362
AF	0	0.110000	6864	4496	2368	2226	0	0	2226
AF	0	0.120000	3514	2281	1233	1217	0	0	1217
AF	0	0.130000	6504	4233	2271	2066	0	0	2066
AF	0	0.140000	5789	3820	1969	1889	0	0	1889
AF	0	0.150000	6463	4255	2208	1986	0	0	1986
AF	0	0.160000	3021	1937	1084	960	0	0	960
AF	0	0.170000	6353	4165	2188	1846	0	0	1846
AF	0	0.180000	5994	3876	2118	1795	0	0	1795
AF	0	0.190000	5664	3710	1954	1631	0	0	1631
AF	0	0.200000	3075	2015	1060	888	0	0	888
AF	0	0.210000	5881	3935	1946	1612	0	0	1612
AF	0	0.220000	5053	3325	1728	1483	0	0	1483
AF	0	0.230000	5196	3395	1801	1406	0	0	1406
AF	0	0.240000	2640	1728	912	760	0	0	760
AF	0	0.250000	4488	2902	1586	1254	0	0	1254
AF	0	0.260000	4577	2962	1615	1192	0	0	1192
AF	0	0.270000	4897	3144	1753	1176	0	0	1176
AF	0	0.280000	2079	1362	717	598	0	0	598
AF	0	0.290000	4106	2711	1395	1091	0	0	1091
AF	0	0.300000	3787	2460	1327	1014	0	0	1014
AF	0	0.310000	3681	2402	1279	992	0	0	992
AF	0	0.320000	1813	1209	604	529	0	0	529
AF	0	0.330000	3452	2256	1196	953	0	0	953
AF	0	0.340000	3957	2609	1348	982	0	0	982
AF	0	0.350000	4025	2620	1405	1006	0	0	1006
AF	0	0.360000	3853	2493	1360	973	0	0	973
AF	0	0.370000	1804	1185	619	480	0	0	480
AF	0	0.380000	3660	2422	1238	858	0	0	858
AF	0	0.390000	3194	2066	1128	805	0	0	805
AF	0	0.400000	3011	1973	1038	794	0	0	794
AF	0	0.410000	1730	1128	602	429	0	0	429
AF	0	0.420000	3156	2057	1099	860	0	0	860
AF	0	0.430000	3106	2052	1054	784	0	0	784
AF	0	0.440000	3019	1921	1098	764	0	0	764
AF	0	0.450000	1412	938	474	368	0	0	368
AF	0	0.460000	3233	2111	1122	781	0	0	781
AF	0	0.470000	3478	2285	1193	745	0	0	745
AF	0	0.480000	3030	2007	1023	729	0	0	729
AF	0	0.490000	1358	884	474	353	0	0	353
AF	0	0.500000	2883	1920	963	698	0	0	698
AF	0	0.510000	2667	1800	867	615	0	0	615
AF	0	0.520000	2790	1836	954	632	0	0	632
AF	0	0.530000	1330	883	447	316	0	0	316
AF	0	0.540000	2484	1628	856	600	0	0	600
AF	0	0.550000	2998	1996	1002	614	0	0	614
AF	0	0.560000	2311	1537	774	553	0	0	553
AF	0	0.570000	1305	862	443	301	0	0	301
AF	0	0.580000	2691	1747	944	565	0	0	565
AF	0	0.590000	2517	1667	850	556	0	0	556
AF	0	0.600000	2475	1654	821	561	0	0	561
AF	0	0.610000	1315	850	465	265	0	0	265
AF	0	0.620000	2258	1454	804	470	0	0	470
AF	0	0.630000	2219	1492	727	483	0	0	483
AF	0	0.640000	2589	1716	873	556	0	0	556
AF	0	0.650000	1323	895	428	277	0	0	277
AF	0	0.660000	2282	1510	772	442	0	0	442
AF	0	0.670000	2429	1639	790	428	0	0	428
AF	0	0.680000	2229	1503	726	377	0	0	377
AF	0	0.690000	1906	1240	666	350	0	0	350
AF	0	0.700000	859	567	292	223	0	0	223
AF	0	0.710000	1873	1192	681	389	0	0	389
AF	0	0.720000	1831	1185	646	362	0	0	362
AF	0	0.730000	1959	1300	659	346	0	0	346
AF	0	0.740000	1009	670	339	185	0	0	185
AF	0	0.750000	2263	1481	782	390	0	0	390
AF	0	0.760000	2169	1406	763	339	0	0	339
AF	0	0.770000	2000	1324	676	350	0	0	350
AF	0	0.780000	882	559	323	187	0	0	187
AF	0	0.790000	2177	1429	748	366	0	0	366
AF	0	0.800000	1935	1287	648	322	0	0	322
AF	0	0.810000	1845	1204	641	310	0	0	310
AF	0	0.820000	839	542	297	158	0	0	158
AF	0	0.830000	1801	1159	642	289	0	0	289
AF	0	0.840000	2205	1463	742	353	0	0	353
AF	0	0.850000	2188	1428	760	328	0	0	328
AF	0	0.860000	990	663	327	146	0	0	146
AF	0	0.870000	1907	1234	673	267	0	0	267
AF	0	0.880000	2071	1367	704	339	0	0	339
AF	0	0.890000	1751	1132	619	268	0	0	268
AF	0	0.900000	978	644	334	132	0	0	132
AF	0	0.910000	1937	1288	649	288	0	0	288
AF	0	0.920000	1850	1253	597	243	0	0	243
AF	0	0.930000	2178	1448	730	274	0	0	274
AF	0	0.940000	1191	789	402	133	0	0	133
AF	0	0.950000	2197	1491	706	268	0	0	268
AF	0	0.960000	1939	1267	672	233	0	0	233
AF	0	0.970000	2340	1547	793	259	0	0	259
AF	0	0.980000	1100	729	371	111	0	0	111
AF	0	0.990000	2440	1576	864	200	0	0	200
# QUAL, Stats by quality:
# QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	30	2216	1037	1113	210
QUAL	0	31	2144	951	1108	193
QUAL	0	32	1051	416	551	173
QUAL	0	33	2385	1076	1240	203
QUAL	0	34	1933	850	1002	191
QUAL	0	35	1007	419	513	162
QUAL	0	36	2447	1119	1250	220
QUAL	0	37	1785	805	920	177
QUAL	0	38	1059	444	538	159
QUAL	0	39	2534	1235	1234	213
QUAL	0	40	1592	691	828	175
QUAL	0	41	955	386	482	137
QUAL	0	42	2561	1217	1280	219
QUAL	0	43	1486	702	709	179
QUAL	0	44	899	381	448	166
QUAL	0	45	2397	1172	1161	223
QUAL	0	46	1415	672	676	196
QUAL	0	47	994	431	496	149
QUAL	0	48	2359	1102	1202	212
QUAL	0	49	1322	600	640	174
QUAL	0	50	947	404	471	133
QUAL	0	51	2325	1060	1199	201
QUAL	0	52	1374	644	666	158
QUAL	0	53	928	413	448	120
QUAL	0	54	2207	1051	1090	203
QUAL	0	55	1423	666	713	153
QUAL	0	56	894	412	432	124
QUAL	0	57	2137	1014	1061	171
QUAL	0	58	1418	684	684	155
