# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/9d6fbc53-8947-41e8-8b62-d7075d4d895a/subset_vcf_sample_list/69c80f01-0113-42ca-adeb-c414adcb5223/call-bgzip_bcftools_index/1kgp.chr10.recalibrated.snp_indel.pass.singleton.EAS_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/9d6fbc53-8947-41e8-8b62-d7075d4d895a/subset_vcf_sample_list/69c80f01-0113-42ca-adeb-c414adcb5223/call-bgzip_bcftools_index/1kgp.chr10.recalibrated.snp_indel.pass.singleton.EAS_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	513
SN	0	number of records:	5529526
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	5033442
SN	0	number of MNPs:	0
SN	0	number of indels:	561090
SN	0	number of others:	85236
SN	0	number of multiallelic sites:	405378
SN	0	number of multiallelic SNP sites:	201278
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	3392908	1736579	1.95	3288974	1625706	2.02
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	667592	443210	224382	97635	0	0	97635
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	4528657	2998491	1530166	596934	0	0	596934
AF	0	0.001949	99952	63721	36231	30247	0	0	30247
AF	0	0.003899	43737	27328	16409	15209	0	0	15209
AF	0	0.005848	26014	16220	9794	9878	0	0	9878
AF	0	0.007797	18378	11559	6819	7006	0	0	7006
AF	0	0.009747	13501	8450	5051	5493	0	0	5493
AF	0	0.011696	11029	6946	4083	4424	0	0	4424
AF	0	0.013645	8957	5725	3232	3772	0	0	3772
AF	0	0.015595	7673	4863	2810	3232	0	0	3232
AF	0	0.017544	7283	4649	2634	2884	0	0	2884
AF	0	0.019493	6228	3974	2254	2555	0	0	2555
AF	0	0.021442	5260	3402	1858	2276	0	0	2276
AF	0	0.023392	5222	3412	1810	2093	0	0	2093
AF	0	0.025341	4185	2685	1500	1859	0	0	1859
AF	0	0.027290	4178	2703	1475	1679	0	0	1679
AF	0	0.029240	4277	2787	1490	1601	0	0	1601
AF	0	0.031189	3707	2423	1284	1537	0	0	1537
AF	0	0.033138	3509	2287	1222	1498	0	0	1498
AF	0	0.035088	3547	2301	1246	1457	0	0	1457
AF	0	0.037037	3398	2282	1116	1367	0	0	1367
AF	0	0.038986	3050	2026	1024	1228	0	0	1228
AF	0	0.040936	3250	2149	1101	1280	0	0	1280
AF	0	0.042885	4990	3131	1859	1195	0	0	1195
AF	0	0.044834	2741	1860	881	1107	0	0	1107
AF	0	0.046784	2385	1612	773	1058	0	0	1058
AF	0	0.048733	2725	1801	924	1044	0	0	1044
AF	0	0.050682	2823	1862	961	1001	0	0	1001
AF	0	0.052632	2606	1713	893	980	0	0	980
AF	0	0.054581	2342	1514	828	875	0	0	875
AF	0	0.056530	2388	1606	782	960	0	0	960
AF	0	0.058480	2131	1402	729	834	0	0	834
AF	0	0.060429	2116	1355	761	801	0	0	801
AF	0	0.062378	2280	1564	716	844	0	0	844
AF	0	0.064327	2312	1541	771	778	0	0	778
