# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  -v --samples-file /cromwell_root/fc-47de7dae-e8e6-429c-b760-b4ba49136eee/resources/1kgp/GBR.txt /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/b7d87e26-0dbb-49f3-b42f-75798ba5d1bf/subset_vcf_sample_list/bdd9ff77-d29f-40f5-a603-95a1d33deb68/call-bgzip_bcftools_index/1kgp.chr8.recalibrated.snp_indel.pass.singleton.GBR_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/b7d87e26-0dbb-49f3-b42f-75798ba5d1bf/subset_vcf_sample_list/bdd9ff77-d29f-40f5-a603-95a1d33deb68/call-bgzip_bcftools_index/1kgp.chr8.recalibrated.snp_indel.pass.singleton.GBR_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	91
SN	0	number of records:	6144285
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	5625514
SN	0	number of MNPs:	0
SN	0	number of indels:	580926
SN	0	number of others:	73588
SN	0	number of multiallelic sites:	390693
SN	0	number of multiallelic SNP sites:	197586
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	3689106	2044698	1.80	3589280	1934350	1.86
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	192004	124426	67578	40711	0	0	40711
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	5234314	3362782	1871532	663360	0	0	663360
AF	0	0.010000	87187	56576	30611	25454	0	0	25454
AF	0	0.020000	40807	26434	14373	13088	0	0	13088
AF	0	0.030000	26227	17109	9118	8909	0	0	8909
AF	0	0.040000	20851	13456	7395	6729	0	0	6729
AF	0	0.050000	17181	11250	5931	5616	0	0	5616
AF	0	0.060000	7590	4952	2638	2761	0	0	2761
AF	0	0.070000	13640	8936	4704	4648	0	0	4648
AF	0	0.080000	12214	7912	4302	3999	0	0	3999
AF	0	0.090000	10968	7218	3750	3556	0	0	3556
AF	0	0.100000	9124	5963	3161	3075	0	0	3075
AF	0	0.110000	9326	6133	3193	3045	0	0	3045
AF	0	0.120000	3978	2627	1351	1434	0	0	1434
AF	0	0.130000	8192	5348	2844	2519	0	0	2519
AF	0	0.140000	7520	4926	2594	2429	0	0	2429
AF	0	0.150000	7412	4807	2605	2301	0	0	2301
AF	0	0.160000	6816	4451	2365	2017	0	0	2017
AF	0	0.170000	7174	4718	2456	2145	0	0	2145
AF	0	0.180000	3450	2270	1180	1071	0	0	1071
AF	0	0.190000	6599	4317	2282	1835	0	0	1835
AF	0	0.200000	6617	4307	2310	1764	0	0	1764
AF	0	0.210000	4857	3209	1648	1481	0	0	1481
AF	0	0.220000	5281	3435	1846	1452	0	0	1452
AF	0	0.230000	5477	3547	1930	1462	0	0	1462
AF	0	0.240000	2752	1829	923	768	0	0	768
AF	0	0.250000	4993	3272	1721	1311	0	0	1311
AF	0	0.260000	5002	3310	1692	1323	0	0	1323
AF	0	0.270000	5092	3391	1701	1296	0	0	1296
AF	0	0.280000	4463	2909	1554	1184	0	0	1184
AF	0	0.290000	4785	3185	1600	1176	0	0	1176
AF	0	0.300000	2312	1520	792	600	0	0	600
AF	0	0.310000	3908	2600	1308	1050	0	0	1050
AF	0	0.320000	4191	2804	1387	1018	0	0	1018
AF	0	0.330000	4120	2677	1443	1002	0	0	1002
AF	0	0.340000	3387	2228	1159	898	0	0	898
AF	0	0.350000	3393	2277	1116	865	0	0	865
