# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  -v --samples-file /cromwell_root/fc-47de7dae-e8e6-429c-b760-b4ba49136eee/resources/1kgp/CHS.txt /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/52df4abc-e583-4f15-b785-4bf9b014cd6c/subset_vcf_sample_list/40fee7ea-a4b0-4ce3-bc6e-a2f7a3fc1ea0/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr17.recalibrated_variants.pass.singleton.CHS_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/52df4abc-e583-4f15-b785-4bf9b014cd6c/subset_vcf_sample_list/40fee7ea-a4b0-4ce3-bc6e-a2f7a3fc1ea0/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr17.recalibrated_variants.pass.singleton.CHS_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	112
SN	0	number of records:	3246026
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	2998085
SN	0	number of MNPs:	0
SN	0	number of indels:	291875
SN	0	number of others:	64298
SN	0	number of multiallelic sites:	246859
SN	0	number of multiallelic SNP sites:	94414
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	2089483	964861	2.17	2044938	914023	2.24
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	145876	99526	46350	33841	0	0	33841
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	2814559	1927354	887205	364041	0	0	364041
AF	0	0.008929	29141	18867	10274	15658	0	0	15658
AF	0	0.017857	15030	9750	5280	8510	0	0	8510
AF	0	0.026786	10558	6856	3702	5892	0	0	5892
AF	0	0.035714	7375	4797	2578	4295	0	0	4295
AF	0	0.044643	6684	4404	2280	3530	0	0	3530
AF	0	0.053571	5877	3893	1984	3026	0	0	3026
AF	0	0.062500	5039	3383	1656	2682	0	0	2682
AF	0	0.071429	4362	2946	1416	2321	0	0	2321
AF	0	0.080357	4435	3018	1417	2059	0	0	2059
AF	0	0.089286	4385	3008	1377	2002	0	0	2002
AF	0	0.098214	4238	2895	1343	1813	0	0	1813
AF	0	0.107143	4087	2811	1276	1733	0	0	1733
AF	0	0.116071	3397	2344	1053	1586	0	0	1586
AF	0	0.125000	3054	2055	999	1401	0	0	1401
AF	0	0.133929	3107	2165	942	1292	0	0	1292
AF	0	0.142857	3052	2066	986	1276	0	0	1276
AF	0	0.151786	3008	2019	989	1274	0	0	1274
AF	0	0.160714	2676	1814	862	1118	0	0	1118
AF	0	0.169643	2959	2031	928	1155	0	0	1155
AF	0	0.178571	3362	2306	1056	1168	0	0	1168
AF	0	0.187500	2532	1758	774	1000	0	0	1000
AF	0	0.196429	2125	1476	649	918	0	0	918
AF	0	0.205357	2288	1559	729	855	0	0	855
AF	0	0.214286	2054	1423	631	858	0	0	858
AF	0	0.223214	2064	1379	685	789	0	0	789
AF	0	0.232143	1952	1345	607	792	0	0	792
AF	0	0.241071	1787	1206	581	729	0	0	729
AF	0	0.250000	2026	1396	630	655	0	0	655
AF	0	0.258929	1708	1143	565	625	0	0	625
AF	0	0.267857	1553	1072	481	597	0	0	597
AF	0	0.276786	1651	1113	538	638	0	0	638
AF	0	0.285714	1793	1261	532	679	0	0	679
AF	0	0.294643	2021	1397	624	717	0	0	717
AF	0	0.303571	1818	1277	541	613	0	0	613
AF	0	0.312500	1849	1243	606	634	0	0	634
AF	0	0.321429	1553	1104	449	574	0	0	574
AF	0	0.330357	1491	1046	445	573	0	0	573
AF	0	0.339286	1935	1328	607	580	0	0	580
AF	0	0.348214	1814	1235	579	545	0	0	545
AF	0	0.357143	2139	1468	671	596	0	0	596
AF	0	0.366071	1471	1014	457	516	0	0	516
AF	0	0.375000	1310	897	413	463	0	0	463
AF	0	0.383929	1267	877	390	432	0	0	432
AF	0	0.392857	1438	1006	432	453	0	0	453
AF	0	0.401786	1342	925	417	420	0	0	420
AF	0	0.410714	1478	976	502	474	0	0	474
AF	0	0.419643	1506	1014	492	455	0	0	455
AF	0	0.428571	1358	938	420	416	0	0	416
AF	0	0.437500	1336	894	442	372	0	0	372
AF	0	0.446429	1347	909	438	406	0	0	406
AF	0	0.455357	1412	996	416	420	0	0	420
AF	0	0.464286	1267	871	396	404	0	0	404
AF	0	0.473214	1254	881	373	374	0	0	374
AF	0	0.482143	1284	865	419	372	0	0	372
AF	0	0.491071	3305	2340	965	627	0	0	627
AF	0	0.500000	960	661	299	357	0	0	357
AF	0	0.508929	1027	727	300	334	0	0	334
AF	0	0.517857	1101	764	337	365	0	0	365
AF	0	0.526786	1302	888	414	378	0	0	378
AF	0	0.535714	1482	1027	455	385	0	0	385
AF	0	0.544643	1073	716	357	320	0	0	320
AF	0	0.553571	984	655	329	314	0	0	314
AF	0	0.562500	1345	952	393	381	0	0	381
AF	0	0.571429	1147	803	344	294	0	0	294
AF	0	0.580357	1077	725	352	317	0	0	317
AF	0	0.589286	852	594	258	285	0	0	285
AF	0	0.598214	1017	712	305	313	0	0	313
AF	0	0.607143	792	544	248	261	0	0	261
AF	0	0.616071	694	484	210	232	0	0	232
AF	0	0.625000	921	619	302	251	0	0	251
AF	0	0.633929	866	589	277	253	0	0	253
AF	0	0.642857	994	701	293	290	0	0	290
AF	0	0.651786	873	591	282	288	0	0	288
AF	0	0.660714	1085	760	325	286	0	0	286
AF	0	0.669643	907	638	269	295	0	0	295
AF	0	0.678571	1075	764	311	253	0	0	253
AF	0	0.687500	783	548	235	202	0	0	202
AF	0	0.696429	698	498	200	203	0	0	203
AF	0	0.705357	711	501	210	194	0	0	194
AF	0	0.714286	635	447	188	159	0	0	159
AF	0	0.723214	587	390	197	173	0	0	173
AF	0	0.732143	675	477	198	193	0	0	193
AF	0	0.741071	666	488	178	181	0	0	181
AF	0	0.750000	707	492	215	182	0	0	182
AF	0	0.758929	591	393	198	149	0	0	149
AF	0	0.767857	510	367	143	146	0	0	146
AF	0	0.776786	543	364	179	176	0	0	176
AF	0	0.785714	973	682	291	247	0	0	247
AF	0	0.794643	549	370	179	188	0	0	188
AF	0	0.803571	802	580	222	220	0	0	220
AF	0	0.812500	742	510	232	206	0	0	206
AF	0	0.821429	730	490	240	173	0	0	173
AF	0	0.830357	687	473	214	164	0	0	164
AF	0	0.839286	573	400	173	152	0	0	152
AF	0	0.848214	771	533	238	195	0	0	195
AF	0	0.857143	1120	784	336	221	0	0	221
AF	0	0.866071	1048	728	320	229	0	0	229
AF	0	0.875000	783	557	226	161	0	0	161
AF	0	0.883929	642	438	204	154	0	0	154
AF	0	0.892857	544	370	174	132	0	0	132
AF	0	0.901786	588	394	194	159	0	0	159
AF	0	0.910714	577	410	167	122	0	0	122
AF	0	0.919643	583	394	189	146	0	0	146
AF	0	0.928571	683	486	197	153	0	0	153
AF	0	0.937500	485	342	143	122	0	0	122
AF	0	0.946429	699	473	226	146	0	0	146
AF	0	0.955357	649	459	190	175	0	0	175
AF	0	0.964286	793	543	250	173	0	0	173
