# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  -v --samples-file /cromwell_root/fc-47de7dae-e8e6-429c-b760-b4ba49136eee/resources/1kgp/ESN.txt /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/d0616059-4a17-4fd1-b9c2-316f244cb684/subset_vcf_sample_list/2921df72-712c-4f91-91af-e755d90fbea6/call-bgzip_bcftools_index/1kgp.chr3.recalibrated.snp_indel.pass.singleton.ESN_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/d0616059-4a17-4fd1-b9c2-316f244cb684/subset_vcf_sample_list/2921df72-712c-4f91-91af-e755d90fbea6/call-bgzip_bcftools_index/1kgp.chr3.recalibrated.snp_indel.pass.singleton.ESN_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	106
SN	0	number of records:	7759865
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	7056892
SN	0	number of MNPs:	0
SN	0	number of indels:	781691
SN	0	number of others:	88634
SN	0	number of multiallelic sites:	459611
SN	0	number of multiallelic SNP sites:	211929
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	4698760	2474875	1.90	4591035	2351085	1.95
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	351106	230429	120677	72710	0	0	72710
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	6177218	4033795	2143423	800369	0	0	800369
AF	0	0.009434	154179	102121	52058	41588	0	0	41588
AF	0	0.018868	99386	66442	32944	26994	0	0	26994
AF	0	0.028302	70285	47019	23266	19811	0	0	19811
AF	0	0.037736	53470	35745	17725	15656	0	0	15656
AF	0	0.047170	43690	29014	14676	13415	0	0	13415
AF	0	0.056604	36787	24551	12236	11529	0	0	11529
AF	0	0.066038	30396	20283	10113	9767	0	0	9767
AF	0	0.075472	26972	18042	8930	8693	0	0	8693
AF	0	0.084906	23772	15934	7838	7846	0	0	7846
AF	0	0.094340	21970	14660	7310	7258	0	0	7258
AF	0	0.103774	19737	13235	6502	6594	0	0	6594
AF	0	0.113208	17271	11609	5662	5919	0	0	5919
AF	0	0.122642	16136	10641	5495	5325	0	0	5325
AF	0	0.132075	14482	9673	4809	4961	0	0	4961
AF	0	0.141509	13569	9091	4478	4668	0	0	4668
AF	0	0.150943	12798	8440	4358	4284	0	0	4284
AF	0	0.160377	11465	7649	3816	3828	0	0	3828
AF	0	0.169811	11140	7492	3648	3718	0	0	3718
AF	0	0.179245	10444	6940	3504	3528	0	0	3528
AF	0	0.188679	9580	6367	3213	3214	0	0	3214
AF	0	0.198113	9264	6129	3135	3017	0	0	3017
AF	0	0.207547	8990	6044	2946	2851	0	0	2851
AF	0	0.216981	8236	5563	2673	2667	0	0	2667
AF	0	0.226415	7350	4886	2464	2561	0	0	2561
AF	0	0.235849	7456	4949	2507	2524	0	0	2524
AF	0	0.245283	7051	4682	2369	2260	0	0	2260
AF	0	0.254717	6989	4685	2304	2153	0	0	2153
AF	0	0.264151	6189	4110	2079	1992	0	0	1992
AF	0	0.273585	6286	4254	2032	1942	0	0	1942
AF	0	0.283019	5379	3586	1793	1749	0	0	1749
AF	0	0.292453	5053	3416	1637	1703	0	0	1703
AF	0	0.301887	5232	3477	1755	1689	0	0	1689
AF	0	0.311321	5320	3531	1789	1625	0	0	1625
AF	0	0.320755	4864	3267	1597	1465	0	0	1465
AF	0	0.330189	4667	3113	1554	1428	0	0	1428
AF	0	0.339623	4797	3277	1520	1476	0	0	1476
AF	0	0.349057	4309	2888	1421	1337	0	0	1337
AF	0	0.358491	4305	2865	1440	1244	0	0	1244
AF	0	0.367925	4519	3064	1455	1256	0	0	1256
AF	0	0.377358	4310	2863	1447	1233	0	0	1233
AF	0	0.386792	3992	2663	1329	1108	0	0	1108
AF	0	0.396226	4263	2838	1425	1212	0	0	1212
