# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  -v --samples-file /cromwell_root/fc-47de7dae-e8e6-429c-b760-b4ba49136eee/resources/1kgp/LWK.txt /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/cc89a0d5-9c4d-4081-a171-64fe81c40244/subset_vcf_sample_list/7d3ea62d-5bb9-4045-9d8a-896d1407ded1/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr17.recalibrated_variants.pass.singleton.LWK_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/cc89a0d5-9c4d-4081-a171-64fe81c40244/subset_vcf_sample_list/7d3ea62d-5bb9-4045-9d8a-896d1407ded1/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr17.recalibrated_variants.pass.singleton.LWK_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	99
SN	0	number of records:	3246026
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	2998085
SN	0	number of MNPs:	0
SN	0	number of indels:	291875
SN	0	number of others:	64298
SN	0	number of multiallelic sites:	246859
SN	0	number of multiallelic SNP sites:	94414
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	2089483	964861	2.17	2044938	914023	2.24
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	200214	137764	62450	41174	0	0	41174
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	2537901	1734660	803241	284477	0	0	284477
AF	0	0.010000	129256	88581	40675	36857	0	0	36857
AF	0	0.020000	59202	40742	18460	20205	0	0	20205
AF	0	0.030000	36815	25120	11695	13810	0	0	13810
AF	0	0.040000	26188	17828	8360	10040	0	0	10040
AF	0	0.050000	21652	14963	6689	8382	0	0	8382
AF	0	0.060000	23582	16165	7417	9335	0	0	9335
AF	0	0.070000	7014	4796	2218	3457	0	0	3457
AF	0	0.080000	12235	8446	3789	5162	0	0	5162
AF	0	0.090000	10778	7323	3455	4620	0	0	4620
AF	0	0.100000	9069	6242	2827	4026	0	0	4026
AF	0	0.110000	8235	5622	2613	3613	0	0	3613
AF	0	0.120000	7664	5245	2419	3273	0	0	3273
AF	0	0.130000	9896	6817	3079	4153	0	0	4153
AF	0	0.140000	3399	2353	1046	1663	0	0	1663
AF	0	0.150000	5675	3910	1765	2634	0	0	2634
AF	0	0.160000	5726	3867	1859	2428	0	0	2428
AF	0	0.170000	4822	3321	1501	2123	0	0	2123
AF	0	0.180000	4408	3024	1384	1981	0	0	1981
AF	0	0.190000	4289	2950	1339	1868	0	0	1868
AF	0	0.200000	3979	2744	1235	1738	0	0	1738
AF	0	0.210000	3733	2567	1166	1638	0	0	1638
AF	0	0.220000	3579	2511	1068	1549	0	0	1549
AF	0	0.230000	3580	2457	1123	1418	0	0	1418
AF	0	0.240000	4722	3246	1476	1888	0	0	1888
AF	0	0.250000	1512	1009	503	713	0	0	713
AF	0	0.260000	2706	1832	874	1182	0	0	1182
AF	0	0.270000	4114	2835	1279	1631	0	0	1631
AF	0	0.280000	1339	921	418	612	0	0	612
AF	0	0.290000	2531	1725	806	982	0	0	982
AF	0	0.300000	3835	2643	1192	1402	0	0	1402
AF	0	0.310000	1247	867	380	510	0	0	510
AF	0	0.320000	2241	1549	692	832	0	0	832
AF	0	0.330000	2238	1510	728	885	0	0	885
AF	0	0.340000	2530	1761	769	838	0	0	838
AF	0	0.350000	2159	1501	658	791	0	0	791
AF	0	0.360000	2110	1446	664	755	0	0	755
AF	0	0.370000	2087	1429	658	681	0	0	681
