# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  -v --samples-file /cromwell_root/fc-47de7dae-e8e6-429c-b760-b4ba49136eee/resources/1kgp/MSL.txt /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/ddc4c345-f435-4954-9d01-a247f5faab71/subset_vcf_sample_list/9acb0241-e344-498b-8101-14e60471558e/call-bgzip_bcftools_index/1kgp.chr17.recalibrated.snp_indel.pass.singleton.MSL_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/ddc4c345-f435-4954-9d01-a247f5faab71/subset_vcf_sample_list/9acb0241-e344-498b-8101-14e60471558e/call-bgzip_bcftools_index/1kgp.chr17.recalibrated.snp_indel.pass.singleton.MSL_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	88
SN	0	number of records:	3397478
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	3085388
SN	0	number of MNPs:	0
SN	0	number of indels:	355968
SN	0	number of others:	57242
SN	0	number of multiallelic sites:	289006
SN	0	number of multiallelic SNP sites:	149850
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	2127283	1023561	2.08	2051607	944787	2.17
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	181516	119950	61566	39061	0	0	39061
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	2663169	1794161	869008	364416	0	0	364416
AF	0	0.010000	117251	78349	38902	31301	0	0	31301
AF	0	0.020000	55345	37596	17749	16867	0	0	16867
AF	0	0.030000	35630	24407	11223	11514	0	0	11514
AF	0	0.040000	14498	9935	4563	5171	0	0	5171
AF	0	0.050000	25502	17268	8234	8487	0	0	8487
AF	0	0.060000	19407	13333	6074	6737	0	0	6737
AF	0	0.070000	15404	10612	4792	5527	0	0	5527
AF	0	0.080000	6707	4562	2145	2686	0	0	2686
AF	0	0.090000	12086	8330	3756	4524	0	0	4524
AF	0	0.100000	10365	7105	3260	4075	0	0	4075
AF	0	0.110000	9203	6357	2846	3604	0	0	3604
AF	0	0.120000	8594	5931	2663	3367	0	0	3367
AF	0	0.130000	3759	2563	1196	1655	0	0	1655
AF	0	0.140000	6743	4714	2029	2812	0	0	2812
AF	0	0.150000	6287	4360	1927	2471	0	0	2471
AF	0	0.160000	5539	3874	1665	2348	0	0	2348
AF	0	0.170000	2906	1956	950	1215	0	0	1215
AF	0	0.180000	5457	3811	1646	2072	0	0	2072
AF	0	0.190000	4916	3376	1540	1844	0	0	1844
AF	0	0.200000	4411	3047	1364	1720	0	0	1720
AF	0	0.210000	4175	2853	1322	1643	0	0	1643
AF	0	0.220000	1958	1330	628	859	0	0	859
AF	0	0.230000	3712	2550	1162	1445	0	0	1445
AF	0	0.240000	3547	2426	1121	1408	0	0	1408
AF	0	0.250000	3121	2159	962	1305	0	0	1305
AF	0	0.260000	1696	1174	522	655	0	0	655
AF	0	0.270000	3192	2254	938	1177	0	0	1177
AF	0	0.280000	2825	1944	881	1074	0	0	1074
AF	0	0.290000	2736	1900	836	1031	0	0	1031
AF	0	0.300000	2841	2005	836	1079	0	0	1079
AF	0	0.310000	1342	960	382	543	0	0	543
AF	0	0.320000	2705	1832	873	991	0	0	991
AF	0	0.330000	2404	1705	699	898	0	0	898
AF	0	0.340000	2418	1644	774	905	0	0	905
AF	0	0.350000	1281	859	422	431	0	0	431
AF	0	0.360000	2277	1542	735	790	0	0	790
AF	0	0.370000	1889	1317	572	789	0	0	789
AF	0	0.380000	2190	1488	702	715	0	0	715
AF	0	0.390000	2291	1565	726	665	0	0	665
AF	0	0.400000	1128	773	355	374	0	0	374
AF	0	0.410000	2324	1594	730	712	0	0	712
AF	0	0.420000	1498	1046	452	549	0	0	549
AF	0	0.430000	2003	1375	628	604	0	0	604
AF	0	0.440000	811	569	242	294	0	0	294
AF	0	0.450000	1556	1091	465	516	0	0	516
AF	0	0.460000	1509	1034	475	538	0	0	538
AF	0	0.470000	1510	1071	439	455	0	0	455
AF	0	0.480000	1552	1077	475	472	0	0	472
AF	0	0.490000	713	480	233	206	0	0	206
AF	0	0.500000	1274	886	388	445	0	0	445
AF	0	0.510000	1373	928	445	381	0	0	381
AF	0	0.520000	1462	1017	445	412	0	0	412
AF	0	0.530000	743	515	228	187	0	0	187
AF	0	0.540000	1408	971	437	370	0	0	370
AF	0	0.550000	1384	966	418	368	0	0	368
AF	0	0.560000	1260	875	385	362	0	0	362
AF	0	0.570000	1312	871	441	330	0	0	330
AF	0	0.580000	703	507	196	160	0	0	160
AF	0	0.590000	1220	852	368	312	0	0	312
AF	0	0.600000	1501	1040	461	346	0	0	346
AF	0	0.610000	1577	1073	504	316	0	0	316
AF	0	0.620000	583	407	176	176	0	0	176
AF	0	0.630000	1381	946	435	288	0	0	288
AF	0	0.640000	1421	991	430	279	0	0	279
AF	0	0.650000	1160	777	383	272	0	0	272
AF	0	0.660000	1114	769	345	253	0	0	253
AF	0	0.670000	538	391	147	126	0	0	126
AF	0	0.680000	1128	784	344	252	0	0	252
AF	0	0.690000	1144	807	337	226	0	0	226
AF	0	0.700000	1079	745	334	247	0	0	247
AF	0	0.710000	657	468	189	129	0	0	129
AF	0	0.720000	1111	792	319	232	0	0	232
AF	0	0.730000	1111	780	331	253	0	0	253
AF	0	0.740000	1038	743	295	213	0	0	213
AF	0	0.750000	1226	848	378	239	0	0	239
AF	0	0.760000	572	385	187	86	0	0	86
AF	0	0.770000	1533	1090	443	232	0	0	232
AF	0	0.780000	1101	758	343	200	0	0	200
AF	0	0.790000	1002	683	319	189	0	0	189
AF	0	0.800000	515	363	152	94	0	0	94
AF	0	0.810000	1119	757	362	186	0	0	186
AF	0	0.820000	1076	744	332	176	0	0	176
AF	0	0.830000	1155	803	352	173	0	0	173
AF	0	0.840000	1108	798	310	162	0	0	162
AF	0	0.850000	546	394	152	77	0	0	77
AF	0	0.860000	906	613	293	155	0	0	155
AF	0	0.870000	801	558	243	117	0	0	117
AF	0	0.880000	796	556	240	133	0	0	133
AF	0	0.890000	504	346	158	57	0	0	57
AF	0	0.900000	987	703	284	152	0	0	152
AF	0	0.910000	1009	718	291	107	0	0	107
AF	0	0.920000	950	672	278	132	0	0	132
AF	0	0.930000	931	664	267	138	0	0	138
AF	0	0.940000	443	324	119	56	0	0	56
AF	0	0.950000	850	581	269	117	0	0	117
AF	0	0.960000	1036	748	288	116	0	0	116
AF	0	0.970000	1077	756	321	128	0	0	128
AF	0	0.980000	599	436	163	75	0	0	75
AF	0	0.990000	3937	2820	1117	297	0	0	297
# QUAL, Stats by quality:
# QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	30	1558	695	765	138
QUAL	0	31	1521	641	758	136
QUAL	0	32	1054	347	590	134
QUAL	0	33	1546	667	768	160
QUAL	0	34	1378	558	674	138
QUAL	0	35	924	335	489	101
QUAL	0	36	1595	695	786	158
QUAL	0	37	1265	513	632	140
QUAL	0	38	973	383	484	105
QUAL	0	39	1508	656	755	140
QUAL	0	40	1278	552	607	139
QUAL	0	41	944	355	485	107
QUAL	0	42	1503	688	704	157
QUAL	0	43	1189	531	560	138
QUAL	0	44	885	342	421	109
QUAL	0	45	1372	647	635	156
QUAL	0	46	1152	478	555	117
QUAL	0	47	855	313	447	89
QUAL	0	48	1273	583	588	132
QUAL	0	49	1122	480	543	145
QUAL	0	50	814	344	378	105
QUAL	0	51	1281	612	579	121
QUAL	0	52	1043	433	500	113
QUAL	0	53	830	328	414	101
QUAL	0	54	1250	571	587	114
QUAL	0	55	988	454	453	116
QUAL	0	56	734	296	363	86
QUAL	0	57	1030	480	476	116
QUAL	0	58	1034	443	488	126
QUAL	0	59	746	314	344	107
QUAL	0	60	976	440	459	106
QUAL	0	61	997	489	426	100
QUAL	0	62	754	320	355	85
QUAL	0	63	962	442	451	120
QUAL	0	64	1037	490	470	83
QUAL	0	65	676	304	302	83
QUAL	0	66	913	428	416	123
QUAL	0	67	973	490	415	79
QUAL	0	68	706	321	300	97
QUAL	0	69	933	420	440	128
QUAL	0	70	994	494	434	106
QUAL	0	71	674	298	306	90
QUAL	0	72	884	415	398	105
QUAL	0	73	965	481	417	101
QUAL	0	74	696	303	326	83
QUAL	0	75	767	360	338	91
QUAL	0	76	916	453	388	103
QUAL	0	77	653	298	286	87
QUAL	0	78	813	412	338	133
QUAL	0	79	953	479	394	92
QUAL	0	80	663	299	291	94
QUAL	0	81	809	382	364	110
QUAL	0	82	834	420	334	80
QUAL	0	83	656	311	282	86
QUAL	0	84	817	415	331	111
QUAL	0	85	876	415	389	93
QUAL	0	86	578	267	248	100
QUAL	0	87	807	371	374	93
QUAL	0	88	846	414	360	61
QUAL	0	89	564	251	256	75
QUAL	0	90	777	387	336	79
QUAL	0	91	836	400	363	85
QUAL	0	92	597	281	250	86
QUAL	0	93	736	368	302	82
QUAL	0	94	876	426	377	68
QUAL	0	95	537	253	220	73
QUAL	0	96	802	404	335	107
QUAL	0	97	815	430	314	71
QUAL	0	98	573	251	254	66
QUAL	0	99	716	388	274	79
QUAL	0	100	864	440	351	80
QUAL	0	101	567	278	239	76
QUAL	0	102	824	409	364	79
QUAL	0	103	770	412	300	61
QUAL	0	104	530	250	219	61
QUAL	0	105	700	351	294	80
QUAL	0	106	794	423	305	59
QUAL	0	107	567	271	244	49
QUAL	0	108	752	389	316	77
QUAL	0	109	700	381	264	74
QUAL	0	110	642	320	264	73
QUAL	0	111	760	377	314	87
QUAL	0	112	748	368	314	91
QUAL	0	113	577	284	226	76
QUAL	0	114	761	382	334	88
QUAL	0	115	688	365	269	91
QUAL	0	116	639	347	230	63
QUAL	0	117	765	398	307	100
QUAL	0	118	678	368	257	68
QUAL	0	119	648	337	258	61
QUAL	0	120	805	417	341	90
QUAL	0	121	619	304	247	94
QUAL	0	122	715	394	273	65
QUAL	0	123	832	471	311	106
QUAL	0	124	622	323	242	73
QUAL	0	125	664	344	269	63
QUAL	0	126	797	431	312	99
QUAL	0	127	600	324	219	72
QUAL	0	128	742	381	313	69
QUAL	0	129	859	470	340	83
QUAL	0	130	580	318	211	78
QUAL	0	131	743	405	290	68
QUAL	0	132	809	456	301	91
QUAL	0	133	588	313	230	78
