# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  -v --samples-file /cromwell_root/fc-47de7dae-e8e6-429c-b760-b4ba49136eee/resources/1kgp/JPT.txt /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/34429983-c717-4471-bca1-a7aabada8f0d/subset_vcf_sample_list/118160d2-42a7-4b0c-b9ab-8302f64703a5/call-bgzip_bcftools_index/1kgp.chr1.recalibrated.snp_indel.pass.singleton.JPT_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/34429983-c717-4471-bca1-a7aabada8f0d/subset_vcf_sample_list/118160d2-42a7-4b0c-b9ab-8302f64703a5/call-bgzip_bcftools_index/1kgp.chr1.recalibrated.snp_indel.pass.singleton.JPT_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	104
SN	0	number of records:	9094487
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	8312237
SN	0	number of MNPs:	0
SN	0	number of indels:	876814
SN	0	number of others:	114473
SN	0	number of multiallelic sites:	647499
SN	0	number of multiallelic SNP sites:	346361
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	5602178	2875180	1.95	5432921	2688592	2.02
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	318810	205032	113778	66920	0	0	66920
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	7832225	5172973	2659252	1035910	0	0	1035910
AF	0	0.009615	79964	50054	29910	27511	0	0	27511
AF	0	0.019231	42916	27703	15213	15962	0	0	15962
AF	0	0.028846	29202	19050	10152	11339	0	0	11339
AF	0	0.038462	23654	15698	7956	9098	0	0	9098
AF	0	0.048077	18428	12125	6303	7324	0	0	7324
AF	0	0.057692	16985	11394	5591	6360	0	0	6360
AF	0	0.067308	14364	9562	4802	5462	0	0	5462
AF	0	0.076923	14186	9552	4634	5027	0	0	5027
AF	0	0.086538	12223	8158	4065	4571	0	0	4571
AF	0	0.096154	11205	7558	3647	4201	0	0	4201
AF	0	0.105769	10101	6813	3288	3768	0	0	3768
AF	0	0.115385	9481	6501	2980	3459	0	0	3459
AF	0	0.125000	8314	5713	2601	3053	0	0	3053
AF	0	0.134615	7202	4861	2341	2809	0	0	2809
AF	0	0.144231	8136	5527	2609	2742	0	0	2742
AF	0	0.153846	8429	5722	2707	2830	0	0	2830
AF	0	0.163462	7332	4958	2374	2507	0	0	2507
AF	0	0.173077	7401	4993	2408	2556	0	0	2556
AF	0	0.182692	8962	6025	2937	2735	0	0	2735
AF	0	0.192308	8051	5409	2642	2387	0	0	2387
AF	0	0.201923	6807	4636	2171	2174	0	0	2174
AF	0	0.211538	6324	4241	2083	1972	0	0	1972
AF	0	0.221154	6388	4281	2107	1999	0	0	1999
AF	0	0.230769	6086	4110	1976	1906	0	0	1906
AF	0	0.240385	6660	4490	2170	1988	0	0	1988
AF	0	0.250000	6332	4208	2124	1884	0	0	1884
AF	0	0.259615	6627	4392	2235	1806	0	0	1806
AF	0	0.269231	5629	3870	1759	1734	0	0	1734
AF	0	0.278846	5822	3941	1881	1760	0	0	1760
AF	0	0.288462	5947	4040	1907	1705	0	0	1705
AF	0	0.298077	5697	3831	1866	1646	0	0	1646
AF	0	0.307692	5478	3634	1844	1635	0	0	1635
AF	0	0.317308	5806	3890	1916	1618	0	0	1618
AF	0	0.326923	4795	3248	1547	1415	0	0	1415
AF	0	0.336538	4644	3091	1553	1374	0	0	1374
AF	0	0.346154	4989	3410	1579	1384	0	0	1384
AF	0	0.355769	5068	3379	1689	1299	0	0	1299
AF	0	0.365385	5071	3440	1631	1426	0	0	1426
AF	0	0.375000	5493	3551	1942	1350	0	0	1350
AF	0	0.384615	5149	3429	1720	1379	0	0	1379
AF	0	0.394231	4146	2765	1381	1167	0	0	1167
AF	0	0.403846	4624	3138	1486	1182	0	0	1182
AF	0	0.413462	4627	3172	1455	1225	0	0	1225
AF	0	0.423077	4528	3006	1522	1154	0	0	1154
AF	0	0.432692	3848	2544	1304	959	0	0	959
AF	0	0.442308	3873	2616	1257	964	0	0	964
AF	0	0.451923	4012	2622	1390	1001	0	0	1001
AF	0	0.461538	3791	2590	1201	970	0	0	970
AF	0	0.471154	3527	2345	1182	863	0	0	863
AF	0	0.480769	4098	2758	1340	932	0	0	932
AF	0	0.490385	5984	4012	1972	1359	0	0	1359
AF	0	0.500000	3166	2159	1007	819	0	0	819
AF	0	0.509615	3063	2086	977	860	0	0	860
AF	0	0.519231	3839	2606	1233	872	0	0	872
AF	0	0.528846	3128	2158	970	761	0	0	761
AF	0	0.538462	3055	2074	981	786	0	0	786
AF	0	0.548077	3177	2182	995	845	0	0	845
AF	0	0.557692	3152	2105	1047	808	0	0	808
AF	0	0.567308	3022	2055	967	749	0	0	749
AF	0	0.576923	2851	1928	923	741	0	0	741
AF	0	0.586538	3131	2097	1034	781	0	0	781
AF	0	0.596154	2871	1953	918	680	0	0	680
AF	0	0.605769	2691	1837	854	640	0	0	640
AF	0	0.615385	2628	1774	854	591	0	0	591
AF	0	0.625000	2975	2015	960	658	0	0	658
AF	0	0.634615	2799	1882	917	601	0	0	601
AF	0	0.644231	2758	1855	903	589	0	0	589
AF	0	0.653846	2856	1933	923	622	0	0	622
AF	0	0.663462	2540	1735	805	619	0	0	619
AF	0	0.673077	2808	1908	900	609	0	0	609
AF	0	0.682692	2895	1974	921	596	0	0	596
AF	0	0.692308	2480	1665	815	508	0	0	508
AF	0	0.701923	1941	1345	596	445	0	0	445
AF	0	0.711538	1984	1348	636	482	0	0	482
AF	0	0.721154	2362	1605	757	502	0	0	502
AF	0	0.730769	2466	1706	760	548	0	0	548
AF	0	0.740385	2240	1528	712	507	0	0	507
AF	0	0.750000	2290	1544	746	492	0	0	492
AF	0	0.759615	2296	1547	749	477	0	0	477
AF	0	0.769231	2001	1328	673	450	0	0	450
AF	0	0.778846	2380	1646	734	437	0	0	437
AF	0	0.788462	2451	1658	793	433	0	0	433
AF	0	0.798077	2366	1613	753	441	0	0	441
AF	0	0.807692	2206	1521	685	457	0	0	457
AF	0	0.817308	1786	1224	562	374	0	0	374
AF	0	0.826923	2256	1478	778	448	0	0	448
AF	0	0.836538	1867	1303	564	403	0	0	403
AF	0	0.846154	1752	1208	544	343	0	0	343
AF	0	0.855769	1966	1315	651	350	0	0	350
AF	0	0.865385	2104	1432	672	332	0	0	332
AF	0	0.875000	1875	1269	606	349	0	0	349
AF	0	0.884615	1893	1294	599	363	0	0	363
AF	0	0.894231	1792	1212	580	320	0	0	320
AF	0	0.903846	1572	1065	507	318	0	0	318
AF	0	0.913462	1440	995	445	312	0	0	312
AF	0	0.923077	2036	1377	659	349	0	0	349
AF	0	0.932692	1768	1210	558	330	0	0	330
AF	0	0.942308	1666	1123	543	295	0	0	295
AF	0	0.951923	2136	1457	679	411	0	0	411
AF	0	0.961538	2055	1363	692	375	0	0	375
AF	0	0.971154	1952	1375	577	365	0	0	365
AF	0	0.980769	2687	1840	847	541	0	0	541
AF	0	0.990385	13256	9239	4017	1327	0	0	1327
# QUAL, Stats by quality:
# QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	30	4045	1727	2110	303
QUAL	0	31	4172	1734	2112	315
QUAL	0	32	2505	869	1377	255
QUAL	0	33	4229	1847	2159	329
QUAL	0	34	3677	1465	1920	272
QUAL	0	35	2374	836	1280	239
QUAL	0	36	4178	1777	2166	325
QUAL	0	37	3380	1416	1691	280
QUAL	0	38	2231	823	1162	232
QUAL	0	39	4207	1851	2115	291
QUAL	0	40	3092	1271	1565	298
QUAL	0	41	2057	734	1104	255
QUAL	0	42	4093	1888	1990	364
QUAL	0	43	2943	1253	1431	246
QUAL	0	44	1989	711	1050	239
QUAL	0	45	4102	1905	1994	316
QUAL	0	46	2781	1172	1353	251
QUAL	0	47	1948	744	1008	195
QUAL	0	48	3910	1783	1908	328
QUAL	0	49	2806	1189	1382	272
QUAL	0	50	2092	778	1085	221
QUAL	0	51	3758	1691	1869	272
QUAL	0	52	2692	1203	1265	233
QUAL	0	53	2032	782	1035	189
QUAL	0	54	3514	1598	1737	251
QUAL	0	55	2764	1252	1301	227
QUAL	0	56	2042	824	1015	215
QUAL	0	57	3300	1489	1632	273
QUAL	0	58	2704	1201	1319	255
QUAL	0	59	1845	761	912	165
QUAL	0	60	3012	1365	1451	243
QUAL	0	61	2676	1220	1273	208
QUAL	0	62	1854	785	915	208
QUAL	0	63	2770	1276	1334	249
QUAL	0	64	2718	1235	1314	217
QUAL	0	65	1761	746	870	169
QUAL	0	66	2676	1206	1328	225
QUAL	0	67	2738	1275	1287	208
QUAL	0	68	1754	809	803	172
QUAL	0	69	2455	1124	1145	229
QUAL	0	70	2750	1310	1244	179
QUAL	0	71	1694	744	798	161
QUAL	0	72	2325	1082	1088	203
QUAL	0	73	2643	1219	1271	192
QUAL	0	74	1720	749	810	151
QUAL	0	75	2288	1080	1083	224
QUAL	0	76	2687	1236	1287	188
QUAL	0	77	1670	709	790	176
QUAL	0	78	2198	1020	1019	244
QUAL	0	79	2691	1296	1258	192
QUAL	0	80	1653	751	779	152
QUAL	0	81	2225	1086	999	199
QUAL	0	82	2575	1253	1191	188
QUAL	0	83	1677	740	774	176
QUAL	0	84	2177	1056	982	233
QUAL	0	85	2682	1270	1242	198
QUAL	0	86	1510	693	679	161
QUAL	0	87	2133	995	1005	229
QUAL	0	88	2529	1282	1100	188
QUAL	0	89	1528	687	711	167
QUAL	0	90	2023	1019	877	239
QUAL	0	91	2455	1169	1161	211
QUAL	0	92	1498	663	698	150
QUAL	0	93	2184	1055	988	208
QUAL	0	94	2471	1158	1168	172
QUAL	0	95	1539	699	725	172
QUAL	0	96	2217	1111	964	189
QUAL	0	97	2300	1148	1017	168
QUAL	0	98	1490	671	697	158
QUAL	0	99	2100	1027	951	197
QUAL	0	100	2376	1134	1088	158
QUAL	0	101	1438	691	631	139
QUAL	0	102	2192	1068	990	213
QUAL	0	103	2345	1158	1068	179
QUAL	0	104	1464	692	641	145
QUAL	0	105	2160	1050	998	233
QUAL	0	106	2158	1106	912	160
QUAL	0	107	1547	734	697	166
QUAL	0	108	2077	1043	915	193
QUAL	0	109	2176	1121	919	163
QUAL	0	110	1623	769	737	137
QUAL	0	111	2232	1129	1002	209
QUAL	0	112	2008	1062	839	175
QUAL	0	113	1642	802	703	158
QUAL	0	114	2300	1191	982	244
QUAL	0	115	2034	1085	803	151
QUAL	0	116	1688	856	696	157
