# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  -v --samples-file /cromwell_root/fc-47de7dae-e8e6-429c-b760-b4ba49136eee/resources/1kgp/YRI.txt /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/2c84e279-249c-4c01-8cff-e8807fa2056b/subset_vcf_sample_list/284d57bb-03d8-4cbd-be27-a2e4eb17cf1e/call-bgzip_bcftools_index/1kgp.chr14.recalibrated.snp_indel.pass.singleton.YRI_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/2c84e279-249c-4c01-8cff-e8807fa2056b/subset_vcf_sample_list/284d57bb-03d8-4cbd-be27-a2e4eb17cf1e/call-bgzip_bcftools_index/1kgp.chr14.recalibrated.snp_indel.pass.singleton.YRI_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	121
SN	0	number of records:	3724648
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	3388252
SN	0	number of MNPs:	0
SN	0	number of indels:	382975
SN	0	number of others:	56085
SN	0	number of multiallelic sites:	283321
SN	0	number of multiallelic SNP sites:	146879
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	2274524	1200268	1.90	2198384	1108467	1.98
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	195230	127337	67893	39523	0	0	39523
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	2972638	1938593	1034045	393914	0	0	393914
AF	0	0.008264	81158	53365	27793	20783	0	0	20783
AF	0	0.016529	47260	31524	15736	12798	0	0	12798
AF	0	0.024793	35161	23641	11520	9768	0	0	9768
AF	0	0.033058	25910	17373	8537	7738	0	0	7738
AF	0	0.041322	21710	14550	7160	6588	0	0	6588
AF	0	0.049587	18698	12691	6007	5730	0	0	5730
AF	0	0.057851	15547	10453	5094	4889	0	0	4889
AF	0	0.066116	13192	8909	4283	4376	0	0	4376
AF	0	0.074380	10908	7346	3562	3698	0	0	3698
AF	0	0.082645	10042	6781	3261	3377	0	0	3377
AF	0	0.090909	8995	6068	2927	3094	0	0	3094
AF	0	0.099174	8366	5546	2820	2960	0	0	2960
AF	0	0.107438	7620	5129	2491	2617	0	0	2617
AF	0	0.115702	6901	4634	2267	2481	0	0	2481
AF	0	0.123967	6293	4283	2010	2299	0	0	2299
AF	0	0.132231	5710	3849	1861	2041	0	0	2041
AF	0	0.140496	5354	3616	1738	1917	0	0	1917
AF	0	0.148760	5133	3472	1661	1795	0	0	1795
AF	0	0.157025	4735	3152	1583	1659	0	0	1659
AF	0	0.165289	5215	3514	1701	1735	0	0	1735
AF	0	0.173554	4486	2972	1514	1512	0	0	1512
AF	0	0.181818	4267	2876	1391	1419	0	0	1419
AF	0	0.190083	3937	2663	1274	1365	0	0	1365
AF	0	0.198347	3754	2475	1279	1321	0	0	1321
AF	0	0.206612	3482	2342	1140	1218	0	0	1218
AF	0	0.214876	3223	2118	1105	1111	0	0	1111
AF	0	0.223140	3264	2168	1096	1137	0	0	1137
AF	0	0.231405	3124	2138	986	1013	0	0	1013
AF	0	0.239669	3130	2105	1025	1011	0	0	1011
AF	0	0.247934	2845	1916	929	928	0	0	928
AF	0	0.256198	2761	1818	943	947	0	0	947
AF	0	0.264463	2641	1757	884	846	0	0	846
AF	0	0.272727	2448	1632	816	794	0	0	794
AF	0	0.280992	2522	1673	849	738	0	0	738
AF	0	0.289256	2252	1474	778	756	0	0	756
AF	0	0.297521	2536	1705	831	754	0	0	754
AF	0	0.305785	2402	1642	760	690	0	0	690
AF	0	0.314050	2346	1560	786	669	0	0	669
AF	0	0.322314	2081	1407	674	640	0	0	640
AF	0	0.330579	2188	1458	730	673	0	0	673
AF	0	0.338843	1969	1318	651	543	0	0	543
AF	0	0.347107	1856	1246	610	510	0	0	510
AF	0	0.355372	1929	1304	625	528	0	0	528
AF	0	0.363636	1608	1063	545	523	0	0	523
AF	0	0.371901	1848	1237	611	505	0	0	505
AF	0	0.380165	1656	1132	524	486	0	0	486
AF	0	0.388430	1534	1026	508	467	0	0	467
AF	0	0.396694	1667	1136	531	519	0	0	519
AF	0	0.404959	2004	1342	662	544	0	0	544
AF	0	0.413223	1802	1213	589	471	0	0	471
AF	0	0.421488	1703	1142	561	449	0	0	449
AF	0	0.429752	1795	1203	592	421	0	0	421
AF	0	0.438017	2062	1385	677	420	0	0	420
AF	0	0.446281	1658	1076	582	412	0	0	412
AF	0	0.454545	1854	1224	630	393	0	0	393
AF	0	0.462810	1844	1225	619	398	0	0	398
AF	0	0.471074	1664	1069	595	344	0	0	344
AF	0	0.479339	1528	1032	496	329	0	0	329
AF	0	0.487603	1659	1043	616	347	0	0	347
AF	0	0.495868	1804	1218	586	457	0	0	457
AF	0	0.504132	1313	869	444	337	0	0	337
AF	0	0.512397	1904	1197	707	295	0	0	295
AF	0	0.520661	1411	922	489	253	0	0	253
AF	0	0.528926	1191	771	420	282	0	0	282
AF	0	0.537190	1166	790	376	262	0	0	262
AF	0	0.545455	1071	738	333	222	0	0	222
AF	0	0.553719	1275	833	442	279	0	0	279
AF	0	0.561983	1131	751	380	262	0	0	262
AF	0	0.570248	1140	740	400	254	0	0	254
AF	0	0.578512	1021	676	345	210	0	0	210
AF	0	0.586777	968	630	338	227	0	0	227
AF	0	0.595041	940	650	290	237	0	0	237
AF	0	0.603306	1004	685	319	191	0	0	191
AF	0	0.611570	1014	677	337	223	0	0	223
AF	0	0.619835	1025	678	347	207	0	0	207
AF	0	0.628099	943	658	285	192	0	0	192
AF	0	0.636364	1030	713	317	212	0	0	212
AF	0	0.644628	928	641	287	180	0	0	180
AF	0	0.652893	1093	731	362	210	0	0	210
AF	0	0.661157	1027	682	345	199	0	0	199
AF	0	0.669421	920	624	296	185	0	0	185
AF	0	0.677686	855	557	298	158	0	0	158
AF	0	0.685950	975	666	309	170	0	0	170
AF	0	0.694215	921	648	273	189	0	0	189
AF	0	0.702479	957	650	307	156	0	0	156
AF	0	0.710744	913	626	287	162	0	0	162
AF	0	0.719008	1151	790	361	206	0	0	206
AF	0	0.727273	1016	705	311	175	0	0	175
AF	0	0.735537	1152	780	372	175	0	0	175
AF	0	0.743802	1039	697	342	176	0	0	176
AF	0	0.752066	916	625	291	152	0	0	152
