# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  -v --samples-file /cromwell_root/fc-47de7dae-e8e6-429c-b760-b4ba49136eee/resources/1kgp/ACB.txt /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/d14044c7-63e8-4f29-a1ce-41f39264542c/subset_vcf_sample_list/91b354ef-ab81-498c-9224-8049f61263d1/call-bgzip_bcftools_index/attempt-2/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr22.recalibrated_variants.pass.singleton.ACB_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/d14044c7-63e8-4f29-a1ce-41f39264542c/subset_vcf_sample_list/91b354ef-ab81-498c-9224-8049f61263d1/call-bgzip_bcftools_index/attempt-2/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr22.recalibrated_variants.pass.singleton.ACB_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	96
SN	0	number of records:	1668610
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	1546703
SN	0	number of MNPs:	0
SN	0	number of indels:	145248
SN	0	number of others:	36962
SN	0	number of multiallelic sites:	140746
SN	0	number of multiallelic SNP sites:	62256
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	1074232	514639	2.09	1045261	479801	2.18
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	110737	75216	35521	20758	0	0	20758
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	1310832	885198	425634	139056	0	0	139056
AF	0	0.010000	64683	43727	20956	17074	0	0	17074
AF	0	0.020000	30566	20513	10053	9122	0	0	9122
AF	0	0.030000	20939	14104	6835	6373	0	0	6373
AF	0	0.040000	15221	10374	4847	4923	0	0	4923
AF	0	0.050000	11677	8008	3669	4033	0	0	4033
AF	0	0.060000	9749	6601	3148	3218	0	0	3218
AF	0	0.070000	7952	5426	2526	2827	0	0	2827
AF	0	0.080000	6799	4714	2085	2309	0	0	2309
AF	0	0.090000	5675	3802	1873	2118	0	0	2118
AF	0	0.100000	5064	3517	1547	1925	0	0	1925
AF	0	0.110000	4926	3382	1544	1757	0	0	1757
AF	0	0.120000	4200	2853	1347	1534	0	0	1534
AF	0	0.130000	4027	2731	1296	1471	0	0	1471
AF	0	0.140000	3752	2556	1196	1313	0	0	1313
AF	0	0.150000	3620	2488	1132	1300	0	0	1300
AF	0	0.160000	1811	1233	578	673	0	0	673
AF	0	0.170000	3034	2082	952	1046	0	0	1046
AF	0	0.180000	2890	1979	911	936	0	0	936
AF	0	0.190000	2669	1835	834	922	0	0	922
AF	0	0.200000	2426	1621	805	831	0	0	831
AF	0	0.210000	2262	1554	708	793	0	0	793
AF	0	0.220000	1912	1302	610	698	0	0	698
AF	0	0.230000	1954	1311	643	666	0	0	666
AF	0	0.240000	1660	1157	503	600	0	0	600
AF	0	0.250000	1803	1272	531	615	0	0	615
AF	0	0.260000	1788	1173	615	550	0	0	550
AF	0	0.270000	1658	1151	507	551	0	0	551
AF	0	0.280000	1596	1081	515	515	0	0	515
AF	0	0.290000	1522	1039	483	491	0	0	491
AF	0	0.300000	1388	946	442	458	0	0	458
AF	0	0.310000	1438	976	462	459	0	0	459
AF	0	0.320000	733	502	231	209	0	0	209
AF	0	0.330000	1327	891	436	405	0	0	405
AF	0	0.340000	1320	882	438	405	0	0	405
AF	0	0.350000	1355	922	433	352	0	0	352
AF	0	0.360000	1200	819	381	324	0	0	324
AF	0	0.370000	1163	816	347	322	0	0	322
AF	0	0.380000	1008	680	328	297	0	0	297
AF	0	0.390000	1169	805	364	247	0	0	247
