# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/60e15ba6-b0f4-4b36-b445-6886d88c2057/subset_vcf_sample_list/3276fa56-bd00-448d-be76-0cc1282360b5/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr5.recalibrated_variants.pass.singleton.EAS_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/60e15ba6-b0f4-4b36-b445-6886d88c2057/subset_vcf_sample_list/3276fa56-bd00-448d-be76-0cc1282360b5/call-bgzip_bcftools_index/20201028_CCDG_14151_B01_GRM_WGS_2020-08-05_chr5.recalibrated_variants.pass.singleton.EAS_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	513
SN	0	number of records:	7243081
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	6751952
SN	0	number of MNPs:	0
SN	0	number of indels:	564578
SN	0	number of others:	99104
SN	0	number of multiallelic sites:	438963
SN	0	number of multiallelic SNP sites:	186747
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	4487345	2385196	1.88	4402650	2283682	1.93
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	882793	580272	302521	91816	0	0	91816
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	6091906	3976458	2115448	587208	0	0	587208
AF	0	0.001949	127793	83571	44222	38997	0	0	38997
AF	0	0.003899	57612	37323	20289	21026	0	0	21026
AF	0	0.005848	35346	22686	12660	13667	0	0	13667
AF	0	0.007797	25407	16199	9208	10308	0	0	10308
AF	0	0.009747	18964	12188	6776	8071	0	0	8071
AF	0	0.011696	14334	9183	5151	6482	0	0	6482
AF	0	0.013645	12326	7789	4537	5382	0	0	5382
AF	0	0.015595	10385	6647	3738	4812	0	0	4812
AF	0	0.017544	9231	5872	3359	4222	0	0	4222
AF	0	0.019493	7994	5062	2932	3740	0	0	3740
AF	0	0.021442	7437	4769	2668	3325	0	0	3325
AF	0	0.023392	6394	4128	2266	3005	0	0	3005
AF	0	0.025341	6481	4182	2299	2767	0	0	2767
AF	0	0.027290	5744	3669	2075	2644	0	0	2644
AF	0	0.029240	5718	3684	2034	2455	0	0	2455
AF	0	0.031189	5043	3280	1763	2271	0	0	2271
AF	0	0.033138	4796	3098	1698	2071	0	0	2071
AF	0	0.035088	4606	2970	1636	1966	0	0	1966
AF	0	0.037037	3853	2441	1412	1857	0	0	1857
AF	0	0.038986	4324	2770	1554	1771	0	0	1771
AF	0	0.040936	4420	2886	1534	1811	0	0	1811
AF	0	0.042885	3464	2255	1209	1598	0	0	1598
AF	0	0.044834	3191	2039	1152	1468	0	0	1468
AF	0	0.046784	3015	1975	1040	1368	0	0	1368
AF	0	0.048733	2908	1902	1006	1361	0	0	1361
AF	0	0.050682	3045	2033	1012	1297	0	0	1297
AF	0	0.052632	3579	2296	1283	1384	0	0	1384
AF	0	0.054581	2860	1853	1007	1253	0	0	1253
AF	0	0.056530	3129	2083	1046	1276	0	0	1276
AF	0	0.058480	2538	1667	871	1222	0	0	1222
AF	0	0.060429	2681	1757	924	1110	0	0	1110
AF	0	0.062378	2596	1724	872	1063	0	0	1063
AF	0	0.064327	2246	1471	775	972	0	0	972
AF	0	0.066277	2396	1544	852	1028	0	0	1028
