# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  -v --samples-file /cromwell_root/fc-47de7dae-e8e6-429c-b760-b4ba49136eee/resources/1kgp/LWK.txt /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/14bec71f-ffaa-4174-ba10-4bfc05716db5/subset_vcf_sample_list/7ee3c9a4-2a57-4443-8003-19f439fff2d0/call-bgzip_bcftools_index/1kgp.chr10.recalibrated.snp_indel.pass.singleton.LWK_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/14bec71f-ffaa-4174-ba10-4bfc05716db5/subset_vcf_sample_list/7ee3c9a4-2a57-4443-8003-19f439fff2d0/call-bgzip_bcftools_index/1kgp.chr10.recalibrated.snp_indel.pass.singleton.LWK_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	99
SN	0	number of records:	5529526
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	5033442
SN	0	number of MNPs:	0
SN	0	number of indels:	561090
SN	0	number of others:	85236
SN	0	number of multiallelic sites:	405378
SN	0	number of multiallelic SNP sites:	201278
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	3392908	1736579	1.95	3288974	1625706	2.02
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	331944	220377	111567	64949	0	0	64949
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	4266532	2812072	1454460	555355	0	0	555355
AF	0	0.010000	214101	142733	71368	49481	0	0	49481
AF	0	0.020000	96700	64868	31832	25324	0	0	25324
AF	0	0.030000	64832	43488	21344	17424	0	0	17424
AF	0	0.040000	46347	31306	15041	13550	0	0	13550
AF	0	0.050000	35044	23670	11374	10774	0	0	10774
AF	0	0.060000	39616	26864	12752	12367	0	0	12367
AF	0	0.070000	10648	7086	3562	4266	0	0	4266
AF	0	0.080000	19241	13043	6198	6557	0	0	6557
AF	0	0.090000	17809	12015	5794	6011	0	0	6011
AF	0	0.100000	15051	10171	4880	5179	0	0	5179
AF	0	0.110000	13115	8829	4286	4736	0	0	4736
AF	0	0.120000	11773	8004	3769	4189	0	0	4189
AF	0	0.130000	16102	10890	5212	5496	0	0	5496
AF	0	0.140000	5372	3650	1722	2121	0	0	2121
AF	0	0.150000	9668	6538	3130	3373	0	0	3373
AF	0	0.160000	8911	6040	2871	3092	0	0	3092
AF	0	0.170000	8558	5852	2706	2842	0	0	2842
AF	0	0.180000	7683	5147	2536	2609	0	0	2609
AF	0	0.190000	7679	5199	2480	2640	0	0	2640
AF	0	0.200000	7066	4783	2283	2296	0	0	2296
AF	0	0.210000	6667	4410	2257	2242	0	0	2242
AF	0	0.220000	6195	4213	1982	2064	0	0	2064
AF	0	0.230000	5959	4029	1930	1948	0	0	1948
AF	0	0.240000	8850	5953	2897	2696	0	0	2696
AF	0	0.250000	2838	1911	927	1008	0	0	1008
AF	0	0.260000	5164	3445	1719	1606	0	0	1606
AF	0	0.270000	7247	4865	2382	2077	0	0	2077
AF	0	0.280000	2260	1562	698	747	0	0	747
AF	0	0.290000	4353	2950	1403	1354	0	0	1354
AF	0	0.300000	6005	4077	1928	1784	0	0	1784
AF	0	0.310000	1952	1296	656	676	0	0	676
AF	0	0.320000	3488	2324	1164	1135	0	0	1135
AF	0	0.330000	3786	2540	1246	1179	0	0	1179
AF	0	0.340000	3600	2368	1232	1100	0	0	1100
AF	0	0.350000	3587	2457	1130	1056	0	0	1056
