# This file was produced by bcftools stats (1.9+htslib-1.9) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  -v --samples-file /cromwell_root/fc-47de7dae-e8e6-429c-b760-b4ba49136eee/resources/1kgp/ASW.txt /cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/841e9d71-ca1d-426a-8342-890752146511/subset_vcf_sample_list/dfc21ea9-81d2-4486-9adc-b9de84d876ac/call-bgzip_bcftools_index/1kgp.chr18.recalibrated.snp_indel.pass.singleton.ASW_singleton.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/cromwell_root/fc-51aefb1c-4e8e-4dcb-a59c-62e318ea351a/841e9d71-ca1d-426a-8342-890752146511/subset_vcf_sample_list/dfc21ea9-81d2-4486-9adc-b9de84d876ac/call-bgzip_bcftools_index/1kgp.chr18.recalibrated.snp_indel.pass.singleton.ASW_singleton.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	61
SN	0	number of records:	3119400
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	2833794
SN	0	number of MNPs:	0
SN	0	number of indels:	320342
SN	0	number of others:	44256
SN	0	number of multiallelic sites:	209237
SN	0	number of multiallelic SNP sites:	100007
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	1899975	984336	1.93	1847939	928091	1.99
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	171885	114633	57252	34730	0	0	34730
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	2476919	1625092	851827	329528	0	0	329528
AF	0	0.010000	65169	43775	21394	15746	0	0	15746
AF	0	0.020000	39407	26545	12862	10300	0	0	10300
AF	0	0.030000	27233	18281	8952	7866	0	0	7866
AF	0	0.040000	39090	26503	12587	11052	0	0	11052
AF	0	0.050000	14559	9886	4673	4841	0	0	4841
AF	0	0.060000	12113	8195	3918	4020	0	0	4020
AF	0	0.070000	11174	7574	3600	3602	0	0	3602
AF	0	0.080000	18136	12172	5964	5574	0	0	5574
AF	0	0.090000	7586	5183	2403	2835	0	0	2835
AF	0	0.100000	6866	4606	2260	2367	0	0	2367
AF	0	0.110000	6370	4268	2102	2111	0	0	2111
AF	0	0.120000	11313	7629	3684	3766	0	0	3766
AF	0	0.130000	4847	3334	1513	1749	0	0	1749
AF	0	0.140000	4702	3174	1528	1683	0	0	1683
AF	0	0.150000	4535	3061	1474	1473	0	0	1473
AF	0	0.160000	4054	2735	1319	1386	0	0	1386
AF	0	0.170000	7824	5284	2540	2482	0	0	2482
AF	0	0.180000	3696	2475	1221	1187	0	0	1187
AF	0	0.190000	3497	2333	1164	1127	0	0	1127
AF	0	0.200000	3216	2167	1049	1046	0	0	1046
AF	0	0.210000	6052	4116	1936	1831	0	0	1831
AF	0	0.220000	2873	1923	950	865	0	0	865
AF	0	0.230000	2933	1993	940	912	0	0	912
AF	0	0.240000	2708	1808	900	844	0	0	844
AF	0	0.250000	5042	3397	1645	1474	0	0	1474
AF	0	0.260000	2283	1527	756	711	0	0	711
AF	0	0.270000	2194	1492	702	682	0	0	682
AF	0	0.280000	2005	1348	657	653	0	0	653
AF	0	0.290000	2121	1425	696	598	0	0	598
AF	0	0.300000	4114	2762	1352	1118	0	0	1118
AF	0	0.310000	1824	1228	596	520	0	0	520
AF	0	0.320000	1875	1286	589	507	0	0	507
AF	0	0.330000	1663	1131	532	548	0	0	548
AF	0	0.340000	3261	2178	1083	933	0	0	933
AF	0	0.350000	1591	1091	500	452	0	0	452
